episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,col_approach,188,-194.57,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,1,488360477,col_approach,approach,6.016,0,0,"[-19.8, -27.12094924841219]"
2,goal_001,2,col_approach,178,-193.1,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,2,2215812007,col_approach,approach,5.696,0,0,"[-19.8, -16.57002501172793]"
3,goal_001,3,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,3,4078283569,col_approach,approach,5.696,0,0,"[-19.8, -27.98474722733859]"
4,goal_001,4,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,4,1836138130,col_approach,approach,5.696,0,0,"[-19.8, -12.571989387453858]"
5,goal_001,5,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,5,443944452,col_approach,approach,5.696,0,0,"[-19.8, 1.4071554990761266]"
6,goal_001,6,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,6,2206162878,col_approach,approach,5.696,0,0,"[-19.8, -2.0837586449970766]"
7,goal_001,7,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,7,4101533480,col_approach,approach,5.696,0,0,"[-19.8, 3.4560015039094365]"
8,goal_001,8,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,8,1690792633,col_approach,approach,5.696,0,0,"[-19.8, 4.176208374159441]"
9,goal_001,9,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,9,331366959,col_approach,approach,5.696,0,0,"[-19.8, -2.0631041884080057]"
10,goal_001,10,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,10,2545985586,col_approach,approach,5.696,0,0,"[-19.8, 3.507982469683506]"
11,goal_002,1,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,1,484024362,col_approach,approach,5.696,0,0,"[-19.8, -0.09072382979488935]"
12,goal_002,2,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,2,2245063056,col_approach,approach,5.696,0,0,"[-19.8, -23.3426285651072]"
13,goal_002,3,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,3,4074225926,col_approach,approach,5.696,0,0,"[-19.8, 14.97642984667599]"
14,goal_002,4,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,4,1823691941,col_approach,approach,5.696,0,0,"[-19.8, 0.36249704238596403]"
15,goal_002,5,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,5,464806963,col_approach,approach,5.696,0,0,"[-19.8, 14.431575700622066]"
16,goal_002,6,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,6,2193438089,col_approach,approach,5.696,0,0,"[-19.8, -3.668237097012666]"
17,goal_002,7,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,7,4122608927,col_approach,approach,5.696,0,0,"[-19.8, -6.4586437722338275]"
18,goal_002,8,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,8,1694832782,col_approach,approach,5.696,0,0,"[-19.8, -4.66690124560578]"
19,goal_002,9,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,9,302131224,col_approach,approach,5.696,0,0,"[-19.8, 11.337421231132957]"
20,goal_002,10,col_approach,178,-193.12,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,10,796708695,col_approach,approach,5.696,0,0,"[-19.8, -3.9848967682880336]"
21,goal_003,1,exito,11221,1840.76,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,1,513744499,exito,,359.072,0,0,"[-19.8, -16.311197795088294]"
22,goal_003,2,exito,11224,1840.58,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,2,2274774985,exito,,359.168,0,0,"[-19.8, -22.360912629894557]"
23,goal_003,3,exito,11223,1838.62,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,3,4036067167,exito,,359.136,0,0,"[-19.8, -20.991152364368723]"
24,goal_003,4,exito,11225,1840.49,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,4,1861610236,exito,,359.2,0,0,"[-19.8, 16.36855277212005]"
25,goal_003,5,exito,11223,1828.35,04,sthwp,524,1,E2.1,E2.1-R0,False,sthwp,524,04,5,435346026,exito,,359.136,0,0,"[-19.8, -20.35370246109645]"
