episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton,policy_stage,evaluation_variant,dynamic_replanning,architecture,model_seed,warehouse,repetition,episode_seed,result,collision_phase,simulated_time,replan_attempts,replan_successes,pedestrian_initial_position
1,goal_001,1,exito,14382,2298.88,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,1,1270342366,exito,,460.224,0,0,"[0.0, 28.063258669998895]"
2,goal_001,2,exito,14380,2298.37,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,2,3535713124,exito,,460.16,0,0,"[0.0, -27.301287482733436]"
3,goal_001,3,exito,14380,2298.45,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,3,2780398578,exito,,460.16,0,0,"[0.0, -7.3646181757931295]"
4,goal_001,4,exito,14380,2298.29,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,4,1004344913,exito,,460.16,0,0,"[0.0, 17.414648657066213]"
5,goal_001,5,exito,14380,2298.31,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,5,1289365191,exito,,460.16,0,0,"[0.0, 8.118412999491778]"
6,goal_001,6,exito,14380,2298.45,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,6,3587405693,exito,,460.16,0,0,"[0.0, -11.886160471556979]"
7,goal_001,7,exito,14380,2298.29,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,7,2731821035,exito,,460.16,0,0,"[0.0, -3.9429874588470493]"
8,goal_001,8,exito,14380,2298.41,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,8,845896314,exito,,460.16,0,0,"[0.0, -26.716067223291503]"
9,goal_001,9,col_return,8619,1200.07,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,9,1164733164,col_return,return,275.808,0,0,"[0.0, -11.83507560738417]"
10,goal_001,10,exito,14370,2299.32,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,10,2516293392,exito,,459.84,0,0,"[0.0, -18.900973795708495]"
11,goal_002,1,exito,14267,2286.0,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,1,1249216745,exito,,456.544,0,0,"[0.0, 26.546786319933652]"
12,goal_002,2,col_return,8684,1212.42,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,2,3548174675,col_return,return,277.888,0,0,"[0.0, -5.989751038759616]"
13,goal_002,3,exito,14256,2286.54,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,3,2759584197,exito,,456.192,0,0,"[0.0, -15.835235624679322]"
14,goal_002,4,col_return,8465,1178.03,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,4,975141990,col_return,return,270.88,0,0,"[0.0, 24.093894839338]"
15,goal_002,5,exito,14256,2286.56,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,5,1293438192,exito,,456.192,0,0,"[0.0, 25.49066050989292]"
16,goal_002,6,exito,14265,2269.52,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,6,3557891402,exito,,456.48,0,0,"[0.0, -9.950372504719088]"
17,goal_002,7,col_return,8717,1219.79,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,7,2736139740,col_return,return,278.944,0,0,"[0.0, 27.298714608444776]"
18,goal_002,8,exito,14258,2286.71,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,8,866725965,exito,,456.256,0,0,"[0.0, -5.518318894814394]"
19,goal_002,9,col_return,8473,1183.63,05,subwp,524,1,E2.1,E2.1-R0,False,subwp,524,05,9,1152254171,col_return,return,271.136,0,0,"[0.0, 29.940589159305116]"
