episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,exito,14660,2262.34,05,sthwp,524,1
2,goal_001,2,exito,14655,2262.74,05,sthwp,524,1
3,goal_001,3,exito,14655,2262.54,05,sthwp,524,1
4,goal_001,4,exito,14655,2262.6,05,sthwp,524,1
5,goal_001,5,exito,14655,2262.74,05,sthwp,524,1
6,goal_001,6,exito,14654,2262.58,05,sthwp,524,1
7,goal_001,7,exito,14692,2259.15,05,sthwp,524,1
8,goal_001,8,exito,14691,2259.21,05,sthwp,524,1
9,goal_001,9,exito,14655,2262.81,05,sthwp,524,1
10,goal_001,10,exito,14655,2262.63,05,sthwp,524,1
11,goal_002,1,exito,14492,2264.15,05,sthwp,524,1
12,goal_002,2,exito,14492,2264.16,05,sthwp,524,1
13,goal_002,3,exito,14492,2264.16,05,sthwp,524,1
14,goal_002,4,exito,14505,2099.7,05,sthwp,524,1
15,goal_002,5,col_return,8918,1171.67,05,sthwp,524,1
16,goal_002,6,exito,14484,2265.0,05,sthwp,524,1
17,goal_002,7,exito,14492,2264.16,05,sthwp,524,1
18,goal_002,8,col_return,8700,1155.38,05,sthwp,524,1
19,goal_002,9,exito,14485,2264.77,05,sthwp,524,1
20,goal_002,10,exito,14489,2263.76,05,sthwp,524,1
21,goal_003,1,col_return,8531,1153.81,05,sthwp,524,1
22,goal_003,2,exito,14317,2267.22,05,sthwp,524,1
23,goal_003,3,exito,14330,2263.91,05,sthwp,524,1
24,goal_003,4,col_return,8693,1177.04,05,sthwp,524,1
25,goal_003,5,exito,14317,2267.23,05,sthwp,524,1
26,goal_003,6,exito,14320,2248.99,05,sthwp,524,1
27,goal_003,7,col_return,8767,1194.15,05,sthwp,524,1
28,goal_003,8,exito,14318,2267.12,05,sthwp,524,1
29,goal_003,9,exito,14325,2124.3,05,sthwp,524,1
30,goal_003,10,col_return,8822,1196.79,05,sthwp,524,1
31,goal_004,1,exito,14269,2265.98,05,sthwp,524,1
32,goal_004,2,col_return,8488,1159.19,05,sthwp,524,1
33,goal_004,3,exito,14268,2265.77,05,sthwp,524,1
34,goal_004,4,exito,14273,2257.56,05,sthwp,524,1
35,goal_004,5,col_return,8740,1186.43,05,sthwp,524,1
36,goal_004,6,exito,14269,2265.98,05,sthwp,524,1
37,goal_004,7,col_return,8475,1153.64,05,sthwp,524,1
38,goal_004,8,exito,14269,2265.99,05,sthwp,524,1
39,goal_004,9,exito,14270,2265.75,05,sthwp,524,1
40,goal_004,10,col_return,8714,1189.96,05,sthwp,524,1
41,goal_005,1,exito,14243,2263.32,05,sthwp,524,1
42,goal_005,2,col_return,8471,1155.29,05,sthwp,524,1
43,goal_005,3,exito,14243,2263.32,05,sthwp,524,1
44,goal_005,4,exito,14248,2239.87,05,sthwp,524,1
45,goal_005,5,col_return,8740,1195.16,05,sthwp,524,1
46,goal_005,6,exito,14243,2263.23,05,sthwp,524,1
47,goal_005,7,col_return,8502,1155.59,05,sthwp,524,1
48,goal_005,8,exito,14243,2263.33,05,sthwp,524,1
49,goal_005,9,exito,14247,2226.97,05,sthwp,524,1
50,goal_005,10,col_return,8764,1188.88,05,sthwp,524,1
51,goal_006,1,exito,14226,2260.82,05,sthwp,524,1
52,goal_006,2,col_return,8491,1159.95,05,sthwp,524,1
53,goal_006,3,exito,14226,2260.94,05,sthwp,524,1
54,goal_006,4,exito,14232,2118.4,05,sthwp,524,1
55,goal_006,5,col_return,8783,1193.47,05,sthwp,524,1
56,goal_006,6,exito,14226,2260.94,05,sthwp,524,1
57,goal_006,7,col_return,8515,1161.3,05,sthwp,524,1
58,goal_006,8,exito,14226,2260.94,05,sthwp,524,1
59,goal_006,9,exito,14241,2086.74,05,sthwp,524,1
60,goal_006,10,col_return,8774,1197.96,05,sthwp,524,1
61,goal_007,1,exito,14231,2262.88,05,sthwp,524,1
62,goal_007,2,col_return,8523,1162.55,05,sthwp,524,1
63,goal_007,3,exito,14231,2262.87,05,sthwp,524,1
64,goal_007,4,exito,14241,2119.32,05,sthwp,524,1
65,goal_007,5,col_return,8785,1194.52,05,sthwp,524,1
66,goal_007,6,exito,14231,2262.84,05,sthwp,524,1
67,goal_007,7,col_return,8514,1162.02,05,sthwp,524,1
68,goal_007,8,exito,14231,2262.89,05,sthwp,524,1
69,goal_007,9,exito,14235,2137.94,05,sthwp,524,1
70,goal_007,10,col_return,8776,1197.91,05,sthwp,524,1
71,goal_008,1,exito,14271,2267.5,05,sthwp,524,1
72,goal_008,2,col_return,8511,1163.74,05,sthwp,524,1
73,goal_008,3,exito,14271,2267.52,05,sthwp,524,1
74,goal_008,4,exito,14271,2256.68,05,sthwp,524,1
75,goal_008,5,col_return,8738,1194.7,05,sthwp,524,1
76,goal_008,6,exito,14271,2267.52,05,sthwp,524,1
77,goal_008,7,col_return,8485,1156.6,05,sthwp,524,1
78,goal_008,8,exito,14271,2267.5,05,sthwp,524,1
79,goal_008,9,exito,14271,2267.48,05,sthwp,524,1
80,goal_008,10,col_return,8714,1193.18,05,sthwp,524,1
81,goal_009,1,exito,14317,2271.51,05,sthwp,524,1
82,goal_009,2,exito,14323,2149.35,05,sthwp,524,1
83,goal_009,3,col_return,8807,1204.94,05,sthwp,524,1
84,goal_009,4,exito,14317,2271.5,05,sthwp,524,1
85,goal_009,5,col_return,8499,1156.03,05,sthwp,524,1
86,goal_009,6,exito,14317,2271.5,05,sthwp,524,1
87,goal_009,7,exito,14319,2271.06,05,sthwp,524,1
88,goal_009,8,col_return,8684,1180.77,05,sthwp,524,1
89,goal_009,9,exito,14317,2271.49,05,sthwp,524,1
90,goal_009,10,exito,14319,2255.83,05,sthwp,524,1
91,goal_010,1,col_return,8796,1202.37,05,sthwp,524,1
92,goal_010,2,exito,14385,2280.86,05,sthwp,524,1
93,goal_010,3,exito,14385,2280.91,05,sthwp,524,1
94,goal_010,4,col_return,8769,1195.91,05,sthwp,524,1
95,goal_010,5,exito,14385,2280.87,05,sthwp,524,1
96,goal_010,6,exito,14385,2280.9,05,sthwp,524,1
97,goal_010,7,col_return,8746,1193.16,05,sthwp,524,1
98,goal_010,8,exito,14385,2280.88,05,sthwp,524,1
99,goal_010,9,exito,14385,2280.91,05,sthwp,524,1
100,goal_010,10,col_return,8736,1192.18,05,sthwp,524,1
101,goal_011,1,exito,14452,2290.69,05,sthwp,524,1
102,goal_011,2,exito,14451,2290.31,05,sthwp,524,1
103,goal_011,3,col_return,8702,1184.13,05,sthwp,524,1
104,goal_011,4,exito,14452,2290.62,05,sthwp,524,1
105,goal_011,5,exito,14451,2290.31,05,sthwp,524,1
106,goal_011,6,col_return,8650,1174.19,05,sthwp,524,1
107,goal_011,7,exito,14452,2290.62,05,sthwp,524,1
108,goal_011,8,exito,14451,2290.3,05,sthwp,524,1
109,goal_011,9,exito,14470,2121.74,05,sthwp,524,1
110,goal_011,10,col_return,8887,1208.63,05,sthwp,524,1
111,goal_012,1,exito,14525,2302.43,05,sthwp,524,1
112,goal_012,2,exito,14525,2302.45,05,sthwp,524,1
113,goal_012,3,exito,14555,2095.1,05,sthwp,524,1
114,goal_012,4,col_return,8920,1219.87,05,sthwp,524,1
115,goal_012,5,exito,14525,2302.42,05,sthwp,524,1
116,goal_012,6,exito,14525,2302.41,05,sthwp,524,1
117,goal_012,7,exito,14533,2165.7,05,sthwp,524,1
118,goal_012,8,col_return,8922,1216.49,05,sthwp,524,1
119,goal_012,9,exito,14527,2302.77,05,sthwp,524,1
120,goal_012,10,exito,14529,2302.18,05,sthwp,524,1
121,goal_013,1,exito,14601,2297.33,05,sthwp,524,1
122,goal_013,2,col_return,8916,1217.3,05,sthwp,524,1
123,goal_013,3,exito,14599,2316.01,05,sthwp,524,1
124,goal_013,4,exito,14599,2315.95,05,sthwp,524,1
125,goal_013,5,exito,14599,2315.95,05,sthwp,524,1
126,goal_013,6,col_return,8803,1205.13,05,sthwp,524,1
127,goal_013,7,exito,14599,2316.03,05,sthwp,524,1
128,goal_013,8,exito,14599,2315.95,05,sthwp,524,1
129,goal_013,9,exito,14599,2315.95,05,sthwp,524,1
130,goal_013,10,exito,14599,2204.93,05,sthwp,524,1
131,goal_014,1,col_return,9002,1234.79,05,sthwp,524,1
132,goal_014,2,exito,14692,2332.26,05,sthwp,524,1
133,goal_014,3,exito,14694,2331.62,05,sthwp,524,1
134,goal_014,4,exito,14694,2331.67,05,sthwp,524,1
135,goal_014,5,exito,14694,2331.63,05,sthwp,524,1
136,goal_014,6,exito,14710,2160.54,05,sthwp,524,1
137,goal_014,7,col_return,8995,1238.96,05,sthwp,524,1
138,goal_014,8,exito,14692,2332.26,05,sthwp,524,1
139,goal_014,9,exito,14694,2331.68,05,sthwp,524,1
140,goal_014,10,exito,14694,2331.66,05,sthwp,524,1
141,goal_015,1,exito,14794,2347.21,05,sthwp,524,1
142,goal_015,2,exito,14792,2346.9,05,sthwp,524,1
143,goal_015,3,col_return,8989,1229.07,05,sthwp,524,1
144,goal_015,4,exito,14790,2347.47,05,sthwp,524,1
145,goal_015,5,exito,14791,2347.48,05,sthwp,524,1
146,goal_015,6,exito,14791,2347.48,05,sthwp,524,1
147,goal_015,7,exito,14791,2347.48,05,sthwp,524,1
148,goal_015,8,exito,14791,2347.47,05,sthwp,524,1
149,goal_015,9,exito,14792,2347.77,05,sthwp,524,1
150,goal_015,10,exito,14792,2347.77,05,sthwp,524,1
151,goal_016,1,exito,14889,2346.64,05,sthwp,524,1
152,goal_016,2,exito,14905,2190.06,05,sthwp,524,1
153,goal_016,3,col_return,9101,1253.68,05,sthwp,524,1
154,goal_016,4,exito,14889,2362.87,05,sthwp,524,1
155,goal_016,5,exito,14890,2362.87,05,sthwp,524,1
156,goal_016,6,exito,14890,2362.86,05,sthwp,524,1
157,goal_016,7,exito,14890,2362.86,05,sthwp,524,1
158,goal_016,8,exito,14890,2362.86,05,sthwp,524,1
159,goal_016,9,exito,14890,2362.87,05,sthwp,524,1
160,goal_016,10,exito,14889,2362.82,05,sthwp,524,1
161,goal_017,1,exito,14974,2375.34,05,sthwp,524,1
162,goal_017,2,exito,14974,2375.34,05,sthwp,524,1
163,goal_017,3,exito,14974,2375.34,05,sthwp,524,1
164,goal_017,4,exito,14974,2375.34,05,sthwp,524,1
165,goal_017,5,exito,14974,2375.34,05,sthwp,524,1
166,goal_017,6,exito,14974,2375.34,05,sthwp,524,1
167,goal_017,7,exito,14974,2375.34,05,sthwp,524,1
168,goal_017,8,exito,14974,2375.35,05,sthwp,524,1
169,goal_017,9,exito,14974,2375.34,05,sthwp,524,1
170,goal_017,10,exito,14974,2375.34,05,sthwp,524,1
171,goal_018,1,exito,15073,2379.16,05,sthwp,524,1
172,goal_018,2,exito,15075,2378.71,05,sthwp,524,1
173,goal_018,3,exito,15075,2378.73,05,sthwp,524,1
174,goal_018,4,exito,15075,2378.67,05,sthwp,524,1
175,goal_018,5,exito,15075,2378.67,05,sthwp,524,1
176,goal_018,6,exito,15075,2378.73,05,sthwp,524,1
177,goal_018,7,exito,15075,2378.68,05,sthwp,524,1
178,goal_018,8,exito,15075,2378.71,05,sthwp,524,1
179,goal_018,9,exito,15075,2378.7,05,sthwp,524,1
180,goal_018,10,exito,15075,2378.72,05,sthwp,524,1
181,goal_019,1,col_exit,3575,410.39,05,sthwp,524,1
182,goal_019,2,col_exit,5540,700.23,05,sthwp,524,1
183,goal_019,3,col_exit,6511,847.95,05,sthwp,524,1
184,goal_019,4,col_exit,3263,363.39,05,sthwp,524,1
185,goal_019,5,col_exit,5373,679.49,05,sthwp,524,1
186,goal_019,6,col_exit,6435,837.15,05,sthwp,524,1
187,goal_019,7,col_exit,3226,357.63,05,sthwp,524,1
188,goal_019,8,col_exit,5354,676.7,05,sthwp,524,1
189,goal_019,9,col_exit,6428,835.8,05,sthwp,524,1
190,goal_019,10,col_exit,3221,357.13,05,sthwp,524,1
191,goal_020,1,exito,15070,2442.16,05,sthwp,524,1
192,goal_020,2,exito,15068,2437.82,05,sthwp,524,1
193,goal_020,3,exito,15069,2431.54,05,sthwp,524,1
194,goal_020,4,exito,15070,2423.68,05,sthwp,524,1
195,goal_020,5,exito,15070,2413.73,05,sthwp,524,1
196,goal_020,6,col_return,10148,1451.58,05,sthwp,524,1
197,goal_020,7,exito,15070,2447.7,05,sthwp,524,1
198,goal_020,8,exito,15070,2447.69,05,sthwp,524,1
199,goal_020,9,exito,15068,2447.32,05,sthwp,524,1
200,goal_020,10,exito,15069,2447.23,05,sthwp,524,1
201,goal_021,1,exito,15242,2480.7,05,sthwp,524,1
202,goal_021,2,exito,15241,2480.1,05,sthwp,524,1
203,goal_021,3,exito,15241,2480.1,05,sthwp,524,1
