episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
1,goal_001,exito,5731,1044.73,02,sthwp,42
2,goal_002,exito,5707,1049.28,02,sthwp,42
3,goal_003,exito,5637,1058.89,02,sthwp,42
4,goal_004,exito,5569,1049.82,02,sthwp,42
5,goal_005,exito,5547,1046.03,02,sthwp,42
6,goal_006,exito,5536,1043.98,02,sthwp,42
7,goal_007,exito,5526,1042.32,02,sthwp,42
8,goal_008,exito,5524,1041.93,02,sthwp,42
9,goal_009,exito,5524,1041.98,02,sthwp,42
10,goal_010,exito,5524,1041.94,02,sthwp,42
11,goal_011,exito,5523,1041.84,02,sthwp,42
12,goal_012,exito,5523,1041.83,02,sthwp,42
13,goal_013,exito,5527,1041.96,02,sthwp,42
14,goal_014,exito,5525,1042.12,02,sthwp,42
15,goal_015,exito,5530,1043.19,02,sthwp,42
16,goal_016,exito,5560,1048.81,02,sthwp,42
17,goal_017,exito,5626,1056.85,02,sthwp,42
18,goal_018,exito,5699,1069.78,02,sthwp,42
19,goal_019,exito,5581,1052.04,02,sthwp,42
20,goal_020,exito,5566,1049.31,02,sthwp,42
21,goal_021,exito,5556,1049.56,02,sthwp,42
22,goal_022,exito,5479,1038.98,02,sthwp,42
23,goal_023,exito,5465,1035.66,02,sthwp,42
24,goal_024,exito,5458,1033.82,02,sthwp,42
25,goal_025,exito,5446,1030.25,02,sthwp,42
26,goal_026,exito,5443,1030.4,02,sthwp,42
27,goal_027,exito,5443,1030.63,02,sthwp,42
28,goal_028,exito,5443,1030.62,02,sthwp,42
29,goal_029,exito,5443,1030.64,02,sthwp,42
30,goal_030,exito,5443,1030.62,02,sthwp,42
31,goal_031,exito,5443,1030.43,02,sthwp,42
32,goal_032,exito,5444,1031.05,02,sthwp,42
33,goal_033,exito,5467,1027.22,02,sthwp,42
34,goal_034,exito,5509,1027.68,02,sthwp,42
35,goal_035,exito,5521,1042.2,02,sthwp,42
36,goal_036,exito,5596,1054.31,02,sthwp,42
37,goal_037,exito,5483,1039.98,02,sthwp,42
38,goal_038,exito,5460,1036.62,02,sthwp,42
39,goal_039,exito,5474,1038.69,02,sthwp,42
40,goal_040,exito,5481,1039.83,02,sthwp,42
41,goal_041,exito,5472,1038.49,02,sthwp,42
42,goal_042,exito,5472,1038.5,02,sthwp,42
43,goal_043,exito,5472,1038.49,02,sthwp,42
44,goal_044,exito,5472,1038.47,02,sthwp,42
45,goal_045,exito,5472,1038.46,02,sthwp,42
46,goal_046,exito,5472,1038.47,02,sthwp,42
47,goal_047,exito,5472,1038.46,02,sthwp,42
48,goal_048,exito,5472,1038.48,02,sthwp,42
49,goal_049,exito,5472,1038.46,02,sthwp,42
50,goal_050,exito,5472,1037.9,02,sthwp,42
51,goal_051,exito,4763,932.55,02,sthwp,42
52,goal_052,exito,4727,928.62,02,sthwp,42
53,goal_053,exito,4714,926.04,02,sthwp,42
54,goal_054,exito,4711,925.35,02,sthwp,42
55,goal_055,exito,4710,925.15,02,sthwp,42
56,goal_056,exito,4712,925.78,02,sthwp,42
57,goal_057,exito,4717,926.73,02,sthwp,42
58,goal_058,exito,4710,925.9,02,sthwp,42
59,goal_059,exito,4711,925.54,02,sthwp,42
60,goal_060,exito,4712,925.49,02,sthwp,42
61,goal_061,exito,4712,925.65,02,sthwp,42
62,goal_062,exito,4712,925.65,02,sthwp,42
63,goal_063,exito,4713,925.86,02,sthwp,42
64,goal_064,exito,4723,927.75,02,sthwp,42
65,goal_065,exito,4703,926.23,02,sthwp,42
66,goal_066,exito,4689,925.39,02,sthwp,42
67,goal_067,exito,4689,925.02,02,sthwp,42
68,goal_068,exito,4690,925.16,02,sthwp,42
69,goal_069,exito,4690,925.14,02,sthwp,42
70,goal_070,exito,4690,925.14,02,sthwp,42
71,goal_071,exito,4690,925.16,02,sthwp,42
72,goal_072,exito,4690,925.14,02,sthwp,42
73,goal_073,exito,4690,925.14,02,sthwp,42
74,goal_074,exito,4690,925.12,02,sthwp,42
75,goal_075,exito,4690,925.14,02,sthwp,42
76,goal_076,exito,4689,924.97,02,sthwp,42
77,goal_077,exito,4689,924.92,02,sthwp,42
78,goal_078,exito,4695,925.76,02,sthwp,42
79,goal_079,exito,4255,858.99,02,sthwp,42
80,goal_080,exito,4255,858.46,02,sthwp,42
81,goal_081,exito,4254,857.99,02,sthwp,42
82,goal_082,exito,4252,858.28,02,sthwp,42
83,goal_083,exito,4252,858.28,02,sthwp,42
84,goal_084,exito,4252,858.31,02,sthwp,42
85,goal_085,exito,4252,858.27,02,sthwp,42
86,goal_086,exito,4252,858.36,02,sthwp,42
87,goal_087,exito,4252,858.29,02,sthwp,42
88,goal_088,exito,4252,858.31,02,sthwp,42
89,goal_089,exito,4252,858.32,02,sthwp,42
90,goal_090,exito,4252,858.3,02,sthwp,42
91,goal_091,exito,4258,856.07,02,sthwp,42
92,goal_092,exito,4257,856.76,02,sthwp,42
93,goal_093,exito,4220,858.15,02,sthwp,42
