episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
1,goal_001,1,col_exit,2452,190.65,02,subwp,524,1
2,goal_001,2,col_exit,2876,259.95,02,subwp,524,1
3,goal_001,3,col_exit,3114,286.17,02,subwp,524,1
4,goal_001,4,col_exit,3237,-29.45,02,subwp,524,1
5,goal_001,5,col_exit,2976,-265.69,02,subwp,524,1
6,goal_001,6,col_exit,1766,95.17,02,subwp,524,1
7,goal_001,7,col_exit,2542,209.2,02,subwp,524,1
8,goal_001,8,col_exit,2936,263.51,02,subwp,524,1
9,goal_001,9,col_exit,3139,271.17,02,subwp,524,1
10,goal_001,10,col_exit,2958,-401.56,02,subwp,524,1
11,goal_002,1,col_exit,1730,95.64,02,subwp,524,1
12,goal_002,2,col_exit,2523,213.14,02,subwp,524,1
13,goal_002,3,col_exit,2910,279.3,02,subwp,524,1
14,goal_002,4,col_exit,3122,229.59,02,subwp,524,1
15,goal_002,5,col_exit,1569,77.38,02,subwp,524,1
16,goal_002,6,col_exit,2434,208.78,02,subwp,524,1
17,goal_002,7,col_exit,2879,274.73,02,subwp,524,1
18,goal_002,8,col_exit,3108,274.38,02,subwp,524,1
19,goal_002,9,col_exit,1563,70.89,02,subwp,524,1
20,goal_002,10,col_exit,2440,201.78,02,subwp,524,1
21,goal_003,1,exito,5746,1038.69,02,subwp,524,1
22,goal_003,2,exito,5741,1038.2,02,subwp,524,1
23,goal_003,3,exito,5743,1039.26,02,subwp,524,1
24,goal_003,4,exito,5743,1038.54,02,subwp,524,1
25,goal_003,5,exito,5743,1039.26,02,subwp,524,1
26,goal_003,6,exito,5743,1039.27,02,subwp,524,1
27,goal_003,7,exito,5741,1039.01,02,subwp,524,1
28,goal_003,8,exito,5742,1031.3,02,subwp,524,1
29,goal_003,9,exito,5742,1009.08,02,subwp,524,1
30,goal_003,10,exito,5742,1039.32,02,subwp,524,1
31,goal_004,1,exito,5673,1031.51,02,subwp,524,1
