episodio,goal_id,resultado,pasos,reward,warehouse_id,metodo,seed
1,goal_001,exito,5790,1043.0,02,subwp,524
2,goal_002,exito,5740,1050.69,02,subwp,524
3,goal_003,exito,5742,1039.3,02,subwp,524
4,goal_004,exito,5673,1031.5,02,subwp,524
5,goal_005,exito,5660,1026.58,02,subwp,524
6,goal_006,exito,5655,1027.28,02,subwp,524
7,goal_007,exito,5635,1028.32,02,subwp,524
8,goal_008,exito,5643,1026.2,02,subwp,524
9,goal_009,exito,5624,1027.67,02,subwp,524
10,goal_010,exito,5649,1025.57,02,subwp,524
11,goal_011,exito,5628,1028.52,02,subwp,524
12,goal_012,exito,5650,1023.38,02,subwp,524
13,goal_013,exito,5626,1027.68,02,subwp,524
14,goal_014,exito,5650,1022.87,02,subwp,524
15,goal_015,exito,5626,1028.61,02,subwp,524
16,goal_016,exito,5596,1042.53,02,subwp,524
17,goal_017,exito,5663,1052.04,02,subwp,524
18,goal_018,exito,5729,1063.54,02,subwp,524
19,goal_019,exito,5662,1051.61,02,subwp,524
20,goal_020,exito,5645,1058.14,02,subwp,524
21,goal_021,exito,5620,1054.76,02,subwp,524
22,goal_022,exito,5559,1045.98,02,subwp,524
23,goal_023,exito,5539,1044.56,02,subwp,524
24,goal_024,exito,5540,1040.79,02,subwp,524
25,goal_025,exito,5561,1037.57,02,subwp,524
26,goal_026,exito,5542,1041.11,02,subwp,524
27,goal_027,exito,5553,1038.43,02,subwp,524
28,goal_028,exito,5536,1041.91,02,subwp,524
29,goal_029,exito,5549,1043.21,02,subwp,524
30,goal_030,exito,5535,1041.08,02,subwp,524
31,goal_031,exito,5553,1039.28,02,subwp,524
32,goal_032,exito,5530,1041.22,02,subwp,524
33,goal_033,exito,5548,1042.9,02,subwp,524
34,goal_034,exito,5540,1043.33,02,subwp,524
35,goal_035,exito,5588,1050.78,02,subwp,524
36,goal_036,exito,5660,1061.01,02,subwp,524
37,goal_037,exito,5573,1020.06,02,subwp,524
38,goal_038,exito,5567,1018.32,02,subwp,524
39,goal_039,exito,5588,1019.53,02,subwp,524
40,goal_040,exito,5585,1023.07,02,subwp,524
41,goal_041,exito,5556,1025.07,02,subwp,524
42,goal_042,exito,5573,1023.4,02,subwp,524
43,goal_043,exito,5558,1024.85,02,subwp,524
44,goal_044,exito,5575,1022.83,02,subwp,524
45,goal_045,exito,5556,1025.12,02,subwp,524
46,goal_046,exito,5580,1020.36,02,subwp,524
47,goal_047,exito,5556,1025.16,02,subwp,524
48,goal_048,exito,5580,1020.43,02,subwp,524
49,goal_049,exito,5556,1025.24,02,subwp,524
50,goal_050,exito,5527,1035.52,02,subwp,524
51,goal_051,exito,4788,926.92,02,subwp,524
52,goal_052,exito,4752,924.72,02,subwp,524
53,goal_053,exito,4747,920.98,02,subwp,524
54,goal_054,exito,4741,921.33,02,subwp,524
55,goal_055,exito,4745,919.35,02,subwp,524
56,goal_056,exito,4746,921.81,02,subwp,524
