episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1621,448.76
2,goal_01,exito,1623,448.13
3,goal_01,exito,1622,448.49
4,goal_01,exito,1620,448.17
5,goal_01,exito,1619,447.72
6,goal_01,exito,1622,448.7
7,goal_01,exito,1622,448.75
8,goal_01,exito,1623,448.05
9,goal_01,exito,1620,448.88
10,goal_01,exito,1620,448.15
11,goal_01,exito,1620,447.72
12,goal_01,exito,1621,447.68
13,goal_01,exito,1622,448.74
14,goal_01,exito,1622,447.98
15,goal_01,exito,1620,448.51
16,goal_01,exito,1621,448.26
17,goal_01,exito,1620,447.82
18,goal_01,exito,1620,447.49
19,goal_01,exito,1621,448.61
20,goal_01,exito,1622,447.89
21,goal_01,exito,1620,448.3
22,goal_01,exito,1621,448.46
23,goal_01,exito,1618,447.99
24,goal_01,exito,1619,447.64
25,goal_01,exito,1621,448.6
26,goal_01,exito,1622,447.81
27,goal_01,exito,1623,448.42
28,goal_01,exito,1621,448.38
29,goal_01,exito,1618,447.9
30,goal_01,exito,1620,447.77
31,goal_01,exito,1621,448.6
32,goal_01,exito,1622,447.78
33,goal_01,exito,1622,448.04
34,goal_01,exito,1622,448.39
35,goal_01,exito,1619,447.64
36,goal_01,exito,1619,447.59
37,goal_01,exito,1621,448.42
38,goal_01,exito,1621,447.62
39,goal_01,exito,1622,448.0
40,goal_01,exito,1622,448.64
41,goal_01,exito,1620,448.19
42,goal_01,exito,1619,447.69
43,goal_01,exito,1620,448.3
44,goal_01,exito,1622,448.76
45,goal_01,exito,1623,448.05
46,goal_01,exito,1620,448.81
47,goal_01,exito,1620,448.12
48,goal_01,exito,1620,447.68
49,goal_01,exito,1621,447.53
50,goal_01,exito,1622,448.75
51,goal_01,exito,1622,448.0
52,goal_01,exito,1620,448.53
53,goal_01,exito,1621,448.27
54,goal_01,exito,1620,447.81
55,goal_01,exito,1620,447.61
56,goal_01,exito,1621,448.61
57,goal_01,exito,1622,447.9
58,goal_01,exito,1621,448.69
59,goal_01,exito,1621,448.29
60,goal_01,exito,1618,447.99
61,goal_01,exito,1620,447.45
62,goal_01,exito,1621,448.61
63,goal_01,exito,1622,447.8
64,goal_01,exito,1629,448.52
65,goal_01,exito,1621,448.32
