episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1624,461.13
2,goal_01,exito,1575,449.42
3,goal_01,exito,1625,460.23
4,goal_01,exito,1590,452.15
5,goal_01,exito,1574,448.47
6,goal_01,exito,1623,460.83
7,goal_01,exito,1562,445.25
8,goal_01,exito,1626,460.42
9,goal_01,exito,1585,450.91
10,goal_01,exito,1575,450.37
11,goal_01,exito,1621,460.58
12,goal_01,exito,1561,445.73
13,goal_01,exito,1629,461.12
14,goal_01,exito,1580,451.09
15,goal_01,exito,1576,452.1
16,goal_01,exito,1619,460.18
17,goal_01,exito,1559,446.5
18,goal_01,exito,1627,460.98
19,goal_01,exito,1579,450.77
20,goal_01,exito,1579,452.97
21,goal_01,exito,1612,457.79
22,goal_01,exito,1566,447.02
23,goal_01,exito,1623,460.8
24,goal_01,exito,1576,449.85
25,goal_01,exito,1591,454.69
26,goal_01,exito,1596,454.47
27,goal_01,exito,1570,447.18
28,goal_01,exito,1622,461.01
29,goal_01,exito,1575,449.47
30,goal_01,exito,1606,456.37
31,goal_01,exito,1592,453.21
32,goal_01,exito,1572,447.32
33,goal_01,exito,1620,460.97
34,goal_01,exito,1573,449.33
35,goal_01,exito,1608,456.37
36,goal_01,exito,1589,451.93
37,goal_01,exito,1573,448.34
38,goal_01,exito,1623,460.83
39,goal_01,exito,1560,445.09
40,goal_01,exito,1626,460.39
41,goal_01,exito,1585,451.06
42,goal_01,exito,1574,450.69
43,goal_01,exito,1622,460.84
44,goal_01,exito,1561,445.9
45,goal_01,exito,1627,460.76
46,goal_01,exito,1580,450.97
47,goal_01,exito,1575,452.12
48,goal_01,exito,1617,459.52
49,goal_01,exito,1565,446.5
50,goal_01,exito,1628,461.25
51,goal_01,exito,1578,450.59
52,goal_01,exito,1579,453.02
53,goal_01,exito,1612,457.83
54,goal_01,exito,1566,447.05
55,goal_01,exito,1623,460.96
56,goal_01,exito,1577,450.05
57,goal_01,exito,1593,455.18
58,goal_01,exito,1596,454.47
59,goal_01,exito,1570,447.18
60,goal_01,exito,1622,461.02
61,goal_01,exito,1575,449.46
62,goal_01,exito,1606,456.36
63,goal_01,exito,1592,453.18
64,goal_01,exito,1571,447.17
65,goal_01,exito,1620,460.98
66,goal_01,exito,1574,449.5
67,goal_01,exito,1608,456.36
68,goal_01,exito,1589,451.93
69,goal_01,exito,1572,448.66
70,goal_01,exito,1623,460.88
71,goal_01,exito,1564,445.48
72,goal_01,exito,1626,460.42
73,goal_01,exito,1585,451.0
74,goal_01,exito,1575,450.47
75,goal_01,exito,1622,460.78
76,goal_01,exito,1561,445.81
77,goal_01,exito,1627,460.77
78,goal_01,exito,1580,451.01
79,goal_01,exito,1576,452.2
80,goal_01,exito,1618,459.84
81,goal_01,exito,1560,446.37
82,goal_01,exito,1628,461.25
83,goal_01,exito,1578,450.6
84,goal_01,exito,1579,453.03
85,goal_01,exito,1612,457.83
86,goal_01,exito,1566,447.07
87,goal_01,exito,1623,460.96
88,goal_01,exito,1577,450.04
89,goal_01,exito,1593,455.19
90,goal_01,exito,1596,454.46
91,goal_01,exito,1570,447.18
92,goal_01,exito,1622,461.02
93,goal_01,exito,1575,449.47
94,goal_01,exito,1606,456.35
95,goal_01,exito,1592,453.19
96,goal_01,exito,1571,447.16
97,goal_01,exito,1620,460.97
98,goal_01,exito,1574,449.5
99,goal_01,exito,1608,456.37
100,goal_01,exito,1589,451.92
101,goal_02,exito,1828,483.26
102,goal_02,exito,1817,484.54
103,goal_02,exito,1841,488.54
104,goal_02,exito,1874,494.3
105,goal_02,exito,1863,492.11
106,goal_02,exito,1842,485.76
107,goal_02,exito,1829,484.24
108,goal_02,exito,1809,480.64
109,goal_02,exito,1837,488.25
110,goal_02,exito,1866,492.97
111,goal_02,exito,1867,492.89
112,goal_02,exito,1857,487.76
113,goal_02,exito,1836,485.07
114,goal_02,exito,1827,483.04
115,goal_02,exito,1821,485.46
116,goal_02,exito,1842,488.56
117,goal_02,exito,1871,493.58
118,goal_02,exito,1866,491.53
119,goal_02,exito,1841,485.86
120,goal_02,exito,1829,484.12
121,goal_02,exito,1815,481.44
122,goal_02,exito,1837,488.24
123,goal_02,exito,1867,493.3
124,goal_02,exito,1865,492.54
125,goal_02,exito,1856,487.16
126,goal_02,exito,1836,485.17
127,goal_02,exito,1826,482.9
128,goal_02,exito,1823,486.2
129,goal_02,exito,1843,488.59
130,goal_02,exito,1871,493.54
131,goal_02,exito,1865,491.08
132,goal_02,exito,1842,486.08
133,goal_02,exito,1830,484.22
134,goal_02,exito,1815,482.03
135,goal_02,exito,1838,488.4
136,goal_02,exito,1869,493.78
137,goal_02,exito,1864,492.44
138,goal_02,exito,1853,486.48
139,goal_02,exito,1834,484.87
140,goal_02,exito,1815,478.89
141,goal_02,exito,1824,487.05
142,goal_02,exito,1846,488.78
143,goal_02,exito,1870,493.21
144,goal_02,exito,1860,489.4
145,goal_02,exito,1839,485.38
146,goal_02,exito,1830,483.72
147,goal_02,exito,1816,483.78
148,goal_02,exito,1837,488.22
149,goal_02,exito,1869,493.39
150,goal_02,exito,1863,492.14
151,goal_02,exito,1843,485.87
152,goal_02,exito,1830,484.5
153,goal_02,exito,1809,480.22
154,goal_02,exito,1836,488.05
155,goal_02,exito,1849,489.04
156,goal_02,exito,1865,492.56
157,goal_02,exito,1854,486.74
158,goal_02,exito,1834,484.81
159,goal_02,exito,1827,483.01
160,goal_02,exito,1822,486.14
161,goal_02,exito,1843,488.53
162,goal_02,exito,1871,493.45
163,goal_02,exito,1863,490.49
164,goal_02,exito,1841,485.81
165,goal_02,exito,1830,484.02
166,goal_02,exito,1815,482.56
167,goal_02,exito,1839,488.53
168,goal_02,exito,1867,493.24
169,goal_02,exito,1863,492.26
170,goal_02,exito,1852,486.49
171,goal_02,exito,1832,484.55
172,goal_02,exito,1811,479.07
173,goal_02,exito,1833,487.66
174,goal_02,exito,1846,488.55
175,goal_02,exito,1869,493.16
176,goal_02,exito,1860,489.01
177,goal_02,exito,1839,485.48
178,goal_02,exito,1828,483.28
179,goal_02,exito,1817,484.55
180,goal_02,exito,1839,488.13
181,goal_02,exito,1874,494.32
182,goal_02,exito,1863,492.08
183,goal_02,exito,1842,485.77
184,goal_02,exito,1829,484.25
185,goal_02,exito,1809,480.73
186,goal_02,exito,1837,488.24
187,goal_02,exito,1865,492.8
188,goal_02,exito,1867,492.91
189,goal_02,exito,1857,487.7
190,goal_02,exito,1836,485.1
191,goal_02,exito,1828,483.21
192,goal_02,exito,1821,485.49
193,goal_02,exito,1842,488.54
194,goal_02,exito,1875,494.45
195,goal_02,exito,1864,491.68
196,goal_02,exito,1841,485.84
197,goal_02,exito,1829,484.14
198,goal_02,exito,1815,481.4
199,goal_02,exito,1837,488.23
200,goal_02,exito,1867,493.27
201,goal_03,exito,2082,524.81
202,goal_03,exito,2072,524.21
203,goal_03,exito,2060,522.0
204,goal_03,exito,2051,520.65
205,goal_03,exito,2027,517.21
206,goal_03,exito,2027,515.65
207,goal_03,exito,2027,513.91
208,goal_03,exito,2040,517.13
209,goal_03,exito,2040,516.35
210,goal_03,exito,2040,515.99
211,goal_03,exito,2043,516.15
212,goal_03,exito,2046,516.65
213,goal_03,exito,2056,517.71
214,goal_03,exito,2068,518.2
215,goal_03,exito,2074,520.49
216,goal_03,exito,2082,521.92
217,goal_03,exito,2098,525.07
218,goal_03,exito,2086,524.48
219,goal_03,exito,2077,524.41
220,goal_03,exito,2066,523.63
221,goal_03,exito,2057,521.55
222,goal_03,exito,2039,518.37
223,goal_03,exito,2028,516.91
224,goal_03,exito,2026,514.87
225,goal_03,exito,2040,517.45
226,goal_03,exito,2039,516.37
227,goal_03,exito,2041,516.31
228,goal_03,exito,2042,516.2
229,goal_03,exito,2046,516.73
230,goal_03,exito,2053,517.58
231,goal_03,exito,2063,517.71
232,goal_03,exito,2073,519.81
233,goal_03,exito,2077,521.32
234,goal_03,exito,2091,523.78
235,goal_03,exito,2099,526.19
236,goal_03,exito,2080,524.57
237,goal_03,exito,2069,523.83
238,goal_03,exito,2059,521.79
239,goal_03,exito,2049,520.29
240,goal_03,exito,2027,517.1
241,goal_03,exito,2027,515.46
242,goal_03,exito,2028,513.9
243,goal_03,exito,2040,516.96
244,goal_03,exito,2040,516.28
245,goal_03,exito,2040,515.97
246,goal_03,exito,2045,516.38
247,goal_03,exito,2051,517.47
248,goal_03,exito,2059,517.9
249,goal_03,exito,2070,518.59
250,goal_03,exito,2077,521.08
251,goal_03,exito,2089,523.04
252,goal_03,exito,2097,525.1
253,goal_03,exito,2084,524.67
254,goal_03,exito,2074,524.21
255,goal_03,exito,2061,522.48
256,goal_03,exito,2054,520.94
257,goal_03,exito,2034,518.12
258,goal_03,exito,2027,516.26
259,goal_03,exito,2026,514.49
260,goal_03,exito,2040,517.44
261,goal_03,exito,2039,516.22
262,goal_03,exito,2041,516.25
263,goal_03,exito,2042,516.1
264,goal_03,exito,2046,516.7
265,goal_03,exito,2054,517.51
266,goal_03,exito,2066,518.15
267,goal_03,exito,2072,520.08
268,goal_03,exito,2078,521.27
269,goal_03,exito,2093,524.28
270,goal_03,exito,2088,524.23
271,goal_03,exito,2080,524.58
272,goal_03,exito,2069,523.88
273,goal_03,exito,2059,521.84
274,goal_03,exito,2048,520.12
275,goal_03,exito,2027,517.11
276,goal_03,exito,2027,515.46
277,goal_03,exito,2028,513.9
278,goal_03,exito,2040,516.96
279,goal_03,exito,2040,516.3
280,goal_03,exito,2040,515.97
281,goal_03,exito,2045,516.39
282,goal_03,exito,2051,517.44
283,goal_03,exito,2059,517.9
284,goal_03,exito,2070,518.59
285,goal_03,exito,2077,521.09
286,goal_03,exito,2089,523.04
287,goal_03,exito,2097,525.1
288,goal_03,exito,2084,524.67
289,goal_03,exito,2074,524.2
290,goal_03,exito,2061,522.49
291,goal_03,exito,2054,520.94
292,goal_03,exito,2034,518.12
293,goal_03,exito,2027,516.25
294,goal_03,exito,2026,514.5
295,goal_03,exito,2040,517.43
296,goal_03,exito,2039,516.23
297,goal_03,exito,2041,516.25
298,goal_03,exito,2042,516.1
299,goal_03,exito,2046,516.7
300,goal_03,exito,2054,517.52
301,goal_04,exito,2289,561.43
302,goal_04,exito,2279,551.93
303,goal_04,exito,2266,555.9
304,goal_04,exito,2275,559.24
305,goal_04,exito,2277,563.59
306,goal_04,exito,2276,558.61
307,goal_04,exito,2284,556.78
308,goal_04,exito,2284,560.41
309,goal_04,exito,2273,557.71
310,goal_04,exito,2260,557.52
311,goal_04,exito,2283,559.03
312,goal_04,exito,2285,563.3
313,goal_04,exito,2282,556.17
314,goal_04,exito,2276,555.89
315,goal_04,exito,2279,558.82
316,goal_04,exito,2271,562.73
317,goal_04,exito,2270,557.93
318,goal_04,exito,2288,558.4
319,goal_04,exito,2288,561.74
320,goal_04,exito,2281,552.46
321,goal_04,exito,2267,555.79
322,goal_04,exito,2274,558.88
323,goal_04,exito,2276,563.59
324,goal_04,exito,2275,558.58
325,goal_04,exito,2285,556.98
326,goal_04,exito,2285,560.91
327,goal_04,exito,2274,555.25
