episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1643,446.56
2,goal_01,exito,1644,446.55
3,goal_01,exito,1645,446.79
4,goal_01,exito,1644,446.55
5,goal_01,exito,1645,446.79
6,goal_01,exito,1645,446.79
7,goal_01,exito,1645,446.79
8,goal_01,exito,1645,446.8
9,goal_01,exito,1645,446.79
10,goal_01,exito,1645,446.79
11,goal_01,exito,1645,446.78
12,goal_01,exito,1644,446.6
13,goal_01,exito,1645,446.74
14,goal_01,exito,1645,446.73
15,goal_01,exito,1645,446.76
16,goal_01,exito,1645,446.83
17,goal_01,exito,1645,446.8
18,goal_01,exito,1645,446.74
19,goal_01,exito,1645,446.74
20,goal_01,exito,1645,446.8
21,goal_01,exito,1644,446.62
22,goal_01,exito,1645,446.73
23,goal_01,exito,1644,446.55
24,goal_01,exito,1645,446.79
25,goal_01,exito,1645,446.84
26,goal_01,exito,1645,446.79
27,goal_01,exito,1645,446.74
28,goal_01,exito,1644,446.56
29,goal_01,exito,1645,446.73
30,goal_01,exito,1645,446.73
31,goal_01,exito,1645,446.73
32,goal_01,exito,1645,446.75
33,goal_01,exito,1645,446.79
34,goal_01,exito,1645,446.79
35,goal_01,exito,1645,446.83
36,goal_01,exito,1644,446.61
37,goal_01,exito,1645,446.78
38,goal_01,exito,1644,446.6
39,goal_01,exito,1645,446.74
40,goal_01,exito,1645,446.73
41,goal_01,exito,1645,446.79
42,goal_01,exito,1645,446.75
43,goal_01,exito,1645,446.79
44,goal_01,exito,1645,446.73
45,goal_01,exito,1645,446.79
46,goal_01,exito,1645,446.73
47,goal_01,exito,1644,446.56
48,goal_01,exito,1645,446.79
49,goal_01,exito,1645,446.74
50,goal_01,exito,1645,446.75
51,goal_01,exito,1645,446.79
52,goal_01,exito,1645,446.79
53,goal_01,exito,1645,446.79
54,goal_01,exito,1645,446.78
55,goal_01,exito,1645,446.79
56,goal_01,exito,1645,446.79
57,goal_01,exito,1644,446.6
58,goal_01,exito,1645,446.74
59,goal_01,exito,1645,446.73
60,goal_01,exito,1645,446.79
