episodio,goal_id,resultado,pasos_ap_ex,pasos_retorno,pasos_total,reward_ap_ex,reward_retorno,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_retorno,976,1,977,281.08,-150.0,131.08,1,1
2,goal_01,col_exit,680,0,680,-16.31,0.0,-16.31,1,0
3,goal_01,col_retorno,976,1,977,280.85,-150.0,130.85,1,1
4,goal_01,col_exit,686,0,686,-13.6,0.0,-13.6,1,0
5,goal_01,col_retorno,989,1,990,278.12,-150.0,128.12,1,1
6,goal_01,col_exit,688,0,688,-13.16,0.0,-13.16,1,0
7,goal_01,col_retorno,1005,1,1006,272.66,-150.0,122.66,1,1
8,goal_01,col_exit,689,0,689,-13.37,0.0,-13.37,1,0
9,goal_01,col_retorno,976,1,977,281.22,-150.0,131.22,1,1
10,goal_01,col_exit,695,0,695,-12.61,0.0,-12.61,1,0
11,goal_01,col_exit,677,0,677,-15.17,0.0,-15.17,1,0
12,goal_01,col_retorno,976,7,983,281.24,-149.53,131.71,1,1
13,goal_01,col_exit,663,0,663,-17.13,0.0,-17.13,1,0
14,goal_01,col_retorno,976,1,977,280.92,-150.0,130.92,1,1
15,goal_01,col_exit,668,0,668,-16.7,0.0,-16.7,1,0
16,goal_01,col_retorno,980,1,981,279.26,-150.0,129.26,1,1
17,goal_01,col_exit,673,0,673,-15.27,0.0,-15.27,1,0
18,goal_01,col_retorno,1001,1,1002,274.58,-150.0,124.58,1,1
19,goal_01,col_exit,693,0,693,-12.74,0.0,-12.74,1,0
20,goal_01,col_retorno,980,1,981,279.97,-150.0,129.97,1,1
21,goal_01,col_exit,692,0,692,-14.69,0.0,-14.69,1,0
22,goal_01,col_exit,694,0,694,-12.98,0.0,-12.98,1,0
23,goal_01,col_retorno,976,111,1087,281.27,-147.29,133.98,1,1
24,goal_01,col_retorno,976,1,977,281.23,-150.0,131.23,1,1
25,goal_01,col_exit,682,0,682,-16.07,0.0,-16.07,1,0
26,goal_01,col_retorno,976,1,977,280.92,-150.0,130.92,1,1
27,goal_01,col_exit,665,0,665,-16.38,0.0,-16.38,1,0
28,goal_01,col_retorno,982,1,983,278.79,-150.0,128.79,1,1
29,goal_01,col_exit,677,0,677,-15.21,0.0,-15.21,1,0
30,goal_01,col_retorno,1000,1,1001,274.76,-150.0,124.76,1,1
31,goal_01,col_exit,692,0,692,-13.17,0.0,-13.17,1,0
32,goal_01,col_retorno,978,1,979,280.92,-150.0,130.91,1,1
33,goal_01,col_exit,691,0,691,-13.85,0.0,-13.85,1,0
34,goal_01,col_exit,690,0,690,-13.16,0.0,-13.16,1,0
35,goal_01,col_retorno,976,113,1089,281.21,-146.94,134.27,1,1
