episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,239,86.71
2,goal_01,exito,238,86.56
3,goal_01,exito,238,86.56
4,goal_01,exito,238,86.56
5,goal_01,exito,238,86.56
6,goal_01,exito,238,86.56
7,goal_01,exito,238,86.56
8,goal_01,exito,238,86.56
9,goal_01,exito,238,86.56
10,goal_01,exito,238,86.56
11,goal_01,exito,238,86.56
12,goal_01,exito,238,86.56
13,goal_01,exito,238,86.56
14,goal_01,exito,238,86.56
15,goal_01,exito,238,86.56
16,goal_01,exito,238,86.56
17,goal_01,exito,238,86.56
18,goal_01,exito,238,86.56
19,goal_01,exito,238,86.56
20,goal_01,exito,238,86.56
21,goal_01,exito,238,86.56
22,goal_01,exito,238,86.56
23,goal_01,exito,238,86.56
24,goal_01,exito,238,86.56
25,goal_01,exito,238,86.56
26,goal_01,exito,238,86.56
27,goal_01,exito,238,86.56
28,goal_01,exito,238,86.56
29,goal_01,exito,238,86.56
30,goal_01,exito,238,86.56
31,goal_01,exito,238,86.56
32,goal_01,exito,238,86.56
33,goal_01,exito,238,86.56
34,goal_01,exito,238,86.56
35,goal_01,exito,238,86.56
36,goal_01,exito,238,86.56
37,goal_01,exito,238,86.56
38,goal_01,exito,238,86.56
39,goal_01,exito,238,86.56
40,goal_01,exito,238,86.56
41,goal_01,exito,238,86.56
42,goal_01,exito,238,86.56
43,goal_01,exito,238,86.56
44,goal_01,exito,238,86.56
45,goal_01,exito,238,86.56
46,goal_01,exito,238,86.56
47,goal_01,exito,238,86.56
48,goal_01,exito,238,86.56
49,goal_01,exito,238,86.56
50,goal_01,exito,238,86.56
51,goal_01,exito,238,86.56
52,goal_01,exito,238,86.56
53,goal_01,exito,238,86.56
54,goal_01,exito,238,86.56
55,goal_01,exito,238,86.56
56,goal_01,exito,238,86.56
57,goal_01,exito,238,86.56
58,goal_01,exito,238,86.56
59,goal_01,exito,238,86.56
60,goal_01,exito,238,86.56
61,goal_01,exito,238,86.56
62,goal_01,exito,238,86.56
63,goal_01,exito,238,86.56
64,goal_01,exito,238,86.56
65,goal_01,exito,238,86.56
66,goal_01,exito,238,86.56
67,goal_01,exito,238,86.56
68,goal_01,exito,238,86.56
69,goal_01,exito,238,86.56
70,goal_01,exito,238,86.56
71,goal_01,exito,238,86.56
72,goal_01,exito,238,86.56
