episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1,goal_01,exit,colision,38,-149.89,True
2,goal_01,exit,colision,27,-150.87,True
3,goal_01,exit,colision,27,-150.06,True
4,goal_01,exit,colision,39,-150.78,True
5,goal_01,exit,colision,27,-149.78,True
6,goal_01,exit,colision,39,-150.11,True
7,goal_01,exit,colision,28,-149.94,True
8,goal_01,exit,colision,32,-149.63,True
9,goal_01,exit,colision,36,-149.67,True
10,goal_01,exit,colision,26,-151.18,True
11,goal_01,exit,colision,29,-150.89,True
12,goal_01,exit,colision,29,-150.24,True
13,goal_01,exit,colision,30,-150.79,True
14,goal_01,exit,colision,32,-151.43,True
15,goal_01,exit,colision,28,-150.11,True
16,goal_01,exit,colision,1,-150.0,True
17,goal_01,exit,colision,31,-149.61,True
18,goal_01,exit,colision,34,-150.48,True
19,goal_01,exit,colision,32,-149.97,True
20,goal_01,exit,colision,26,-149.58,True
21,goal_01,exit,colision,32,-149.7,True
22,goal_01,exit,colision,1,-150.0,True
23,goal_01,exit,colision,34,-149.48,True
24,goal_01,exit,colision,34,-150.35,True
25,goal_01,exit,colision,32,-149.65,True
26,goal_01,exit,colision,27,-150.36,True
27,goal_01,exit,colision,26,-151.07,True
28,goal_01,exit,colision,1,-150.0,True
29,goal_01,exit,colision,24,-149.59,True
30,goal_01,exit,colision,34,-149.82,True
31,goal_01,exit,colision,1,-150.0,True
32,goal_01,exit,colision,30,-149.71,True
33,goal_01,exit,colision,34,-150.45,True
34,goal_01,exit,colision,30,-151.15,True
35,goal_01,exit,colision,28,-151.13,True
36,goal_01,exit,colision,26,-150.63,True
37,goal_01,exit,colision,29,-150.25,True
38,goal_01,exit,colision,32,-149.71,True
39,goal_01,exit,colision,27,-150.67,True
40,goal_01,exit,colision,40,-149.86,True
41,goal_01,exit,colision,30,-151.55,True
42,goal_01,exit,colision,24,-149.95,True
43,goal_01,exit,colision,1,-150.0,True
44,goal_01,exit,colision,38,-149.35,True
45,goal_01,exit,colision,29,-150.03,True
46,goal_01,exit,colision,30,-150.44,True
47,goal_01,exit,colision,27,-149.87,True
48,goal_01,exit,colision,29,-149.93,True
49,goal_01,exit,colision,29,-151.6,True
50,goal_01,exit,colision,30,-150.87,True
51,goal_01,exit,colision,29,-150.95,True
52,goal_01,exit,colision,30,-150.71,True
53,goal_01,exit,colision,27,-150.74,True
54,goal_01,exit,colision,30,-150.87,True
55,goal_01,exit,colision,32,-149.68,True
56,goal_01,exit,colision,29,-149.92,True
57,goal_01,exit,colision,32,-149.85,True
58,goal_01,exit,colision,34,-150.65,True
59,goal_01,exit,colision,34,-150.54,True
60,goal_01,exit,colision,27,-150.77,True
61,goal_01,exit,colision,29,-151.16,True
62,goal_01,exit,colision,30,-150.03,True
63,goal_01,exit,colision,28,-151.46,True
64,goal_01,exit,colision,26,-150.06,True
65,goal_01,exit,colision,30,-150.79,True
66,goal_01,exit,colision,27,-150.87,True
67,goal_01,exit,colision,40,-150.28,True
68,goal_01,exit,colision,29,-150.75,True
69,goal_01,exit,colision,29,-151.1,True
70,goal_01,exit,colision,28,-150.14,True
71,goal_01,exit,colision,30,-151.34,True
72,goal_01,exit,colision,26,-150.54,True
73,goal_01,exit,colision,25,-149.91,True
74,goal_01,exit,colision,30,-150.18,True
75,goal_01,exit,colision,31,-150.82,True
76,goal_01,exit,colision,32,-149.69,True
77,goal_01,exit,colision,1,-150.0,True
78,goal_01,exit,colision,28,-150.07,True
79,goal_01,exit,colision,32,-149.64,True
80,goal_01,exit,colision,27,-150.17,True
81,goal_01,exit,colision,34,-150.72,True
82,goal_01,exit,colision,1,-150.0,True
83,goal_01,exit,colision,25,-150.34,True
84,goal_01,exit,colision,28,-151.07,True
85,goal_01,exit,colision,31,-149.94,True
86,goal_01,exit,colision,27,-149.87,True
87,goal_01,exit,colision,26,-151.17,True
88,goal_01,exit,colision,31,-151.39,True
89,goal_01,exit,colision,32,-149.63,True
90,goal_01,exit,colision,30,-151.62,True
91,goal_01,exit,colision,26,-149.63,True
92,goal_01,exit,colision,30,-149.83,True
93,goal_01,exit,colision,25,-150.08,True
94,goal_01,exit,colision,32,-149.7,True
95,goal_01,exit,colision,26,-151.18,True
96,goal_01,exit,colision,31,-150.23,True
97,goal_01,exit,colision,30,-150.41,True
98,goal_01,exit,colision,28,-150.76,True
99,goal_01,exit,colision,31,-149.66,True
100,goal_01,exit,colision,30,-151.31,True
101,goal_02,exit,colision,24,-150.46,True
102,goal_02,exit,colision,24,-150.33,True
103,goal_02,exit,colision,30,-150.72,True
104,goal_02,exit,colision,27,-150.87,True
105,goal_02,exit,colision,29,-151.11,True
106,goal_02,exit,colision,30,-149.72,True
107,goal_02,exit,colision,25,-149.95,True
108,goal_02,exit,colision,29,-150.23,True
109,goal_02,exit,colision,28,-150.77,True
110,goal_02,exit,colision,31,-150.72,True
111,goal_02,exit,colision,27,-149.65,True
112,goal_02,exit,colision,27,-150.39,True
113,goal_02,exit,colision,27,-149.82,True
114,goal_02,exit,colision,32,-149.94,True
115,goal_02,exit,colision,29,-149.77,True
116,goal_02,exit,colision,27,-149.87,True
117,goal_02,exit,colision,32,-149.69,True
118,goal_02,exit,colision,32,-149.87,True
119,goal_02,exit,colision,27,-149.8,True
120,goal_02,exit,colision,31,-149.96,True
121,goal_02,exit,colision,26,-150.03,True
122,goal_02,exit,colision,26,-151.12,True
123,goal_02,exit,colision,29,-149.88,True
124,goal_02,exit,colision,24,-150.18,True
125,goal_02,exit,colision,31,-149.95,True
