episodio,goal_id,resultado,pasos_ap_ex,pasos_retorno,pasos_total,reward_ap_ex,reward_retorno,reward_total,llego_estanteria,llego_descarga
1,goal_01,exito,954,476,1430,278.01,145.93,423.95,1,1
2,goal_01,exito,953,462,1415,277.97,146.6,424.57,1,1
3,goal_01,exito,953,483,1436,277.96,145.35,423.32,1,1
4,goal_01,exito,953,466,1419,277.97,146.38,424.35,1,1
5,goal_01,exito,953,457,1410,277.97,146.87,424.84,1,1
6,goal_01,exito,953,483,1436,277.97,145.3,423.27,1,1
7,goal_01,exito,953,476,1429,277.97,145.94,423.91,1,1
8,goal_01,exito,953,478,1431,277.97,145.83,423.8,1,1
9,goal_01,exito,953,474,1427,277.97,145.95,423.92,1,1
10,goal_01,exito,953,472,1425,277.97,146.02,423.99,1,1
11,goal_01,exito,953,495,1448,277.96,144.84,422.81,1,1
12,goal_01,exito,953,474,1427,277.97,145.97,423.94,1,1
13,goal_01,exito,953,482,1435,277.97,145.35,423.32,1,1
14,goal_01,exito,953,474,1427,277.98,146.04,424.02,1,1
15,goal_01,exito,953,477,1430,277.97,145.89,423.86,1,1
16,goal_01,exito,953,484,1437,277.97,145.1,423.07,1,1
17,goal_01,exito,953,475,1428,277.98,146.0,423.98,1,1
18,goal_01,exito,953,474,1427,277.97,145.91,423.87,1,1
19,goal_01,exito,953,473,1426,277.97,145.97,423.94,1,1
20,goal_01,exito,953,461,1414,277.96,146.69,424.65,1,1
21,goal_01,exito,953,477,1430,277.97,145.87,423.83,1,1
22,goal_01,exito,953,485,1438,277.97,145.22,423.19,1,1
23,goal_01,exito,953,481,1434,277.97,145.45,423.42,1,1
24,goal_01,exito,953,477,1430,277.97,145.98,423.95,1,1
25,goal_01,exito,953,466,1419,277.97,146.2,424.17,1,1
26,goal_01,exito,953,458,1411,277.97,146.76,424.73,1,1
27,goal_01,exito,953,482,1435,277.97,145.2,423.17,1,1
28,goal_01,exito,953,467,1420,277.97,146.34,424.31,1,1
29,goal_01,exito,953,473,1426,277.97,145.92,423.89,1,1
30,goal_01,exito,953,484,1437,277.97,145.23,423.2,1,1
31,goal_01,exito,953,456,1409,277.97,146.99,424.96,1,1
32,goal_01,exito,953,466,1419,277.96,146.24,424.21,1,1
33,goal_01,exito,953,480,1433,277.97,145.5,423.47,1,1
34,goal_01,exito,953,479,1432,277.97,145.65,423.62,1,1
35,goal_01,exito,953,465,1418,277.96,146.38,424.34,1,1
36,goal_01,exito,953,471,1424,277.97,145.87,423.84,1,1
37,goal_01,exito,953,477,1430,277.97,145.98,423.96,1,1
38,goal_01,exito,953,476,1429,277.97,146.01,423.98,1,1
39,goal_01,exito,953,456,1409,277.96,146.94,424.91,1,1
40,goal_01,exito,953,476,1429,277.97,145.96,423.93,1,1
41,goal_01,exito,953,461,1414,277.97,146.49,424.45,1,1
42,goal_01,exito,953,464,1417,277.97,146.38,424.35,1,1
43,goal_01,exito,953,468,1421,277.97,146.26,424.23,1,1
44,goal_01,exito,953,462,1415,277.97,146.65,424.62,1,1
45,goal_01,exito,953,474,1427,277.97,146.08,424.05,1,1
46,goal_01,exito,953,484,1437,277.97,145.1,423.07,1,1
47,goal_01,exito,953,455,1408,277.98,147.13,425.1,1,1
48,goal_01,exito,953,447,1400,277.97,148.07,426.04,1,1
49,goal_01,exito,953,473,1426,277.97,145.97,423.94,1,1
50,goal_01,exito,953,474,1427,277.97,146.03,424.01,1,1
51,goal_01,exito,953,462,1415,277.97,146.66,424.63,1,1
52,goal_01,exito,953,474,1427,277.97,145.96,423.93,1,1
53,goal_01,exito,953,467,1420,277.97,146.1,424.07,1,1
54,goal_01,exito,953,478,1431,277.97,145.72,423.7,1,1
55,goal_01,exito,953,465,1418,277.97,146.41,424.38,1,1
56,goal_01,exito,953,476,1429,277.96,146.04,424.0,1,1
57,goal_01,exito,953,473,1426,277.97,145.85,423.82,1,1
58,goal_01,exito,953,473,1426,277.97,146.0,423.98,1,1
59,goal_01,exito,953,450,1403,277.97,147.78,425.74,1,1
60,goal_01,exito,953,477,1430,277.97,145.77,423.74,1,1
61,goal_01,exito,953,484,1437,277.97,145.17,423.14,1,1
62,goal_01,exito,953,474,1427,277.97,145.87,423.84,1,1
63,goal_01,exito,953,474,1427,277.97,145.83,423.79,1,1
64,goal_01,exito,953,461,1414,277.97,146.7,424.67,1,1
65,goal_01,exito,953,483,1436,277.97,145.34,423.31,1,1
66,goal_01,exito,953,473,1426,277.97,145.9,423.87,1,1
67,goal_01,exito,953,444,1397,277.97,148.47,426.44,1,1
68,goal_01,exito,953,462,1415,277.97,146.47,424.44,1,1
69,goal_01,exito,953,474,1427,277.97,145.86,423.83,1,1
70,goal_01,exito,953,478,1431,277.97,145.77,423.74,1,1
71,goal_01,exito,953,457,1410,277.96,146.91,424.87,1,1
72,goal_01,exito,953,470,1423,277.97,145.98,423.95,1,1
73,goal_01,exito,953,462,1415,277.97,146.59,424.56,1,1
74,goal_01,exito,953,466,1419,277.97,146.34,424.31,1,1
75,goal_01,exito,953,466,1419,277.97,146.34,424.31,1,1
76,goal_01,exito,953,473,1426,277.97,145.88,423.85,1,1
77,goal_01,exito,953,463,1416,277.97,146.38,424.35,1,1
78,goal_01,exito,953,481,1434,277.97,145.46,423.43,1,1
79,goal_01,exito,953,465,1418,277.97,146.38,424.35,1,1
80,goal_01,exito,953,467,1420,277.97,146.3,424.27,1,1
81,goal_01,exito,953,458,1411,277.97,146.93,424.9,1,1
82,goal_01,exito,953,475,1428,277.97,146.05,424.02,1,1
83,goal_01,exito,953,478,1431,277.97,145.77,423.74,1,1
84,goal_01,exito,953,462,1415,277.97,146.48,424.45,1,1
85,goal_01,exito,953,460,1413,277.97,146.76,424.73,1,1
86,goal_01,exito,953,482,1435,277.96,145.42,423.38,1,1
87,goal_01,exito,953,484,1437,277.97,145.29,423.26,1,1
88,goal_01,exito,953,473,1426,277.97,145.83,423.8,1,1
89,goal_01,exito,953,471,1424,277.97,145.96,423.93,1,1
90,goal_01,exito,953,464,1417,277.97,146.52,424.49,1,1
91,goal_01,exito,953,477,1430,277.96,145.97,423.93,1,1
92,goal_01,exito,953,479,1432,277.97,145.65,423.62,1,1
93,goal_01,exito,953,459,1412,277.97,146.8,424.77,1,1
94,goal_01,exito,953,453,1406,277.97,147.43,425.4,1,1
95,goal_01,exito,953,458,1411,277.97,146.83,424.8,1,1
96,goal_01,exito,953,484,1437,277.97,145.2,423.17,1,1
97,goal_01,exito,953,446,1399,277.97,148.13,426.09,1,1
98,goal_01,exito,953,459,1412,277.97,146.66,424.63,1,1
99,goal_01,exito,953,476,1429,277.97,145.92,423.89,1,1
100,goal_01,exito,953,484,1437,277.97,145.25,423.21,1,1
101,goal_02,exito,1212,475,1687,311.41,145.94,457.35,1,1
102,goal_02,exito,1212,477,1689,311.41,145.88,457.29,1,1
103,goal_02,exito,1212,457,1669,311.41,146.86,458.27,1,1
104,goal_02,exito,1212,462,1674,311.41,146.63,458.03,1,1
105,goal_02,exito,1212,481,1693,311.41,145.39,456.79,1,1
106,goal_02,exito,1212,475,1687,311.41,145.96,457.37,1,1
107,goal_02,exito,1212,457,1669,311.41,146.99,458.4,1,1
108,goal_02,exito,1212,474,1686,311.41,145.87,457.28,1,1
109,goal_02,exito,1212,486,1698,311.41,145.02,456.43,1,1
110,goal_02,exito,1212,473,1685,311.41,145.95,457.36,1,1
111,goal_02,exito,1212,435,1647,311.41,149.03,460.44,1,1
112,goal_02,exito,1212,476,1688,311.41,145.92,457.32,1,1
113,goal_02,exito,1212,462,1674,311.41,146.44,457.85,1,1
114,goal_02,exito,1212,480,1692,311.41,145.54,456.95,1,1
115,goal_02,exito,1212,455,1667,311.41,146.93,458.34,1,1
116,goal_02,exito,1212,465,1677,311.41,146.31,457.72,1,1
117,goal_02,exito,1212,474,1686,311.41,145.94,457.35,1,1
118,goal_02,exito,1212,471,1683,311.41,146.01,457.41,1,1
119,goal_02,exito,1212,461,1673,311.41,146.54,457.94,1,1
120,goal_02,exito,1212,474,1686,311.41,145.9,457.31,1,1
121,goal_02,exito,1212,480,1692,311.41,145.51,456.92,1,1
122,goal_02,exito,1212,465,1677,311.41,146.4,457.81,1,1
123,goal_02,exito,1212,472,1684,311.41,145.87,457.28,1,1
124,goal_02,exito,1212,452,1664,311.41,147.29,458.7,1,1
125,goal_02,exito,1212,475,1687,311.41,145.96,457.37,1,1
126,goal_02,exito,1212,473,1685,311.41,146.05,457.46,1,1
127,goal_02,exito,1212,474,1686,311.41,145.98,457.38,1,1
128,goal_02,exito,1212,465,1677,311.41,146.43,457.84,1,1
129,goal_02,exito,1212,481,1693,311.41,145.51,456.92,1,1
130,goal_02,exito,1212,480,1692,311.41,145.5,456.91,1,1
131,goal_02,exito,1212,479,1691,311.41,145.78,457.18,1,1
132,goal_02,exito,1212,483,1695,311.41,145.17,456.57,1,1
133,goal_02,exito,1212,486,1698,311.41,145.2,456.6,1,1
134,goal_02,exito,1212,473,1685,311.41,146.01,457.41,1,1
135,goal_02,exito,1212,470,1682,311.41,146.01,457.42,1,1
136,goal_02,exito,1212,474,1686,311.41,145.87,457.28,1,1
137,goal_02,exito,1212,473,1685,311.41,145.93,457.33,1,1
138,goal_02,exito,1212,461,1673,311.41,146.51,457.92,1,1
139,goal_02,exito,1212,465,1677,311.41,146.24,457.65,1,1
140,goal_02,exito,1212,474,1686,311.41,145.96,457.36,1,1
141,goal_02,exito,1212,454,1666,311.41,147.2,458.61,1,1
142,goal_02,exito,1212,484,1696,311.41,145.2,456.6,1,1
143,goal_02,exito,1212,457,1669,311.41,146.92,458.33,1,1
144,goal_02,exito,1212,460,1672,311.41,146.66,458.07,1,1
145,goal_02,exito,1212,467,1679,311.41,146.17,457.57,1,1
146,goal_02,exito,1212,449,1661,311.41,147.88,459.29,1,1
147,goal_02,exito,1212,478,1690,311.41,145.76,457.17,1,1
148,goal_02,exito,1212,471,1683,311.41,145.96,457.37,1,1
149,goal_02,exito,1212,482,1694,311.41,145.34,456.75,1,1
150,goal_02,exito,1212,476,1688,311.41,145.82,457.23,1,1
151,goal_02,exito,1212,459,1671,311.41,146.86,458.27,1,1
152,goal_02,exito,1212,464,1676,311.41,146.31,457.71,1,1
153,goal_02,exito,1212,489,1701,311.41,145.06,456.47,1,1
154,goal_02,exito,1212,477,1689,311.41,145.9,457.3,1,1
155,goal_02,exito,1212,473,1685,311.41,145.96,457.36,1,1
156,goal_02,exito,1212,485,1697,311.41,145.23,456.64,1,1
157,goal_02,exito,1212,489,1701,311.41,145.02,456.43,1,1
158,goal_02,exito,1212,487,1699,311.41,145.0,456.41,1,1
159,goal_02,exito,1212,473,1685,311.41,145.89,457.3,1,1
160,goal_02,exito,1212,480,1692,311.41,145.65,457.06,1,1
161,goal_02,exito,1212,466,1678,311.41,146.25,457.66,1,1
162,goal_02,exito,1212,464,1676,311.41,146.42,457.83,1,1
163,goal_02,exito,1212,453,1665,311.41,147.17,458.57,1,1
164,goal_02,exito,1212,483,1695,311.41,145.16,456.57,1,1
165,goal_02,exito,1212,477,1689,311.41,145.86,457.26,1,1
166,goal_02,exito,1212,481,1693,311.41,145.52,456.93,1,1
167,goal_02,exito,1212,473,1685,311.41,145.97,457.37,1,1
168,goal_02,exito,1212,478,1690,311.41,145.79,457.2,1,1
169,goal_02,exito,1212,476,1688,311.41,146.04,457.45,1,1
170,goal_02,exito,1212,470,1682,311.41,146.0,457.41,1,1
171,goal_02,exito,1212,466,1678,311.41,146.23,457.64,1,1
172,goal_02,exito,1212,470,1682,311.41,146.07,457.48,1,1
173,goal_02,exito,1212,467,1679,311.41,146.23,457.63,1,1
174,goal_02,exito,1212,488,1700,311.41,145.14,456.55,1,1
175,goal_02,exito,1212,461,1673,311.41,146.65,458.06,1,1
176,goal_02,exito,1212,470,1682,311.41,145.88,457.29,1,1
177,goal_02,exito,1212,462,1674,311.41,146.54,457.94,1,1
178,goal_02,exito,1212,475,1687,311.41,145.96,457.37,1,1
179,goal_02,exito,1212,474,1686,311.41,145.89,457.29,1,1
180,goal_02,exito,1212,466,1678,311.41,146.35,457.76,1,1
181,goal_02,exito,1212,474,1686,311.41,145.89,457.3,1,1
182,goal_02,exito,1212,479,1691,311.41,145.73,457.14,1,1
183,goal_02,exito,1212,470,1682,311.41,146.01,457.42,1,1
184,goal_02,exito,1212,479,1691,311.41,145.69,457.1,1,1
185,goal_02,exito,1212,477,1689,311.41,145.77,457.17,1,1
186,goal_02,exito,1212,462,1674,311.41,146.52,457.93,1,1
187,goal_02,exito,1212,477,1689,311.41,145.77,457.18,1,1
188,goal_02,exito,1212,451,1663,311.41,147.65,459.05,1,1
189,goal_02,exito,1212,465,1677,311.41,146.41,457.81,1,1
190,goal_02,exito,1212,474,1686,311.41,145.81,457.22,1,1
191,goal_02,exito,1212,462,1674,311.41,146.48,457.89,1,1
192,goal_02,exito,1212,470,1682,311.41,145.84,457.24,1,1
193,goal_02,exito,1212,465,1677,311.41,146.44,457.84,1,1
194,goal_02,exito,1212,479,1691,311.41,145.73,457.14,1,1
195,goal_02,exito,1212,460,1672,311.41,146.61,458.02,1,1
196,goal_02,exito,1212,484,1696,311.41,145.24,456.65,1,1
197,goal_02,exito,1212,473,1685,311.41,145.93,457.34,1,1
198,goal_02,exito,1212,484,1696,311.41,145.09,456.49,1,1
199,goal_02,exito,1212,472,1684,311.41,145.93,457.34,1,1
200,goal_02,exito,1212,475,1687,311.41,145.95,457.36,1,1
201,goal_03,exito,1433,465,1898,343.55,146.32,489.87,1,1
202,goal_03,exito,1433,453,1886,343.55,147.42,490.97,1,1
203,goal_03,exito,1433,474,1907,343.55,145.98,489.53,1,1
204,goal_03,exito,1433,469,1902,343.55,145.9,489.45,1,1
205,goal_03,exito,1433,468,1901,343.55,146.23,489.78,1,1
206,goal_03,exito,1433,452,1885,343.55,147.44,490.99,1,1
207,goal_03,exito,1433,460,1893,343.55,146.64,490.2,1,1
208,goal_03,exito,1433,468,1901,343.55,146.22,489.77,1,1
209,goal_03,exito,1433,478,1911,343.55,145.79,489.34,1,1
210,goal_03,exito,1433,474,1907,343.56,145.9,489.46,1,1
211,goal_03,exito,1433,469,1902,343.55,145.92,489.47,1,1
212,goal_03,exito,1433,476,1909,343.55,145.96,489.51,1,1
213,goal_03,exito,1433,471,1904,343.55,145.79,489.35,1,1
214,goal_03,exito,1433,469,1902,343.55,145.98,489.53,1,1
215,goal_03,exito,1433,458,1891,343.55,146.84,490.39,1,1
216,goal_03,exito,1433,470,1903,343.55,145.93,489.48,1,1
217,goal_03,exito,1433,494,1927,343.56,145.04,488.6,1,1
218,goal_03,exito,1433,463,1896,343.55,146.41,489.97,1,1
219,goal_03,exito,1433,475,1908,343.55,145.9,489.46,1,1
220,goal_03,exito,1433,472,1905,343.56,145.88,489.43,1,1
221,goal_03,exito,1433,472,1905,343.55,145.9,489.45,1,1
222,goal_03,exito,1433,478,1911,343.55,145.72,489.27,1,1
223,goal_03,exito,1433,473,1906,343.55,145.89,489.44,1,1
224,goal_03,exito,1433,457,1890,343.55,146.98,490.53,1,1
225,goal_03,exito,1433,464,1897,343.55,146.3,489.86,1,1
226,goal_03,exito,1433,479,1912,343.55,145.65,489.2,1,1
227,goal_03,exito,1433,481,1914,343.55,145.28,488.83,1,1
228,goal_03,exito,1433,477,1910,343.55,145.88,489.43,1,1
229,goal_03,exito,1433,475,1908,343.55,146.06,489.61,1,1
230,goal_03,exito,1433,453,1886,343.55,147.16,490.71,1,1
231,goal_03,exito,1433,459,1892,343.55,146.69,490.24,1,1
232,goal_03,exito,1433,461,1894,343.56,146.67,490.22,1,1
233,goal_03,exito,1433,461,1894,343.55,146.59,490.14,1,1
234,goal_03,exito,1433,471,1904,343.55,146.01,489.56,1,1
235,goal_03,exito,1433,478,1911,343.55,145.71,489.26,1,1
236,goal_03,exito,1433,466,1899,343.55,146.33,489.88,1,1
237,goal_03,exito,1433,449,1882,343.55,147.91,491.47,1,1
238,goal_03,exito,1433,475,1908,343.55,145.91,489.47,1,1
239,goal_03,exito,1433,480,1913,343.55,145.67,489.22,1,1
240,goal_03,exito,1433,476,1909,343.55,145.83,489.38,1,1
241,goal_03,exito,1433,471,1904,343.55,145.79,489.35,1,1
242,goal_03,exito,1433,466,1899,343.55,146.35,489.9,1,1
243,goal_03,exito,1433,460,1893,343.55,146.78,490.33,1,1
244,goal_03,exito,1433,459,1892,343.55,146.81,490.36,1,1
245,goal_03,exito,1433,474,1907,343.55,145.89,489.44,1,1
246,goal_03,exito,1433,468,1901,343.55,146.19,489.75,1,1
247,goal_03,exito,1433,472,1905,343.55,145.9,489.45,1,1
248,goal_03,exito,1433,474,1907,343.55,145.88,489.43,1,1
249,goal_03,exito,1433,469,1902,343.55,146.01,489.56,1,1
250,goal_03,exito,1433,453,1886,343.55,147.44,491.0,1,1
251,goal_03,exito,1433,455,1888,343.56,147.03,490.59,1,1
252,goal_03,exito,1433,466,1899,343.55,146.27,489.82,1,1
253,goal_03,exito,1433,455,1888,343.55,147.09,490.64,1,1
254,goal_03,exito,1433,475,1908,343.55,146.05,489.6,1,1
255,goal_03,exito,1433,464,1897,343.55,146.3,489.85,1,1
256,goal_03,exito,1433,474,1907,343.55,145.87,489.42,1,1
257,goal_03,exito,1433,466,1899,343.55,146.28,489.83,1,1
258,goal_03,exito,1433,453,1886,343.55,147.36,490.91,1,1
259,goal_03,exito,1433,474,1907,343.55,145.92,489.47,1,1
260,goal_03,exito,1433,467,1900,343.56,146.33,489.89,1,1
261,goal_03,exito,1433,475,1908,343.55,146.08,489.64,1,1
262,goal_03,exito,1433,485,1918,343.55,145.05,488.6,1,1
263,goal_03,exito,1433,461,1894,343.55,146.58,490.13,1,1
264,goal_03,exito,1433,481,1914,343.55,145.48,489.04,1,1
265,goal_03,exito,1433,451,1884,343.55,147.63,491.19,1,1
266,goal_03,exito,1433,460,1893,343.55,146.72,490.27,1,1
267,goal_03,exito,1433,470,1903,343.55,145.98,489.53,1,1
268,goal_03,exito,1433,468,1901,343.55,146.21,489.76,1,1
269,goal_03,exito,1433,472,1905,343.55,145.94,489.5,1,1
270,goal_03,exito,1433,485,1918,343.55,145.05,488.6,1,1
271,goal_03,exito,1433,457,1890,343.55,146.85,490.4,1,1
272,goal_03,exito,1433,465,1898,343.55,146.37,489.92,1,1
273,goal_03,exito,1433,484,1917,343.55,145.2,488.75,1,1
274,goal_03,exito,1433,467,1900,343.55,146.25,489.8,1,1
275,goal_03,exito,1433,476,1909,343.55,145.92,489.47,1,1
276,goal_03,exito,1433,472,1905,343.56,145.96,489.51,1,1
277,goal_03,exito,1433,460,1893,343.55,146.76,490.31,1,1
278,goal_03,exito,1433,456,1889,343.55,146.88,490.43,1,1
279,goal_03,exito,1433,463,1896,343.55,146.37,489.93,1,1
280,goal_03,exito,1433,464,1897,343.55,146.46,490.02,1,1
281,goal_03,exito,1433,476,1909,343.55,145.83,489.37,1,1
282,goal_03,exito,1433,474,1907,343.55,145.95,489.5,1,1
283,goal_03,exito,1433,455,1888,343.55,147.07,490.62,1,1
284,goal_03,exito,1433,474,1907,343.55,145.96,489.51,1,1
285,goal_03,exito,1433,459,1892,343.55,146.83,490.38,1,1
286,goal_03,exito,1433,479,1912,343.55,145.67,489.22,1,1
287,goal_03,exito,1433,472,1905,343.55,145.87,489.42,1,1
288,goal_03,exito,1433,476,1909,343.55,146.03,489.59,1,1
289,goal_03,exito,1433,482,1915,343.55,145.34,488.89,1,1
290,goal_03,exito,1433,474,1907,343.55,145.85,489.4,1,1
291,goal_03,exito,1433,471,1904,343.55,145.95,489.5,1,1
292,goal_03,exito,1433,476,1909,343.55,145.83,489.38,1,1
293,goal_03,exito,1433,453,1886,343.55,147.14,490.69,1,1
294,goal_03,exito,1433,455,1888,343.55,147.13,490.68,1,1
295,goal_03,exito,1433,475,1908,343.55,145.93,489.49,1,1
296,goal_03,exito,1433,473,1906,343.55,145.97,489.52,1,1
297,goal_03,exito,1433,459,1892,343.55,146.74,490.29,1,1
298,goal_03,exito,1433,468,1901,343.55,146.19,489.74,1,1
299,goal_03,exito,1433,477,1910,343.55,145.9,489.45,1,1
300,goal_03,exito,1433,457,1890,343.55,146.91,490.47,1,1
301,goal_04,exito,1678,463,2141,384.35,146.44,530.79,1,1
302,goal_04,exito,1678,472,2150,384.35,145.93,530.27,1,1
303,goal_04,exito,1678,458,2136,384.36,146.91,531.27,1,1
304,goal_04,exito,1678,477,2155,384.36,145.89,530.26,1,1
305,goal_04,exito,1678,479,2157,384.36,145.64,530.0,1,1
306,goal_04,exito,1678,464,2142,384.36,146.41,530.77,1,1
307,goal_04,exito,1678,474,2152,384.36,145.93,530.29,1,1
308,goal_04,exito,1678,466,2144,384.36,146.3,530.66,1,1
309,goal_04,exito,1678,462,2140,384.35,146.5,530.85,1,1
310,goal_04,exito,1678,483,2161,384.35,145.3,529.65,1,1
311,goal_04,exito,1678,459,2137,384.36,146.78,531.14,1,1
312,goal_04,exito,1678,473,2151,384.35,145.84,530.2,1,1
313,goal_04,exito,1678,464,2142,384.36,146.44,530.8,1,1
314,goal_04,exito,1678,477,2155,384.35,145.99,530.35,1,1
315,goal_04,exito,1678,476,2154,384.35,145.89,530.24,1,1
316,goal_04,exito,1678,481,2159,384.35,145.42,529.76,1,1
317,goal_04,exito,1678,476,2154,384.36,145.86,530.22,1,1
318,goal_04,exito,1678,467,2145,384.36,146.13,530.49,1,1
319,goal_04,exito,1678,468,2146,384.36,146.18,530.54,1,1
320,goal_04,exito,1678,479,2157,384.35,145.75,530.09,1,1
321,goal_04,exito,1678,484,2162,384.36,145.09,529.45,1,1
322,goal_04,exito,1678,474,2152,384.35,146.01,530.36,1,1
323,goal_04,exito,1678,476,2154,384.35,145.79,530.14,1,1
324,goal_04,exito,1678,473,2151,384.35,146.04,530.39,1,1
325,goal_04,exito,1678,495,2173,384.36,144.87,529.23,1,1
326,goal_04,exito,1678,473,2151,384.36,145.9,530.26,1,1
327,goal_04,exito,1678,476,2154,384.36,145.94,530.3,1,1
328,goal_04,exito,1678,470,2148,384.36,145.99,530.35,1,1
329,goal_04,exito,1678,477,2155,384.36,145.83,530.19,1,1
330,goal_04,exito,1678,471,2149,384.36,145.89,530.26,1,1
331,goal_04,exito,1678,461,2139,384.35,146.59,530.94,1,1
332,goal_04,exito,1678,456,2134,384.35,146.88,531.23,1,1
333,goal_04,exito,1678,479,2157,384.36,145.72,530.08,1,1
334,goal_04,exito,1678,465,2143,384.36,146.39,530.75,1,1
335,goal_04,exito,1678,462,2140,384.36,146.44,530.81,1,1
336,goal_04,exito,1678,457,2135,384.36,146.96,531.33,1,1
337,goal_04,exito,1678,450,2128,384.35,147.56,531.91,1,1
338,goal_04,exito,1678,473,2151,384.36,145.81,530.17,1,1
339,goal_04,exito,1678,476,2154,384.37,145.94,530.31,1,1
340,goal_04,exito,1678,481,2159,384.36,145.52,529.89,1,1
341,goal_04,exito,1678,466,2144,384.35,146.33,530.68,1,1
342,goal_04,exito,1678,477,2155,384.36,145.83,530.19,1,1
343,goal_04,exito,1678,475,2153,384.36,145.9,530.26,1,1
344,goal_04,exito,1678,473,2151,384.35,145.82,530.17,1,1
345,goal_04,exito,1678,457,2135,384.35,146.9,531.25,1,1
346,goal_04,exito,1678,476,2154,384.36,145.97,530.34,1,1
347,goal_04,exito,1678,476,2154,384.36,145.93,530.29,1,1
348,goal_04,exito,1678,474,2152,384.36,145.92,530.29,1,1
349,goal_04,exito,1678,480,2158,384.36,145.6,529.96,1,1
350,goal_04,exito,1678,464,2142,384.36,146.48,530.84,1,1
351,goal_04,exito,1678,470,2148,384.36,145.92,530.28,1,1
352,goal_04,exito,1678,456,2134,384.35,147.05,531.4,1,1
353,goal_04,exito,1678,481,2159,384.36,145.4,529.76,1,1
354,goal_04,exito,1678,463,2141,384.35,146.36,530.71,1,1
355,goal_04,exito,1678,473,2151,384.36,145.99,530.35,1,1
356,goal_04,exito,1678,471,2149,384.36,145.95,530.32,1,1
357,goal_04,exito,1678,452,2130,384.36,147.29,531.65,1,1
358,goal_04,exito,1678,462,2140,384.36,146.6,530.96,1,1
359,goal_04,exito,1678,467,2145,384.36,146.17,530.53,1,1
360,goal_04,exito,1678,472,2150,384.36,145.89,530.25,1,1
