episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1,goal_01,approach,exito,228,80.55,True
2,goal_01,approach,exito,227,80.42,True
3,goal_01,approach,exito,227,80.42,True
4,goal_01,approach,exito,228,80.52,True
5,goal_01,approach,exito,227,80.42,True
6,goal_01,approach,exito,227,80.42,True
7,goal_01,approach,exito,227,80.42,True
8,goal_01,approach,exito,227,80.42,True
9,goal_01,approach,exito,227,80.42,True
10,goal_01,approach,exito,227,80.42,True
11,goal_01,approach,exito,227,80.42,True
12,goal_01,approach,exito,227,80.42,True
13,goal_01,approach,exito,227,80.42,True
14,goal_01,approach,exito,227,80.42,True
15,goal_01,approach,exito,227,80.42,True
16,goal_01,approach,exito,227,80.42,True
17,goal_01,approach,exito,227,80.42,True
18,goal_01,approach,exito,227,80.42,True
19,goal_01,approach,exito,228,80.52,True
20,goal_01,approach,exito,228,80.52,True
21,goal_01,approach,exito,227,80.42,True
22,goal_01,approach,exito,227,80.42,True
23,goal_01,approach,exito,227,80.42,True
24,goal_01,approach,exito,227,80.42,True
25,goal_01,approach,exito,227,80.42,True
26,goal_01,approach,exito,227,80.42,True
27,goal_01,approach,exito,227,80.42,True
28,goal_01,approach,exito,227,80.42,True
29,goal_01,approach,exito,227,80.42,True
30,goal_01,approach,exito,227,80.42,True
31,goal_01,approach,exito,227,80.42,True
32,goal_01,approach,exito,227,80.42,True
33,goal_01,approach,exito,227,80.42,True
34,goal_01,approach,exito,227,80.42,True
35,goal_01,approach,exito,227,80.42,True
36,goal_01,approach,exito,227,80.42,True
37,goal_01,approach,exito,227,80.42,True
38,goal_01,approach,exito,227,80.42,True
39,goal_01,approach,exito,227,80.42,True
40,goal_01,approach,exito,227,80.42,True
41,goal_01,approach,exito,228,80.52,True
42,goal_01,approach,exito,228,80.52,True
43,goal_01,approach,exito,227,80.42,True
44,goal_01,approach,exito,228,80.52,True
45,goal_01,approach,exito,227,80.42,True
46,goal_01,approach,exito,227,80.42,True
47,goal_01,approach,exito,227,80.42,True
48,goal_01,approach,exito,227,80.42,True
49,goal_01,approach,exito,227,80.42,True
50,goal_01,approach,exito,227,80.42,True
51,goal_01,approach,exito,227,80.42,True
52,goal_01,approach,exito,227,80.42,True
53,goal_01,approach,exito,227,80.42,True
54,goal_01,approach,exito,227,80.42,True
55,goal_01,approach,exito,227,80.42,True
56,goal_01,approach,exito,227,80.42,True
57,goal_01,approach,exito,227,80.42,True
58,goal_01,approach,exito,227,80.42,True
59,goal_01,approach,exito,227,80.42,True
60,goal_01,approach,exito,227,80.42,True
61,goal_01,approach,exito,227,80.42,True
62,goal_01,approach,exito,227,80.42,True
63,goal_01,approach,exito,228,80.52,True
64,goal_01,approach,exito,227,80.42,True
65,goal_01,approach,exito,227,80.42,True
66,goal_01,approach,exito,227,80.42,True
67,goal_01,approach,exito,227,80.42,True
68,goal_01,approach,exito,227,80.42,True
69,goal_01,approach,exito,227,80.42,True
70,goal_01,approach,exito,227,80.42,True
71,goal_01,approach,exito,227,80.42,True
72,goal_01,approach,exito,227,80.42,True
73,goal_01,approach,exito,227,80.42,True
74,goal_01,approach,exito,227,80.42,True
75,goal_01,approach,exito,227,80.42,True
76,goal_01,approach,exito,227,80.42,True
77,goal_01,approach,exito,227,80.42,True
78,goal_01,approach,exito,227,80.42,True
79,goal_01,approach,exito,228,80.52,True
80,goal_01,approach,exito,227,80.42,True
81,goal_01,approach,exito,228,80.52,True
82,goal_01,approach,exito,227,80.42,True
83,goal_01,approach,exito,227,80.42,True
84,goal_01,approach,exito,227,80.42,True
85,goal_01,approach,exito,227,80.42,True
86,goal_01,approach,exito,227,80.42,True
87,goal_01,approach,exito,227,80.42,True
88,goal_01,approach,exito,227,80.42,True
89,goal_01,approach,exito,227,80.42,True
90,goal_01,approach,exito,227,80.42,True
91,goal_01,approach,exito,227,80.42,True
92,goal_01,approach,exito,227,80.42,True
93,goal_01,approach,exito,227,80.42,True
94,goal_01,approach,exito,227,80.42,True
95,goal_01,approach,exito,227,80.42,True
96,goal_01,approach,exito,227,80.42,True
97,goal_01,approach,exito,227,80.42,True
98,goal_01,approach,exito,227,80.42,True
99,goal_01,approach,exito,227,80.42,True
100,goal_01,approach,exito,228,80.52,True

RESUMEN_GLOBAL,,,,,,
n_total,100,,,,,
exito_%,100.0,,,,,
colision_%,0.0,,,,,
truncado_%,0.0,,,,,
pasos_medio,227.1,,,,,
reward_medio,80.4,,,,,
