episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria,heading_llegada_rad
1,goal_01,approach,exito,223,81.08,True,-0.416
2,goal_01,approach,exito,221,81.13,True,-0.3768
3,goal_01,approach,exito,221,81.04,True,-0.3812
4,goal_01,approach,exito,221,81.07,True,-0.3794
5,goal_01,approach,exito,221,81.07,True,-0.3798
6,goal_01,approach,exito,221,81.07,True,-0.3795
7,goal_01,approach,exito,221,81.07,True,-0.3796
8,goal_01,approach,exito,221,81.05,True,-0.3806
9,goal_01,approach,exito,221,81.07,True,-0.3796
10,goal_01,approach,exito,221,81.06,True,-0.3801
11,goal_01,approach,exito,221,81.07,True,-0.3798
12,goal_01,approach,exito,221,81.06,True,-0.3802
13,goal_01,approach,exito,221,81.06,True,-0.3802
14,goal_01,approach,exito,221,81.06,True,-0.3804
15,goal_01,approach,exito,221,81.06,True,-0.3803
16,goal_01,approach,exito,221,81.06,True,-0.3803
17,goal_01,approach,exito,221,81.06,True,-0.3801
18,goal_01,approach,exito,221,81.06,True,-0.38
19,goal_01,approach,exito,221,81.06,True,-0.38
20,goal_01,approach,exito,221,81.06,True,-0.3801
21,goal_01,approach,exito,221,81.06,True,-0.3801
22,goal_01,approach,exito,221,81.06,True,-0.3801
23,goal_01,approach,exito,221,81.06,True,-0.3802
24,goal_01,approach,exito,221,81.06,True,-0.3801
25,goal_01,approach,exito,221,81.06,True,-0.3802
26,goal_01,approach,exito,221,81.06,True,-0.3801
27,goal_01,approach,exito,221,81.06,True,-0.3802
28,goal_01,approach,exito,221,81.06,True,-0.3802
29,goal_01,approach,exito,221,81.06,True,-0.3802
30,goal_01,approach,exito,221,81.06,True,-0.3801
31,goal_01,approach,exito,221,81.06,True,-0.3802
32,goal_01,approach,exito,221,81.06,True,-0.3801
33,goal_01,approach,exito,221,81.06,True,-0.3801
34,goal_01,approach,exito,221,81.06,True,-0.3801
35,goal_01,approach,exito,221,81.06,True,-0.3801
36,goal_01,approach,exito,221,81.06,True,-0.3801
37,goal_01,approach,exito,221,81.06,True,-0.3802
38,goal_01,approach,exito,221,81.06,True,-0.3802
39,goal_01,approach,exito,221,81.08,True,-0.3791
40,goal_01,approach,exito,221,81.07,True,-0.3798
41,goal_01,approach,exito,221,81.06,True,-0.3804
42,goal_01,approach,exito,221,81.06,True,-0.3799
43,goal_01,approach,exito,221,81.06,True,-0.3801
44,goal_01,approach,exito,221,81.07,True,-0.3799
45,goal_01,approach,exito,221,81.06,True,-0.3801
46,goal_01,approach,exito,221,81.06,True,-0.3801
47,goal_01,approach,exito,221,81.08,True,-0.3792
48,goal_01,approach,exito,221,81.07,True,-0.3799
49,goal_01,approach,exito,221,81.07,True,-0.3794
50,goal_01,approach,exito,221,81.07,True,-0.3795
51,goal_01,approach,exito,221,81.06,True,-0.3804
52,goal_01,approach,exito,221,81.07,True,-0.3796
53,goal_01,approach,exito,221,81.06,True,-0.3801
54,goal_01,approach,exito,221,81.07,True,-0.3798
55,goal_01,approach,exito,221,81.06,True,-0.3803
56,goal_01,approach,exito,221,81.06,True,-0.3802
57,goal_01,approach,exito,221,81.06,True,-0.3804
58,goal_01,approach,exito,221,81.06,True,-0.3803
59,goal_01,approach,exito,221,81.06,True,-0.3802
60,goal_01,approach,exito,221,81.06,True,-0.3801
61,goal_01,approach,exito,221,81.06,True,-0.3801
62,goal_01,approach,exito,221,81.06,True,-0.38
63,goal_01,approach,exito,221,81.06,True,-0.3801
64,goal_01,approach,exito,221,81.06,True,-0.38
65,goal_01,approach,exito,221,81.06,True,-0.3801
66,goal_01,approach,exito,221,81.06,True,-0.3801
67,goal_01,approach,exito,221,81.06,True,-0.3803
68,goal_01,approach,exito,221,81.06,True,-0.3803
69,goal_01,approach,exito,221,81.06,True,-0.3804
70,goal_01,approach,exito,221,81.06,True,-0.3803
71,goal_01,approach,exito,221,81.06,True,-0.3802
72,goal_01,approach,exito,221,81.06,True,-0.3799
73,goal_01,approach,exito,221,81.06,True,-0.3799
74,goal_01,approach,exito,221,81.06,True,-0.3799
75,goal_01,approach,exito,221,81.06,True,-0.3801
76,goal_01,approach,exito,221,81.06,True,-0.3803
77,goal_01,approach,exito,221,81.06,True,-0.3804
78,goal_01,approach,exito,221,81.06,True,-0.3803
79,goal_01,approach,exito,221,81.06,True,-0.3804
80,goal_01,approach,exito,221,81.06,True,-0.3801
81,goal_01,approach,exito,221,81.06,True,-0.38
82,goal_01,approach,exito,221,81.06,True,-0.3799
83,goal_01,approach,exito,221,81.06,True,-0.38
84,goal_01,approach,exito,221,81.06,True,-0.3801
85,goal_01,approach,exito,221,81.06,True,-0.3802
86,goal_01,approach,exito,221,81.06,True,-0.3801
87,goal_01,approach,exito,221,81.06,True,-0.3803
88,goal_01,approach,exito,221,81.06,True,-0.3802
89,goal_01,approach,exito,221,81.06,True,-0.3802
90,goal_01,approach,exito,221,81.06,True,-0.3801
91,goal_01,approach,exito,221,81.06,True,-0.3801
92,goal_01,approach,exito,221,81.06,True,-0.3801
93,goal_01,approach,exito,221,81.06,True,-0.3801
94,goal_01,approach,exito,221,81.06,True,-0.38
95,goal_01,approach,exito,221,81.06,True,-0.3802
96,goal_01,approach,exito,221,81.06,True,-0.3801
97,goal_01,approach,exito,221,81.06,True,-0.3802
98,goal_01,approach,exito,221,81.06,True,-0.3802
99,goal_01,approach,exito,221,81.06,True,-0.3802
100,goal_01,approach,exito,221,81.06,True,-0.3801
101,goal_02,approach,exito,330,98.23,True,-0.137
102,goal_02,approach,exito,330,97.98,True,-0.1454
103,goal_02,approach,exito,330,97.99,True,-0.145
104,goal_02,approach,exito,330,97.98,True,-0.1452
105,goal_02,approach,exito,330,97.99,True,-0.145
106,goal_02,approach,exito,330,97.98,True,-0.1454
107,goal_02,approach,exito,330,97.98,True,-0.1451
108,goal_02,approach,exito,330,97.98,True,-0.1453
109,goal_02,approach,exito,330,97.99,True,-0.1449
110,goal_02,approach,exito,330,97.98,True,-0.1452
111,goal_02,approach,exito,330,97.98,True,-0.1451
112,goal_02,approach,exito,330,97.98,True,-0.1454
113,goal_02,approach,exito,330,97.98,True,-0.1451
114,goal_02,approach,exito,330,97.98,True,-0.1452
115,goal_02,approach,exito,330,97.99,True,-0.1449
116,goal_02,approach,exito,330,97.98,True,-0.1453
117,goal_02,approach,exito,330,97.98,True,-0.1451
118,goal_02,approach,exito,330,97.98,True,-0.1454
119,goal_02,approach,exito,330,97.99,True,-0.145
120,goal_02,approach,exito,330,97.98,True,-0.1452
121,goal_02,approach,exito,330,97.99,True,-0.145
122,goal_02,approach,exito,330,97.98,True,-0.1454
123,goal_02,approach,exito,330,97.98,True,-0.1451
124,goal_02,approach,exito,330,97.98,True,-0.1453
125,goal_02,approach,exito,330,97.99,True,-0.1449
126,goal_02,approach,exito,330,97.98,True,-0.1452
127,goal_02,approach,exito,330,97.98,True,-0.1451
128,goal_02,approach,exito,330,97.98,True,-0.1454
129,goal_02,approach,exito,330,97.98,True,-0.1451
130,goal_02,approach,exito,330,97.98,True,-0.1452
131,goal_02,approach,exito,330,97.99,True,-0.145
132,goal_02,approach,exito,330,97.98,True,-0.1453
133,goal_02,approach,exito,330,97.98,True,-0.1451
134,goal_02,approach,exito,330,97.98,True,-0.1453
135,goal_02,approach,exito,330,97.98,True,-0.145
136,goal_02,approach,exito,330,97.98,True,-0.1451
137,goal_02,approach,exito,330,97.98,True,-0.1451
138,goal_02,approach,exito,330,97.98,True,-0.1453
139,goal_02,approach,exito,330,97.98,True,-0.1451
140,goal_02,approach,exito,330,97.98,True,-0.1452
141,goal_02,approach,exito,330,97.99,True,-0.145
