episodio,resultado,pasos,reward
1,exito,475,145.67
2,exito,487,145.01
3,exito,489,144.91
4,exito,485,144.98
5,exito,483,145.2
6,exito,451,147.6
7,exito,473,145.93
8,exito,474,146.0
9,exito,457,146.72
10,exito,473,146.11
11,exito,471,145.95
12,exito,443,148.38
13,exito,478,145.6
14,exito,462,146.38
15,exito,465,146.23
16,exito,453,147.09
17,exito,473,146.11
18,exito,461,146.63
19,exito,454,147.15
20,exito,479,145.53
21,exito,466,146.19
22,exito,478,145.48
23,exito,475,145.89
24,exito,458,146.72
25,exito,481,145.41
26,exito,462,146.38
27,exito,459,146.75
28,exito,479,145.46
29,exito,473,145.95
30,exito,481,145.31
31,exito,474,146.01
32,exito,467,146.17
33,exito,471,145.94
34,exito,465,146.23
35,exito,466,146.27
36,exito,482,145.29
37,exito,481,145.41
38,exito,471,146.04
39,exito,466,146.24
40,exito,473,145.91
41,exito,471,146.09
42,exito,470,146.14
43,exito,478,145.54
44,exito,474,145.9
45,exito,481,145.4
46,exito,486,144.88
47,exito,478,145.56
48,exito,489,144.86
49,exito,463,146.46
50,exito,471,145.87
51,exito,488,144.83
52,exito,470,146.14
53,exito,483,145.23
54,exito,455,146.88
55,exito,452,147.24
56,exito,459,146.72
57,exito,469,145.99
58,exito,478,145.69
59,exito,470,145.95
60,exito,466,146.24
61,exito,461,146.59
62,exito,483,145.19
63,exito,473,145.89
64,exito,483,144.99
65,exito,449,147.91
66,exito,458,146.72
67,exito,460,146.64
68,exito,461,146.65
69,exito,484,144.91
70,exito,482,145.21
71,exito,470,145.93
72,exito,473,146.0
73,exito,474,146.01
74,exito,472,145.92
75,exito,468,146.18
76,exito,464,146.29
77,exito,459,146.78
78,exito,473,146.07
79,exito,482,145.3
80,exito,469,145.99
81,exito,469,146.17
82,exito,457,146.75
83,exito,470,145.92
84,exito,473,145.93
85,exito,473,146.07
86,exito,479,145.44
87,exito,454,147.23
88,exito,468,146.21
89,exito,474,145.96
90,exito,464,146.29
91,exito,478,145.6
92,exito,456,146.83
93,exito,457,146.85
94,exito,471,145.87
95,exito,452,147.45
96,exito,457,146.83
97,exito,475,145.95
98,exito,478,145.62
99,exito,470,145.94
100,exito,480,145.51
101,exito,485,145.08
102,exito,479,145.48
103,exito,478,145.52
104,exito,457,146.89
105,exito,460,146.69
106,exito,465,146.23
107,exito,467,146.17
108,exito,460,146.69
109,exito,468,146.18
110,exito,456,146.91
111,exito,474,145.94
112,exito,458,146.71
113,exito,461,146.63
114,exito,485,145.04
115,exito,472,146.01
116,exito,454,146.97
117,exito,468,146.22
118,exito,466,146.37
119,exito,477,145.53
120,exito,460,146.67
121,exito,468,146.22
122,exito,454,147.24
123,exito,473,145.95
124,exito,457,146.88
125,exito,464,146.3
126,exito,465,146.36
127,exito,472,145.97
128,exito,473,145.95
129,exito,473,145.99
130,exito,490,144.87
131,exito,493,144.78
132,exito,475,145.95
133,exito,461,146.45
134,exito,468,146.05
135,exito,481,145.28
136,exito,452,147.25
137,exito,472,145.95
138,exito,475,145.93
139,exito,482,145.19
140,exito,465,146.45
141,exito,481,145.32
142,exito,468,146.05
143,exito,462,146.38
144,exito,483,145.22
145,exito,459,146.77
146,exito,475,145.92
147,exito,473,146.1
148,exito,472,145.95
149,exito,462,146.41
150,exito,470,146.01
151,exito,483,145.13
152,exito,466,146.35
153,exito,455,147.09
154,exito,448,147.91
155,exito,462,146.49
156,exito,480,145.49
157,exito,484,145.11
158,exito,479,145.52
159,exito,482,145.28
160,exito,467,146.24
161,exito,481,145.41
162,exito,468,146.2
163,exito,473,146.04
164,exito,473,145.87
165,exito,441,148.55
166,exito,480,145.51
167,exito,482,145.19
168,exito,470,146.0
169,exito,466,146.38
170,exito,492,144.93
171,exito,472,145.94
172,exito,478,145.6
173,exito,463,146.41
174,exito,458,146.65
175,exito,465,146.39
176,exito,472,145.96
177,exito,473,145.89
178,exito,478,145.58
179,exito,465,146.45
180,exito,469,146.05
181,exito,459,146.64
182,exito,456,146.99
183,exito,472,145.94
184,exito,451,147.41
185,exito,473,146.02
186,exito,460,146.53
187,exito,458,146.87
188,exito,470,146.09
189,exito,469,146.17
190,exito,472,145.95
191,exito,480,145.51
192,exito,463,146.45
193,exito,472,145.92
194,exito,481,145.33
195,exito,481,145.31
196,exito,442,148.53
197,exito,474,145.95
198,exito,478,145.49
199,exito,489,144.87
200,exito,468,146.21
201,exito,466,146.32
202,exito,471,145.93
203,exito,473,145.91
204,exito,480,145.5
205,exito,470,146.04
206,exito,469,146.14
207,exito,466,146.35
208,exito,471,146.05
209,exito,466,146.19
210,exito,473,145.99
211,exito,479,145.45
212,exito,475,145.89
213,exito,483,145.22
214,exito,473,145.89
215,exito,461,146.63
216,exito,478,145.52
217,exito,463,146.52
218,exito,474,146.01
219,exito,463,146.55
220,exito,481,145.14
221,exito,470,146.11
222,exito,478,145.53
223,exito,469,145.98
224,exito,466,146.29
225,exito,485,145.05
226,exito,489,144.87
227,exito,460,146.71
228,exito,457,146.92
229,exito,487,144.86
230,exito,468,146.09
231,exito,471,146.06
232,exito,468,146.15
233,exito,473,145.95
234,exito,481,145.13
235,exito,480,145.48
236,exito,458,146.67
237,exito,468,146.21
238,exito,478,145.57
239,exito,472,145.96
240,exito,485,144.9
241,exito,452,147.53
242,exito,480,145.52
243,exito,471,145.87
244,exito,462,146.54
245,exito,472,145.91
246,exito,472,145.95
247,exito,479,145.52
248,exito,485,144.89
249,exito,461,146.57
250,exito,461,146.56
251,exito,480,145.46
252,exito,468,146.21
253,exito,473,145.93
254,exito,454,147.01
255,exito,485,144.89
256,exito,467,146.25
257,exito,456,146.79
258,exito,452,147.37
259,exito,472,145.95
260,exito,462,146.37
261,exito,475,145.85
262,exito,455,147.09
263,exito,463,146.52
264,exito,467,146.15
265,exito,472,145.95
266,exito,472,146.01
267,exito,455,147.09
268,exito,480,145.52
269,exito,479,145.5
270,exito,462,146.38
271,exito,458,146.79
272,exito,483,145.2
273,exito,472,145.93
274,exito,465,146.33
275,exito,461,146.43
276,exito,473,145.88
277,exito,480,145.5
278,exito,458,146.77
279,exito,462,146.54
280,exito,470,146.1
281,exito,490,144.91
282,exito,482,145.28
283,exito,493,144.76
284,exito,471,146.09
285,exito,478,145.49
286,exito,491,144.79
287,exito,468,146.14
288,exito,480,145.53
289,exito,474,146.01
290,exito,472,145.98
291,exito,468,146.2
292,exito,469,146.14
293,exito,484,145.15
294,exito,473,146.0
295,exito,470,146.14
296,exito,479,145.53
297,exito,482,145.26
298,exito,461,146.66
299,exito,480,145.41
300,exito,461,146.57

RESUMEN_GLOBAL,,,
n_total,300,,
exito_%,100.0,,
colision_%,0.0,,
truncado_%,0.0,,
pasos_medio,470.4,,
reward_medio,146.0,,
