episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,exito,1618,446.79,1,1
2,goal_01,exito,1616,446.56,1,1
3,goal_01,exito,1616,446.63,1,1
4,goal_01,exito,1616,446.64,1,1
5,goal_01,exito,1616,446.61,1,1
6,goal_01,exito,1616,446.6,1,1
7,goal_01,exito,1616,446.61,1,1
8,goal_01,exito,1616,446.62,1,1
9,goal_01,exito,1616,446.65,1,1
10,goal_01,exito,1616,446.64,1,1
11,goal_01,exito,1616,446.62,1,1
12,goal_01,exito,1616,446.61,1,1
13,goal_01,exito,1616,446.62,1,1
14,goal_01,exito,1616,446.63,1,1
15,goal_01,exito,1616,446.64,1,1
16,goal_01,exito,1616,446.63,1,1
17,goal_01,exito,1616,446.61,1,1
18,goal_01,exito,1616,446.61,1,1
19,goal_01,exito,1616,446.58,1,1
20,goal_01,exito,1616,446.59,1,1
21,goal_01,exito,1616,446.59,1,1
22,goal_01,exito,1616,446.61,1,1
23,goal_01,exito,1616,446.61,1,1
24,goal_01,exito,1616,446.62,1,1
25,goal_01,exito,1616,446.63,1,1
26,goal_01,exito,1616,446.63,1,1
27,goal_01,exito,1616,446.62,1,1
28,goal_01,exito,1616,446.61,1,1
29,goal_01,exito,1616,446.62,1,1
30,goal_01,exito,1616,446.64,1,1
31,goal_01,exito,1616,446.65,1,1
32,goal_01,exito,1616,446.63,1,1
33,goal_01,exito,1616,446.62,1,1
34,goal_01,exito,1616,446.6,1,1
35,goal_01,exito,1616,446.61,1,1
36,goal_01,exito,1616,446.63,1,1
37,goal_01,exito,1616,446.64,1,1
38,goal_01,exito,1616,446.62,1,1
39,goal_01,exito,1616,446.6,1,1
40,goal_01,exito,1616,446.55,1,1
41,goal_01,exito,1616,446.62,1,1
42,goal_01,exito,1616,446.64,1,1
43,goal_01,exito,1616,446.64,1,1
44,goal_01,exito,1616,446.62,1,1
45,goal_01,exito,1616,446.61,1,1
46,goal_01,exito,1616,446.61,1,1
47,goal_01,exito,1616,446.63,1,1
48,goal_01,exito,1616,446.65,1,1
49,goal_01,exito,1616,446.64,1,1
50,goal_01,exito,1616,446.62,1,1
51,goal_01,exito,1616,446.6,1,1
52,goal_01,exito,1616,446.61,1,1
53,goal_01,exito,1616,446.59,1,1
54,goal_01,exito,1616,446.63,1,1
55,goal_01,exito,1616,446.63,1,1
56,goal_01,exito,1616,446.61,1,1
57,goal_01,exito,1616,446.6,1,1
58,goal_01,exito,1616,446.62,1,1
59,goal_01,exito,1616,446.63,1,1
60,goal_01,exito,1616,446.63,1,1
61,goal_01,exito,1616,446.63,1,1
62,goal_01,exito,1616,446.61,1,1
63,goal_01,exito,1616,446.62,1,1
64,goal_01,exito,1616,446.63,1,1
65,goal_01,exito,1616,446.63,1,1
66,goal_01,exito,1616,446.63,1,1
67,goal_01,exito,1616,446.61,1,1
68,goal_01,exito,1616,446.61,1,1
69,goal_01,exito,1616,446.62,1,1
70,goal_01,exito,1616,446.63,1,1
71,goal_01,exito,1616,446.63,1,1
72,goal_01,exito,1616,446.56,1,1
73,goal_01,exito,1616,446.55,1,1
74,goal_01,exito,1616,446.61,1,1
75,goal_01,exito,1616,446.63,1,1
76,goal_01,exito,1616,446.64,1,1
77,goal_01,exito,1616,446.62,1,1
78,goal_01,exito,1616,446.61,1,1
79,goal_01,exito,1616,446.61,1,1
80,goal_01,exito,1616,446.62,1,1
81,goal_01,exito,1616,446.65,1,1
82,goal_01,exito,1616,446.65,1,1
83,goal_01,exito,1616,446.62,1,1
84,goal_01,exito,1616,446.61,1,1
85,goal_01,exito,1616,446.61,1,1
86,goal_01,exito,1616,446.62,1,1
87,goal_01,exito,1616,446.64,1,1
88,goal_01,exito,1616,446.63,1,1
89,goal_01,exito,1616,446.61,1,1
90,goal_01,exito,1616,446.54,1,1
91,goal_01,exito,1616,446.56,1,1
92,goal_01,exito,1616,446.59,1,1
93,goal_01,exito,1616,446.64,1,1
94,goal_01,exito,1616,446.63,1,1
95,goal_01,exito,1616,446.61,1,1
96,goal_01,exito,1616,446.6,1,1
97,goal_01,exito,1616,446.62,1,1
98,goal_01,exito,1616,446.64,1,1
99,goal_01,exito,1616,446.64,1,1
100,goal_01,exito,1616,446.63,1,1
101,goal_02,exito,1874,481.66,1,1
102,goal_02,exito,1874,481.66,1,1
103,goal_02,exito,1874,481.68,1,1
104,goal_02,exito,1874,481.67,1,1
105,goal_02,exito,1874,481.66,1,1
106,goal_02,exito,1874,481.66,1,1
107,goal_02,exito,1874,481.66,1,1
108,goal_02,exito,1874,481.68,1,1
109,goal_02,exito,1874,481.68,1,1
110,goal_02,exito,1874,481.66,1,1
111,goal_02,exito,1874,481.65,1,1
112,goal_02,exito,1874,481.64,1,1
113,goal_02,exito,1874,481.66,1,1
114,goal_02,exito,1874,481.68,1,1
115,goal_02,exito,1874,481.67,1,1
116,goal_02,exito,1874,481.66,1,1
117,goal_02,exito,1874,481.67,1,1
118,goal_02,exito,1874,481.66,1,1
119,goal_02,exito,1874,481.68,1,1
120,goal_02,exito,1874,481.66,1,1
121,goal_02,exito,1874,481.66,1,1
122,goal_02,exito,1874,481.67,1,1
123,goal_02,exito,1874,481.68,1,1
124,goal_02,exito,1874,481.68,1,1
125,goal_02,exito,1874,481.66,1,1
126,goal_02,exito,1874,481.66,1,1
127,goal_02,exito,1874,481.67,1,1
128,goal_02,exito,1874,481.67,1,1
129,goal_02,exito,1874,481.67,1,1
130,goal_02,exito,1874,481.66,1,1
131,goal_02,exito,1874,481.65,1,1
132,goal_02,exito,1874,481.67,1,1
133,goal_02,exito,1874,481.66,1,1
134,goal_02,exito,1874,481.68,1,1
135,goal_02,exito,1874,481.66,1,1
136,goal_02,exito,1874,481.66,1,1
137,goal_02,exito,1874,481.67,1,1
138,goal_02,exito,1874,481.68,1,1
139,goal_02,exito,1874,481.68,1,1
140,goal_02,exito,1874,481.66,1,1
141,goal_02,exito,1874,481.66,1,1
142,goal_02,exito,1874,481.67,1,1
143,goal_02,exito,1874,481.66,1,1
144,goal_02,exito,1874,481.67,1,1
145,goal_02,exito,1874,481.66,1,1
146,goal_02,exito,1874,481.66,1,1
147,goal_02,exito,1874,481.66,1,1
148,goal_02,exito,1874,481.66,1,1
149,goal_02,exito,1874,481.68,1,1
150,goal_02,exito,1874,481.66,1,1
151,goal_02,exito,1876,481.91,1,1
152,goal_02,exito,1874,481.66,1,1
153,goal_02,exito,1874,481.67,1,1
154,goal_02,exito,1874,481.66,1,1
155,goal_02,exito,1874,481.66,1,1
156,goal_02,exito,1874,481.67,1,1
157,goal_02,exito,1874,481.68,1,1
158,goal_02,exito,1874,481.67,1,1
159,goal_02,exito,1874,481.66,1,1
160,goal_02,exito,1874,481.66,1,1
161,goal_02,exito,1874,481.66,1,1
162,goal_02,exito,1874,481.67,1,1
163,goal_02,exito,1874,481.68,1,1
164,goal_02,exito,1874,481.66,1,1
165,goal_02,exito,1874,481.66,1,1
166,goal_02,exito,1874,481.64,1,1
167,goal_02,exito,1874,481.66,1,1
168,goal_02,exito,1874,481.67,1,1
169,goal_02,exito,1874,481.66,1,1
170,goal_02,exito,1874,481.66,1,1
171,goal_02,exito,1874,481.67,1,1
172,goal_02,exito,1874,481.66,1,1
