episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_exit,866,6.52,1,0
2,goal_01,col_retorno,1365,159.52,1,1
3,goal_01,col_exit,893,7.37,1,0
4,goal_01,col_retorno,1338,155.58,1,1
5,goal_01,col_exit,893,6.45,1,0
6,goal_01,col_retorno,1336,155.28,1,1
7,goal_01,col_exit,816,-5.57,1,0
8,goal_01,col_exit,775,-4.1,1,0
9,goal_01,col_exit,811,-1.16,1,0
10,goal_01,col_exit,826,1.6,1,0
11,goal_01,col_retorno,1291,150.37,1,1
12,goal_01,col_exit,909,4.66,1,0
13,goal_01,col_retorno,1338,154.73,1,1
14,goal_01,col_exit,890,8.07,1,0
15,goal_01,col_retorno,1345,156.95,1,1
16,goal_01,col_exit,923,-1.34,1,0
17,goal_01,col_retorno,1344,155.16,1,1
18,goal_01,col_exit,887,7.68,1,0
19,goal_01,col_retorno,1347,157.26,1,1
20,goal_01,col_exit,895,1.01,1,0
21,goal_01,col_retorno,1369,159.78,1,1
22,goal_01,col_exit,892,7.57,1,0
23,goal_01,col_retorno,1344,156.92,1,1
24,goal_01,col_exit,892,4.57,1,0
25,goal_01,col_retorno,1373,160.41,1,1
26,goal_01,col_exit,893,7.43,1,0
27,goal_01,col_retorno,1338,155.58,1,1
28,goal_01,col_exit,893,6.46,1,0
29,goal_01,col_retorno,1336,155.27,1,1
30,goal_01,col_exit,816,-5.58,1,0
31,goal_01,col_exit,775,-4.11,1,0
32,goal_01,col_exit,811,-1.12,1,0
33,goal_01,col_exit,826,1.6,1,0
34,goal_01,col_retorno,1291,150.37,1,1
35,goal_01,col_exit,909,4.46,1,0
36,goal_01,col_retorno,1338,154.73,1,1
37,goal_01,col_exit,890,8.06,1,0
38,goal_01,col_retorno,1345,156.94,1,1
39,goal_01,col_exit,923,-1.33,1,0
40,goal_01,col_retorno,1344,155.16,1,1
41,goal_01,col_exit,888,7.67,1,0
42,goal_01,col_retorno,1346,157.16,1,1
43,goal_01,col_exit,895,1.0,1,0
44,goal_01,col_retorno,1369,159.78,1,1
45,goal_01,col_exit,892,7.52,1,0
46,goal_01,col_retorno,1344,156.92,1,1
47,goal_01,col_exit,892,4.56,1,0
48,goal_01,col_retorno,1373,160.41,1,1
49,goal_01,col_exit,893,7.43,1,0
50,goal_01,col_retorno,1338,155.58,1,1
