episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_retorno,1250,123.4,1,1
2,goal_01,col_retorno,1166,113.22,1,1
3,goal_01,exito,1653,421.8,1,1
4,goal_01,exito,1629,418.48,1,1
5,goal_01,col_retorno,1209,113.21,1,1
6,goal_01,col_exit,862,-16.72,1,0
7,goal_01,col_retorno,1313,133.97,1,1
8,goal_01,exito,1695,422.4,1,1
9,goal_01,col_retorno,1193,115.58,1,1
10,goal_01,col_exit,857,-17.66,1,0
11,goal_01,col_retorno,1357,140.89,1,1
12,goal_01,col_exit,860,-13.42,1,0
13,goal_01,col_retorno,1362,142.6,1,1
14,goal_01,exito,1695,420.56,1,1
15,goal_01,col_exit,891,-12.78,1,0
16,goal_01,col_exit,677,-30.46,1,0
17,goal_01,col_retorno,1254,121.88,1,1
18,goal_01,col_exit,889,-15.01,1,0
19,goal_01,col_retorno,1366,139.8,1,1
20,goal_01,col_exit,869,-13.57,1,0
21,goal_01,col_retorno,1356,139.48,1,1
22,goal_01,exito,1695,420.9,1,1
23,goal_01,exito,1699,423.3,1,1
24,goal_01,col_retorno,1188,111.44,1,1
25,goal_01,exito,1640,415.95,1,1
26,goal_01,col_exit,874,-16.26,1,0
27,goal_01,col_retorno,1313,133.98,1,1
28,goal_01,exito,1695,422.4,1,1
29,goal_01,col_retorno,1193,115.58,1,1
30,goal_01,col_exit,857,-17.66,1,0
31,goal_01,col_retorno,1357,140.85,1,1
32,goal_01,col_exit,860,-13.41,1,0
33,goal_01,col_retorno,1362,142.61,1,1
34,goal_01,exito,1695,420.56,1,1
35,goal_01,col_exit,891,-12.78,1,0
36,goal_01,col_exit,677,-30.47,1,0
37,goal_01,col_retorno,1254,121.91,1,1
38,goal_01,col_exit,890,-14.52,1,0
39,goal_01,col_retorno,1368,139.83,1,1
40,goal_01,col_exit,868,-14.42,1,0
41,goal_01,col_retorno,1356,139.83,1,1
42,goal_01,exito,1695,421.14,1,1
43,goal_01,exito,1701,420.99,1,1
44,goal_01,exito,1629,418.86,1,1
45,goal_01,col_retorno,1206,112.83,1,1
46,goal_01,col_exit,863,-16.72,1,0
47,goal_01,col_retorno,1313,133.97,1,1
48,goal_01,exito,1695,422.4,1,1
49,goal_01,col_retorno,1193,115.58,1,1
50,goal_01,col_exit,857,-17.67,1,0
51,goal_01,col_retorno,1357,140.85,1,1
52,goal_01,col_exit,860,-13.41,1,0
53,goal_01,col_retorno,1362,142.6,1,1
54,goal_01,exito,1695,420.56,1,1
55,goal_01,col_exit,891,-12.79,1,0
56,goal_01,col_exit,677,-30.46,1,0
57,goal_01,col_retorno,1254,121.88,1,1
58,goal_01,col_exit,890,-14.52,1,0
59,goal_01,col_retorno,1368,139.93,1,1
60,goal_01,col_exit,867,-13.79,1,0
61,goal_01,col_retorno,1357,139.23,1,1
62,goal_01,exito,1695,421.14,1,1
63,goal_01,exito,1701,420.97,1,1
64,goal_01,exito,1629,418.85,1,1
65,goal_01,col_retorno,1206,112.79,1,1
66,goal_01,col_exit,863,-16.69,1,0
67,goal_01,col_retorno,1313,133.97,1,1
68,goal_01,exito,1695,422.41,1,1
69,goal_01,col_retorno,1193,115.57,1,1
70,goal_01,col_exit,857,-17.66,1,0
71,goal_01,col_retorno,1357,140.88,1,1
72,goal_01,col_exit,860,-13.41,1,0
73,goal_01,col_retorno,1362,142.61,1,1
74,goal_01,exito,1695,420.54,1,1
75,goal_01,col_exit,891,-12.82,1,0
76,goal_01,col_exit,677,-30.46,1,0
77,goal_01,col_retorno,1254,121.89,1,1
78,goal_01,col_exit,889,-15.02,1,0
79,goal_01,col_retorno,1366,139.81,1,1
