episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_exit,919,17.58,1,0
2,goal_01,col_exit,715,-11.01,1,0
3,goal_01,col_retorno,1251,149.07,1,1
4,goal_01,col_exit,834,6.02,1,0
5,goal_01,col_retorno,1050,126.73,1,1
6,goal_01,col_exit,741,-6.19,1,0
7,goal_01,col_exit,721,-10.23,1,0
8,goal_01,col_exit,854,9.23,1,0
9,goal_01,col_exit,713,-11.2,1,0
10,goal_01,col_retorno,1271,144.86,1,1
11,goal_01,col_exit,850,4.86,1,0
12,goal_01,col_exit,721,-12.31,1,0
13,goal_01,col_retorno,1241,151.03,1,1
14,goal_01,col_exit,837,6.54,1,0
15,goal_01,col_retorno,1048,127.04,1,1
16,goal_01,col_exit,737,-7.49,1,0
17,goal_01,col_exit,713,-11.53,1,0
18,goal_01,col_exit,870,10.85,1,0
19,goal_01,col_exit,715,-11.02,1,0
20,goal_01,col_retorno,1253,147.32,1,1
21,goal_01,col_exit,834,6.02,1,0
22,goal_01,col_retorno,1050,127.97,1,1
23,goal_01,col_exit,743,-6.71,1,0
24,goal_01,col_exit,720,-10.27,1,0
25,goal_01,col_exit,855,8.41,1,0
26,goal_01,col_exit,712,-11.58,1,0
27,goal_01,col_exit,805,-5.32,1,0
28,goal_01,col_exit,795,0.31,1,0
29,goal_01,col_exit,759,-5.65,1,0
30,goal_01,col_exit,869,12.09,1,0
31,goal_01,col_exit,715,-11.02,1,0
32,goal_01,col_retorno,1255,145.85,1,1
33,goal_01,col_exit,857,2.97,1,0
34,goal_01,col_retorno,1028,130.82,1,1
35,goal_01,col_exit,742,-6.87,1,0
36,goal_01,col_exit,718,-10.73,1,0
37,goal_01,col_exit,856,9.6,1,0
38,goal_01,col_exit,715,-11.03,1,0
39,goal_01,col_exit,798,-5.73,1,0
40,goal_01,col_exit,798,0.6,1,0
41,goal_01,col_exit,770,-3.41,1,0
42,goal_01,col_exit,860,9.36,1,0
43,goal_01,col_exit,713,-11.41,1,0
44,goal_01,col_retorno,1256,144.81,1,1
45,goal_01,col_exit,858,4.51,1,0
46,goal_01,col_retorno,1036,128.5,1,1
47,goal_01,col_exit,736,-8.0,1,0
48,goal_01,col_exit,716,-10.77,1,0
49,goal_01,col_exit,859,9.14,1,0
50,goal_01,col_retorno,1056,126.82,1,1
51,goal_01,col_exit,741,-7.82,1,0
52,goal_01,col_exit,713,-11.74,1,0
53,goal_01,col_exit,870,11.27,1,0
54,goal_01,col_exit,715,-11.03,1,0
55,goal_01,col_retorno,1254,146.54,1,1
56,goal_01,col_exit,838,6.31,1,0
57,goal_01,col_retorno,1029,130.88,1,1
58,goal_01,col_exit,750,-4.51,1,0
59,goal_01,col_exit,727,-10.22,1,0
60,goal_01,col_exit,857,8.82,1,0
61,goal_01,col_exit,716,-11.08,1,0
62,goal_01,col_exit,800,-5.29,1,0
63,goal_01,col_exit,796,0.5,1,0
64,goal_01,col_exit,762,-4.96,1,0
65,goal_01,col_exit,866,10.52,1,0
66,goal_01,col_exit,715,-11.03,1,0
67,goal_01,col_retorno,1255,145.35,1,1
68,goal_01,col_exit,857,4.11,1,0
69,goal_01,col_retorno,1029,130.22,1,1
70,goal_01,col_exit,741,-7.11,1,0
71,goal_01,col_exit,718,-10.8,1,0
72,goal_01,col_exit,859,9.18,1,0
73,goal_01,col_retorno,1057,127.23,1,1
74,goal_01,col_exit,743,-8.11,1,0
75,goal_01,col_exit,713,-11.6,1,0
76,goal_01,col_exit,869,10.71,1,0
77,goal_01,col_exit,715,-11.03,1,0
78,goal_01,col_retorno,1253,147.32,1,1
79,goal_01,col_exit,834,6.03,1,0
80,goal_01,col_retorno,1050,127.96,1,1
81,goal_01,col_exit,743,-6.7,1,0
82,goal_01,col_exit,720,-10.28,1,0
83,goal_01,col_exit,855,8.41,1,0
84,goal_01,col_exit,712,-11.6,1,0
85,goal_01,col_exit,805,-5.41,1,0
86,goal_01,col_exit,795,0.31,1,0
87,goal_01,col_exit,759,-5.7,1,0
88,goal_01,col_exit,869,12.09,1,0
89,goal_01,col_exit,715,-11.02,1,0
90,goal_01,col_retorno,1255,145.85,1,1
91,goal_01,col_exit,857,2.98,1,0
92,goal_01,col_retorno,1028,130.82,1,1
93,goal_01,col_exit,742,-6.86,1,0
94,goal_01,col_exit,718,-10.74,1,0
95,goal_01,col_exit,856,9.6,1,0
96,goal_01,col_exit,715,-11.02,1,0
97,goal_01,col_exit,798,-5.73,1,0
98,goal_01,col_exit,798,0.59,1,0
99,goal_01,col_exit,770,-3.42,1,0
100,goal_01,col_exit,860,9.36,1,0
101,goal_02,col_exit,1108,46.03,1,0
102,goal_02,col_exit,1124,47.23,1,0
103,goal_02,col_exit,1111,45.53,1,0
104,goal_02,col_retorno,1462,183.24,1,1
105,goal_02,col_exit,960,24.03,1,0
106,goal_02,col_exit,1028,34.04,1,0
