episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga,n_replans
1,goal_01,col_exit,1116,-53.91,1,0,1
2,goal_01,truncado,7000,-558.02,1,1,2
3,goal_01,col_exit,833,-18.19,1,0,1
4,goal_01,truncado,7000,-530.67,1,0,1
5,goal_01,col_exit,854,-17.48,1,0,1
6,goal_01,truncado,7000,-580.95,1,0,1
7,goal_01,col_exit,853,-11.67,1,0,1
8,goal_01,truncado,7000,-482.03,1,0,1
9,goal_01,col_exit,843,-8.82,1,0,1
10,goal_01,truncado,7000,-549.21,1,0,1
11,goal_01,col_exit,839,-8.13,1,0,1
12,goal_01,truncado,7000,-550.35,1,0,1
13,goal_01,col_exit,893,-9.22,1,0,1
14,goal_01,col_exit,5199,-451.58,1,0,1
15,goal_01,col_exit,881,-0.45,1,0,0
16,goal_01,col_exit,768,-16.24,1,0,1
17,goal_01,truncado,7000,-548.91,1,0,1
18,goal_01,col_exit,843,-20.13,1,0,2
19,goal_01,truncado,7000,-527.53,1,0,1
20,goal_01,col_exit,828,-11.66,1,0,1
21,goal_01,truncado,7000,-552.49,1,0,1
22,goal_01,col_exit,854,-9.3,1,0,1
23,goal_01,truncado,7000,-528.93,1,0,1
24,goal_01,col_exit,856,-7.57,1,0,2
25,goal_01,col_retorno,2661,-83.77,1,1,2
26,goal_01,col_exit,822,-17.98,1,0,1
27,goal_01,truncado,7000,-406.62,1,1,2
28,goal_01,col_exit,831,-16.9,1,0,2
29,goal_01,truncado,7000,-543.95,1,0,1
30,goal_01,col_exit,832,-11.03,1,0,1
31,goal_01,truncado,7000,-505.59,1,0,1
32,goal_01,col_exit,860,-6.59,1,0,1
33,goal_01,truncado,7000,-591.81,1,0,1
34,goal_01,col_exit,847,-10.87,1,0,2
35,goal_01,truncado,7000,-551.7,1,0,1
36,goal_01,col_exit,826,-0.74,1,0,1
37,goal_01,col_retorno,1557,44.06,1,1,3
38,goal_01,col_exit,813,-12.7,1,0,1
39,goal_01,truncado,7000,-542.23,1,0,1
40,goal_01,col_exit,839,-13.41,1,0,2
41,goal_01,truncado,7000,-500.88,1,0,1
42,goal_01,col_exit,868,-9.53,1,0,2
43,goal_01,truncado,7000,-549.29,1,0,1
44,goal_01,col_exit,851,-13.77,1,0,2
45,goal_01,truncado,7000,-553.11,1,0,1
46,goal_01,col_exit,824,0.11,1,0,1
47,goal_01,col_retorno,1570,41.55,1,1,3
48,goal_01,col_exit,807,-15.8,1,0,1
49,goal_01,truncado,7000,-390.05,1,1,2
50,goal_01,col_exit,845,-12.43,1,0,1
51,goal_01,truncado,7000,-481.97,1,0,1
52,goal_01,col_exit,843,-8.8,1,0,1
53,goal_01,truncado,7000,-550.15,1,0,1
54,goal_01,col_exit,839,-8.14,1,0,1
55,goal_01,col_retorno,2688,-73.46,1,1,2
56,goal_01,col_exit,822,-20.41,1,0,2
57,goal_01,truncado,7000,-583.47,1,0,1
58,goal_01,col_exit,847,-22.6,1,0,2
59,goal_01,truncado,7000,-566.96,1,0,1
60,goal_01,col_exit,836,-15.96,1,0,1
61,goal_01,truncado,7000,-400.61,1,1,2
62,goal_01,col_exit,834,-11.3,1,0,1
63,goal_01,truncado,7000,-504.87,1,0,1
64,goal_01,col_exit,860,-6.49,1,0,2
65,goal_01,truncado,7000,-510.33,1,0,1
66,goal_01,col_exit,837,-8.64,1,0,1
67,goal_01,truncado,7000,-588.96,1,0,1
68,goal_01,col_exit,855,-4.17,1,0,1
69,goal_01,col_exit,743,-20.72,1,0,1
70,goal_01,truncado,7000,-564.27,1,1,3
71,goal_01,col_exit,822,-19.73,1,0,2
72,goal_01,col_retorno,1786,47.0,1,1,3
73,goal_01,col_exit,857,-0.58,1,0,0
74,goal_01,truncado,7000,-408.93,1,1,3
75,goal_01,col_exit,874,-0.9,1,0,1
