episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_exit,872,9.1,1,0
2,goal_01,col_exit,722,-10.91,1,0
3,goal_01,col_exit,733,-10.33,1,0
4,goal_01,col_exit,835,3.3,1,0
5,goal_01,col_retorno,1230,145.42,1,1
6,goal_01,col_exit,711,-11.81,1,0
7,goal_01,col_exit,861,7.29,1,0
8,goal_01,col_exit,715,-11.54,1,0
9,goal_01,col_exit,831,-4.37,1,0
10,goal_01,col_exit,766,-4.6,1,0
11,goal_01,col_exit,786,-4.14,1,0
12,goal_01,col_exit,839,4.36,1,0
13,goal_01,col_retorno,1245,146.98,1,1
14,goal_01,col_exit,717,-12.39,1,0
15,goal_01,col_exit,842,5.26,1,0
16,goal_01,col_exit,711,-13.7,1,0
17,goal_01,col_exit,776,-5.91,1,0
18,goal_01,col_exit,792,-0.32,1,0
19,goal_01,col_exit,702,-12.39,1,0
20,goal_01,col_exit,912,5.36,1,0
21,goal_01,col_exit,736,-10.9,1,0
22,goal_01,col_exit,731,-10.23,1,0
23,goal_01,col_exit,831,3.53,1,0
24,goal_01,col_retorno,1249,147.97,1,1
25,goal_01,col_exit,747,-15.1,1,0
26,goal_01,col_exit,824,3.14,1,0
27,goal_01,col_exit,700,-13.26,1,0
28,goal_01,col_exit,924,7.51,1,0
29,goal_01,col_exit,723,-9.21,1,0
30,goal_01,col_exit,704,-13.38,1,0
31,goal_01,col_exit,853,6.1,1,0
32,goal_01,col_exit,724,-11.22,1,0
33,goal_01,col_exit,822,-2.58,1,0
34,goal_01,col_exit,767,-4.82,1,0
35,goal_01,col_exit,835,3.71,1,0
36,goal_01,col_exit,808,-0.47,1,0
37,goal_01,col_retorno,1269,147.9,1,1
38,goal_01,col_exit,832,-1.43,1,0
39,goal_01,col_exit,760,-5.51,1,0
40,goal_01,col_exit,829,2.56,1,0
41,goal_01,col_exit,807,-0.56,1,0
42,goal_01,col_retorno,1270,149.09,1,1
43,goal_01,col_exit,903,2.66,1,0
