episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
1,goal_01,col_exit,882,2.07,1,0
2,goal_01,col_retorno,1337,102.5,1,1
3,goal_01,col_exit,892,-1.22,1,0
4,goal_01,col_retorno,1340,107.72,1,1
5,goal_01,col_exit,905,-8.06,1,0
6,goal_01,col_retorno,1334,110.31,1,1
7,goal_01,col_exit,925,-13.27,1,0
8,goal_01,col_retorno,1338,104.98,1,1
9,goal_01,col_exit,903,-5.49,1,0
10,goal_01,col_retorno,1334,108.26,1,1
11,goal_01,col_exit,924,-12.76,1,0
12,goal_01,col_retorno,1342,104.04,1,1
13,goal_01,col_exit,900,-3.46,1,0
14,goal_01,col_retorno,1335,106.24,1,1
15,goal_01,col_exit,919,-12.46,1,0
16,goal_01,col_retorno,1348,103.31,1,1
17,goal_01,col_exit,897,-2.28,1,0
18,goal_01,col_retorno,1336,105.37,1,1
19,goal_01,col_exit,894,-5.17,1,0
20,goal_01,col_retorno,1371,109.55,1,1
21,goal_01,col_exit,886,-0.45,1,0
22,goal_01,col_retorno,1349,107.67,1,1
23,goal_01,col_exit,895,-4.45,1,0
24,goal_01,col_retorno,1366,107.31,1,1
25,goal_01,col_exit,889,-0.4,1,0
26,goal_01,col_retorno,1338,107.04,1,1
27,goal_01,col_exit,905,-8.05,1,0
28,goal_01,col_retorno,1334,110.31,1,1
29,goal_01,col_exit,925,-13.26,1,0
30,goal_01,col_retorno,1338,104.93,1,1
31,goal_01,col_exit,903,-5.49,1,0
32,goal_01,col_retorno,1334,108.27,1,1
33,goal_01,col_exit,924,-12.76,1,0
34,goal_01,col_retorno,1342,104.04,1,1
35,goal_01,col_exit,900,-3.48,1,0
36,goal_01,col_retorno,1335,106.25,1,1
37,goal_01,col_exit,919,-12.46,1,0
38,goal_01,col_retorno,1348,103.31,1,1
39,goal_01,col_exit,897,-2.28,1,0
40,goal_01,col_retorno,1336,105.36,1,1
41,goal_01,col_exit,894,-5.17,1,0
42,goal_01,col_retorno,1371,109.54,1,1
43,goal_01,col_exit,886,-0.43,1,0
44,goal_01,col_retorno,1349,107.68,1,1
45,goal_01,col_exit,895,-4.45,1,0
46,goal_01,col_retorno,1366,107.31,1,1
47,goal_01,col_exit,889,-0.4,1,0
48,goal_01,col_retorno,1338,107.05,1,1
49,goal_01,col_exit,905,-8.05,1,0
50,goal_01,col_retorno,1334,110.31,1,1
51,goal_01,col_exit,925,-13.28,1,0
52,goal_01,col_retorno,1338,104.93,1,1
53,goal_01,col_exit,903,-5.48,1,0
54,goal_01,col_retorno,1334,108.27,1,1
55,goal_01,col_exit,924,-12.76,1,0
56,goal_01,col_retorno,1342,104.04,1,1
57,goal_01,col_exit,900,-3.46,1,0
58,goal_01,col_retorno,1335,106.24,1,1
59,goal_01,col_exit,919,-12.45,1,0
60,goal_01,col_retorno,1348,103.32,1,1
61,goal_01,col_exit,897,-2.27,1,0
62,goal_01,col_retorno,1336,105.35,1,1
63,goal_01,col_exit,894,-5.17,1,0
64,goal_01,col_retorno,1371,109.5,1,1
65,goal_01,col_exit,886,-0.45,1,0
66,goal_01,col_retorno,1349,107.67,1,1
67,goal_01,col_exit,895,-4.46,1,0
68,goal_01,col_retorno,1366,107.31,1,1
69,goal_01,col_exit,889,-0.4,1,0
70,goal_01,col_retorno,1338,107.05,1,1
71,goal_01,col_exit,905,-8.05,1,0
72,goal_01,col_retorno,1334,110.34,1,1
73,goal_01,col_exit,925,-13.21,1,0
74,goal_01,col_retorno,1338,104.93,1,1
75,goal_01,col_exit,903,-5.49,1,0
76,goal_01,col_retorno,1334,108.26,1,1
77,goal_01,col_exit,924,-12.75,1,0
78,goal_01,col_retorno,1342,104.04,1,1
79,goal_01,col_exit,900,-3.45,1,0
80,goal_01,col_retorno,1335,106.24,1,1
81,goal_01,col_exit,919,-12.46,1,0
82,goal_01,col_retorno,1348,103.31,1,1
83,goal_01,col_exit,897,-2.29,1,0
84,goal_01,col_retorno,1336,105.4,1,1
85,goal_01,col_exit,894,-5.17,1,0
86,goal_01,col_retorno,1371,109.5,1,1
87,goal_01,col_exit,886,-0.46,1,0
88,goal_01,col_retorno,1349,107.67,1,1
89,goal_01,col_exit,895,-4.45,1,0
90,goal_01,col_retorno,1366,107.31,1,1
91,goal_01,col_exit,889,-0.4,1,0
92,goal_01,col_retorno,1338,107.05,1,1
93,goal_01,col_exit,905,-8.05,1,0
94,goal_01,col_retorno,1334,110.31,1,1
95,goal_01,col_exit,925,-13.27,1,0
96,goal_01,col_retorno,1338,104.94,1,1
97,goal_01,col_exit,903,-5.48,1,0
98,goal_01,col_retorno,1334,108.26,1,1
99,goal_01,col_exit,924,-12.77,1,0
100,goal_01,col_retorno,1342,104.03,1,1
101,goal_02,col_exit,1029,18.05,1,0
102,goal_02,col_exit,1046,26.5,1,0
103,goal_02,col_exit,1100,35.88,1,0
104,goal_02,col_exit,1101,27.53,1,0
105,goal_02,col_exit,1132,32.18,1,0
106,goal_02,col_exit,1111,24.59,1,0
107,goal_02,col_exit,1130,32.85,1,0
108,goal_02,col_exit,1127,21.85,1,0
109,goal_02,col_exit,1128,32.88,1,0
110,goal_02,col_exit,1113,25.52,1,0
111,goal_02,col_exit,1121,33.02,1,0
112,goal_02,col_exit,1130,19.69,1,0
113,goal_02,col_exit,1120,33.35,1,0
114,goal_02,col_exit,1123,20.83,1,0
115,goal_02,col_exit,1126,32.64,1,0
116,goal_02,col_exit,1123,18.33,1,0
117,goal_02,col_exit,1126,32.57,1,0
118,goal_02,col_exit,1121,22.47,1,0
119,goal_02,col_exit,1129,32.17,1,0
120,goal_02,col_exit,1111,22.92,1,0
121,goal_02,col_exit,1138,29.5,1,0
122,goal_02,col_exit,1117,23.96,1,0
123,goal_02,col_exit,1133,31.52,1,0
124,goal_02,col_exit,1113,22.96,1,0
125,goal_02,col_exit,1137,29.88,1,0
126,goal_02,col_exit,1119,24.28,1,0
127,goal_02,col_exit,1132,32.17,1,0
128,goal_02,col_exit,1111,24.6,1,0
129,goal_02,col_exit,1130,32.85,1,0
130,goal_02,col_exit,1127,21.85,1,0
131,goal_02,col_exit,1128,32.88,1,0
132,goal_02,col_exit,1113,25.52,1,0
133,goal_02,col_exit,1121,33.02,1,0
134,goal_02,col_exit,1130,19.69,1,0
135,goal_02,col_exit,1120,33.34,1,0
136,goal_02,col_exit,1123,20.83,1,0
137,goal_02,col_exit,1126,32.64,1,0
138,goal_02,col_exit,1123,19.21,1,0
139,goal_02,col_exit,1126,32.56,1,0
140,goal_02,col_exit,1120,23.0,1,0
141,goal_02,col_exit,1130,32.02,1,0
142,goal_02,col_exit,1111,22.92,1,0
143,goal_02,col_exit,1138,29.5,1,0
144,goal_02,col_exit,1117,23.98,1,0
145,goal_02,col_exit,1133,31.52,1,0
146,goal_02,col_exit,1113,23.07,1,0
147,goal_02,col_exit,1137,29.9,1,0
148,goal_02,col_exit,1118,24.39,1,0
149,goal_02,col_exit,1131,32.18,1,0
150,goal_02,col_exit,1113,24.18,1,0
151,goal_02,col_exit,1130,32.85,1,0
152,goal_02,col_exit,1127,21.84,1,0
153,goal_02,col_exit,1128,32.88,1,0
154,goal_02,col_exit,1113,25.52,1,0
155,goal_02,col_exit,1121,33.02,1,0
156,goal_02,col_exit,1130,19.69,1,0
157,goal_02,col_exit,1120,33.34,1,0
158,goal_02,col_exit,1123,20.83,1,0
159,goal_02,col_exit,1126,32.64,1,0
160,goal_02,col_exit,1123,18.33,1,0
161,goal_02,col_exit,1126,32.57,1,0
162,goal_02,col_exit,1121,22.46,1,0
163,goal_02,col_exit,1129,32.17,1,0
164,goal_02,col_exit,1111,22.92,1,0
165,goal_02,col_exit,1138,29.48,1,0
166,goal_02,col_exit,1117,23.97,1,0
167,goal_02,col_exit,1133,31.52,1,0
168,goal_02,col_exit,1113,23.17,1,0
169,goal_02,col_exit,1137,29.89,1,0
170,goal_02,col_exit,1119,24.28,1,0
171,goal_02,col_exit,1132,32.17,1,0
172,goal_02,col_exit,1111,24.6,1,0
173,goal_02,col_exit,1130,32.85,1,0
174,goal_02,col_exit,1127,21.85,1,0
175,goal_02,col_exit,1128,32.88,1,0
176,goal_02,col_exit,1113,25.52,1,0
177,goal_02,col_exit,1121,33.03,1,0
178,goal_02,col_exit,1130,19.69,1,0
179,goal_02,col_exit,1120,33.34,1,0
180,goal_02,col_exit,1123,20.71,1,0
181,goal_02,col_exit,1126,32.64,1,0
182,goal_02,col_exit,1123,19.18,1,0
183,goal_02,col_exit,1126,32.56,1,0
184,goal_02,col_exit,1121,22.47,1,0
185,goal_02,col_exit,1129,32.17,1,0
186,goal_02,col_exit,1111,22.92,1,0
187,goal_02,col_exit,1138,29.48,1,0
188,goal_02,col_exit,1117,23.96,1,0
189,goal_02,col_exit,1133,31.53,1,0
190,goal_02,col_exit,1113,23.17,1,0
191,goal_02,col_exit,1137,29.9,1,0
192,goal_02,col_exit,1118,24.39,1,0
