goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,107,31,76,107,29.0,100.0
goal_02,False,100,36,64,100,36.0,100.0
goal_03,False,126,39,87,126,31.0,100.0
goal_04,False,122,48,74,122,39.3,100.0
goal_05,True,876,298,578,876,34.0,100.0
goal_06,False,112,35,77,112,31.2,100.0
goal_07,False,94,33,61,94,35.1,100.0
goal_08,False,105,33,72,105,31.4,100.0
goal_09,True,871,301,569,871,34.6,100.0
goal_10,True,908,304,604,908,33.5,100.0
goal_11,False,122,38,84,122,31.1,100.0
goal_12,False,135,47,88,135,34.8,100.0
goal_13,True,868,294,574,868,33.9,100.0
goal_14,False,115,44,71,115,38.3,100.0
goal_15,False,93,31,62,93,33.3,100.0
goal_16,False,123,36,87,123,29.3,100.0
goal_17,True,934,316,617,934,33.8,100.0
goal_18,True,955,321,634,955,33.6,100.0
goal_19,True,884,304,579,884,34.4,100.0
goal_20,False,123,40,83,123,32.5,100.0
goal_21,False,141,45,96,141,31.9,100.0
goal_22,False,101,37,64,101,36.6,100.0
goal_23,True,869,275,593,869,31.6,100.0
goal_24,True,870,278,591,870,32.0,100.0
goal_25,True,947,307,639,947,32.4,100.0
goal_26,False,109,43,66,109,39.4,100.0
goal_27,False,117,39,78,117,33.3,100.0
goal_28,False,117,37,79,117,31.6,100.0
