goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,73,9,64,43,12.3,58.9
goal_02,False,68,8,60,41,11.8,60.3
goal_03,False,67,13,54,40,19.4,59.7
goal_04,False,93,9,84,60,9.7,64.5
goal_05,True,68,8,60,42,11.8,61.8
goal_06,False,78,13,65,46,16.7,59.0
goal_07,False,71,10,61,46,14.1,64.8
goal_08,False,84,13,71,46,15.5,54.8
goal_09,True,86,12,74,46,14.0,53.5
goal_10,True,82,11,71,37,13.4,45.1
goal_11,False,77,10,67,38,13.0,49.4
goal_12,False,90,14,76,54,15.6,60.0
goal_13,True,82,11,71,47,13.4,57.3
goal_14,False,79,8,71,49,10.1,62.0
goal_15,False,93,17,76,46,18.3,49.5
goal_16,False,95,13,82,54,13.7,56.8
goal_17,True,72,10,62,43,13.9,59.7
goal_18,True,77,15,62,49,19.5,63.6
goal_19,True,62,8,54,37,12.9,59.7
goal_20,False,68,8,60,46,11.8,67.6
goal_21,False,88,12,76,47,13.6,53.4
goal_22,False,94,20,74,47,21.3,50.0
goal_23,True,66,7,59,41,10.6,62.1
goal_24,True,81,9,72,47,11.1,58.0
goal_25,True,83,13,70,49,15.7,59.0
goal_26,False,84,9,75,45,10.7,53.6
goal_27,False,60,13,47,33,21.7,55.0
goal_28,False,75,9,66,46,12.0,61.3
