goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,29,0,29,22,0.0,75.9
goal_02,False,21,0,21,15,0.0,71.4
goal_03,False,12,1,11,7,8.3,58.3
goal_04,False,32,2,30,27,6.2,84.4
goal_05,True,25,2,23,17,8.0,68.0
goal_06,False,29,3,26,15,10.3,51.7
goal_07,False,28,2,26,21,7.1,75.0
goal_08,False,30,2,28,21,6.7,70.0
goal_09,True,29,1,28,11,3.4,37.9
goal_10,True,26,1,25,12,3.8,46.2
goal_11,False,32,5,27,14,15.6,43.8
goal_12,False,33,1,32,18,3.0,54.5
goal_13,True,34,1,33,23,2.9,67.6
goal_14,False,26,1,25,13,3.8,50.0
goal_15,False,40,3,37,24,7.5,60.0
goal_16,False,36,4,32,19,11.1,52.8
goal_17,True,26,0,26,18,0.0,69.2
goal_18,True,25,2,23,17,8.0,68.0
goal_19,True,24,4,20,9,16.7,37.5
goal_20,False,22,2,20,15,9.1,68.2
goal_21,False,29,2,27,16,6.9,55.2
goal_22,False,25,4,21,13,16.0,52.0
goal_23,True,27,2,25,12,7.4,44.4
goal_24,True,33,1,32,23,3.0,69.7
goal_25,True,29,0,29,16,0.0,55.2
goal_26,False,31,3,28,17,9.7,54.8
goal_27,False,23,4,19,16,17.4,69.6
goal_28,False,27,2,25,17,7.4,63.0
