goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,31,8,23,14,25.8,45.2
goal_02,False,28,4,24,11,14.3,39.3
goal_03,False,23,6,17,13,26.1,56.5
goal_04,False,19,1,18,16,5.3,84.2
goal_05,True,25,7,18,12,28.0,48.0
goal_06,False,26,6,20,13,23.1,50.0
goal_07,False,29,5,24,13,17.2,44.8
goal_08,False,31,2,29,17,6.5,54.8
goal_09,True,25,5,20,11,20.0,44.0
goal_10,True,23,4,19,13,17.4,56.5
goal_11,False,31,5,26,19,16.1,61.3
goal_12,False,22,8,14,10,36.4,45.5
goal_13,True,22,6,16,7,27.3,31.8
goal_14,False,26,4,22,14,15.4,53.8
goal_15,False,19,3,16,9,15.8,47.4
goal_16,False,32,8,24,16,25.0,50.0
goal_17,True,29,4,25,14,13.8,48.3
goal_18,True,34,6,28,21,17.6,61.8
goal_19,True,29,1,28,15,3.4,51.7
goal_20,False,20,3,17,8,15.0,40.0
goal_21,False,21,6,15,11,28.6,52.4
goal_22,False,23,6,17,12,26.1,52.2
goal_23,True,23,6,17,12,26.1,52.2
goal_24,True,30,8,22,14,26.7,46.7
goal_25,True,23,2,21,17,8.7,73.9
goal_26,False,21,3,18,13,14.3,61.9
goal_27,False,30,6,24,14,20.0,46.7
goal_28,False,21,5,16,10,23.8,47.6
