goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,47,42,5,1,89.4,2.1
goal_02,False,45,37,8,4,82.2,8.9
goal_03,False,48,48,0,0,100.0,0.0
goal_04,False,55,46,9,5,83.6,9.1
goal_05,True,56,49,7,3,87.5,5.4
goal_06,False,50,44,6,5,88.0,10.0
goal_07,False,43,38,5,4,88.4,9.3
goal_08,False,44,38,6,2,86.4,4.5
goal_09,True,52,44,8,3,84.6,5.8
goal_10,True,51,48,3,3,94.1,5.9
goal_11,False,55,47,8,2,85.5,3.6
goal_12,False,53,45,8,4,84.9,7.5
goal_13,True,57,53,4,3,93.0,5.3
goal_14,False,56,48,8,2,85.7,3.6
goal_15,False,54,48,6,4,88.9,7.4
goal_16,False,52,46,6,4,88.5,7.7
goal_17,True,44,40,4,1,90.9,2.3
goal_18,True,54,49,5,3,90.7,5.6
goal_19,True,46,43,3,2,93.5,4.3
goal_20,False,36,29,7,6,80.6,16.7
goal_21,False,60,48,12,6,80.0,10.0
goal_22,False,58,51,7,3,87.9,5.2
goal_23,True,47,43,4,2,91.5,4.3
goal_24,True,65,50,15,9,76.9,13.8
goal_25,True,45,41,4,3,91.1,6.7
goal_26,False,52,45,7,4,86.5,7.7
goal_27,False,70,57,13,3,81.4,4.3
goal_28,False,53,48,5,5,90.6,9.4
