goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,29,26,3,1,89.7,3.4
goal_02,False,31,27,4,4,87.1,12.9
goal_03,False,31,31,0,0,100.0,0.0
goal_04,False,38,32,6,6,84.2,15.8
goal_05,True,38,36,2,2,94.7,5.3
goal_06,False,29,26,3,2,89.7,6.9
goal_07,False,23,20,3,2,87.0,8.7
goal_08,False,26,21,5,3,80.8,11.5
goal_09,True,38,31,7,6,81.6,15.8
goal_10,True,35,31,4,1,88.6,2.9
goal_11,False,41,39,2,2,95.1,4.9
goal_12,False,36,32,4,1,88.9,2.8
goal_13,True,35,30,5,4,85.7,11.4
goal_14,False,36,31,5,3,86.1,8.3
goal_15,False,38,35,3,3,92.1,7.9
goal_16,False,37,34,3,2,91.9,5.4
goal_17,True,26,23,3,2,88.5,7.7
goal_18,True,32,28,4,4,87.5,12.5
goal_19,True,33,31,2,0,93.9,0.0
goal_20,False,25,19,6,5,76.0,20.0
goal_21,False,38,31,7,5,81.6,13.2
goal_22,False,34,30,4,3,88.2,8.8
goal_23,True,32,25,7,6,78.1,18.8
goal_24,True,42,30,12,9,71.4,21.4
goal_25,True,32,28,4,2,87.5,6.2
goal_26,False,34,31,3,2,91.2,5.9
goal_27,False,49,40,9,4,81.6,8.2
goal_28,False,34,31,3,3,91.2,8.8
