goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,71,44,27,23,62.0,32.4
goal_02,False,72,47,25,20,65.3,27.8
goal_03,False,61,34,27,22,55.7,36.1
goal_04,False,68,50,18,12,73.5,17.6
goal_05,True,77,52,25,20,67.5,26.0
goal_06,False,68,45,23,19,66.2,27.9
goal_07,False,70,43,27,21,61.4,30.0
goal_08,False,71,54,17,15,76.1,21.1
goal_09,True,54,37,17,12,68.5,22.2
goal_10,True,58,36,22,15,62.1,25.9
goal_11,False,69,51,18,17,73.9,24.6
goal_12,False,56,41,15,11,73.2,19.6
goal_13,True,77,52,25,19,67.5,24.7
goal_14,False,191,135,56,47,70.7,24.6
goal_15,False,185,124,61,49,67.0,26.5
goal_16,False,212,134,78,67,63.2,31.6
goal_17,True,65,44,21,17,67.7,26.2
goal_18,True,76,55,21,14,72.4,18.4
goal_19,True,60,43,17,11,71.7,18.3
goal_20,False,82,55,27,23,67.1,28.0
goal_21,False,74,53,21,19,71.6,25.7
goal_22,False,68,44,24,20,64.7,29.4
goal_23,True,186,123,63,50,66.1,26.9
goal_24,True,189,123,66,54,65.1,28.6
goal_25,True,185,116,69,56,62.7,30.3
goal_26,False,177,122,55,46,68.9,26.0
goal_27,False,168,115,53,42,68.5,25.0
goal_28,False,193,134,59,47,69.4,24.4
