shelf_id,ciclo_completo,llegada_x,llegada_y,heading_llegada_deg,salida_x,salida_y,heading_salida_deg,giro_requerido_deg,hacia_estanteria,hacia_descarga
goal_01,True,-2.694,-7.298,-0.4,-2.665,-7.299,-1.1,-0.7,exito,exito
goal_02,True,-0.668,-7.226,-9.7,-0.641,-7.227,-10.7,-1.0,exito,exito
goal_03,True,1.091,-7.215,-11.2,1.117,-7.217,-12.2,-1.0,exito,exito
goal_04,True,3.106,-7.216,-11.8,3.132,-7.218,-12.9,-1.1,exito,exito
goal_05,False,-6.525,-5.746,111.6,-6.528,-5.724,111.2,-0.4,exito,colision
goal_06,False,-5.745,-5.67,83.8,-5.744,-5.642,82.9,-0.9,exito,colision
goal_07,True,-4.192,-5.452,48.6,-4.179,-5.438,48.1,-0.5,exito,exito
goal_08,False,-6.083,-1.022,169.7,-6.11,-1.02,168.7,-1.0,exito,colision
goal_09,False,-4.824,-1.001,173.5,-4.852,-0.999,172.6,-0.9,exito,colision
goal_10,False,-3.035,-0.931,175.4,-3.063,-0.931,175.2,-0.2,exito,colision
goal_11,False,7.78,-5.119,6.6,7.808,-5.12,6.1,-0.5,exito,colision
goal_12,False,6.034,-5.115,7.1,6.062,-5.115,6.6,-0.5,exito,colision
goal_13,False,4.033,-5.115,7.1,4.061,-5.116,6.6,-0.5,exito,colision
goal_14,True,7.84,-0.466,-11.6,7.867,-0.468,-12.7,-1.1,exito,exito
goal_15,True,6.345,-0.468,-11.0,6.371,-0.47,-12.1,-1.1,exito,exito
goal_16,True,4.346,-0.468,-5.3,4.375,-0.469,-6.2,-0.9,exito,exito
goal_17,False,-6.248,0.581,145.1,-6.264,0.591,144.4,-0.7,exito,colision
goal_18,False,-5.235,0.585,146.3,-5.252,0.594,145.6,-0.7,exito,colision
goal_19,False,-3.428,0.633,153.0,-3.448,0.639,152.1,-0.9,exito,colision
goal_20,True,-6.095,5.232,169.6,-6.122,5.233,168.6,-1.0,exito,exito
goal_21,False,-4.82,5.253,174.0,-4.848,5.254,173.1,-0.9,exito,colision
goal_22,False,-3.046,5.325,174.7,-3.074,5.325,174.6,-0.1,exito,colision
goal_23,False,7.762,1.087,12.4,7.789,1.087,12.0,-0.4,exito,colision
goal_24,False,6.015,1.09,13.4,6.041,1.09,13.0,-0.4,exito,colision
goal_25,False,4.023,0.901,35.7,4.039,0.911,35.3,-0.4,exito,colision
goal_26,True,7.849,5.796,-13.3,7.874,5.794,-14.4,-1.1,exito,exito
goal_27,True,6.399,5.836,-20.0,6.421,5.832,-21.0,-1.0,exito,exito
goal_28,False,,,,,,,,colision,
