goal_id,goal_x,goal_y,euc_espera_goal,astar_espera_goal,euc_goal_descarga,astar_goal_descarga,euc_total,astar_total
goal_01,-1.75,-7.8,4.9,4.91,18.38,18.79,23.28,23.7
goal_02,0.25,-7.8,6.89,6.91,18.3,17.96,25.19,24.87
goal_03,2.0,-7.8,8.63,8.66,18.41,18.27,27.04,26.93
goal_04,4.0,-7.8,10.62,10.66,18.73,19.1,29.36,29.76
goal_05,-6.9,-4.7,3.81,3.35,16.69,21.52,20.5,24.87
goal_06,-5.0,-4.7,4.12,3.77,16.0,20.52,20.12,24.29
goal_07,-3.1,-4.7,5.17,4.49,15.51,18.77,20.68,23.26
goal_08,-6.9,-0.9,7.61,17.3,13.33,15.99,20.93,33.3
goal_09,-5.0,-0.9,7.77,16.05,12.45,14.74,20.21,30.8
goal_10,-3.1,-0.9,8.37,14.3,11.81,12.99,20.18,27.3
goal_11,8.9,-4.7,15.96,16.35,17.61,22.04,33.57,38.38
goal_12,7.0,-4.7,14.12,14.6,16.73,20.29,30.86,34.88
goal_13,5.1,-4.7,12.3,12.6,16.03,18.29,28.33,30.88
goal_14,8.9,-0.9,17.26,18.65,14.46,16.51,31.73,35.16
goal_15,7.0,-0.9,15.58,17.15,13.38,15.01,28.96,32.16
goal_16,5.1,-0.9,13.95,15.15,12.49,13.01,26.44,28.16
goal_17,-6.9,1.5,10.0,18.03,11.34,15.27,21.35,33.3
goal_18,-5.0,1.5,10.13,17.03,10.3,14.27,20.42,31.3
goal_19,-3.1,1.5,10.59,15.28,9.52,12.52,20.11,27.8
goal_20,-6.9,5.3,13.8,23.55,8.64,10.33,22.44,33.88
goal_21,-5.0,5.3,13.89,22.3,7.21,9.08,21.11,31.38
goal_22,-3.1,5.3,14.24,20.55,6.05,7.33,20.29,27.88
goal_23,8.9,1.5,18.45,19.37,12.66,15.79,31.1,35.16
goal_24,7.0,1.5,16.88,17.62,11.4,14.04,28.28,31.66
goal_25,5.1,1.5,15.39,15.62,10.34,12.04,25.74,27.66
goal_26,8.9,5.3,20.75,24.9,10.31,9.97,31.06,34.87
goal_27,7.0,5.3,19.38,23.4,8.72,8.47,28.1,31.87
goal_28,5.1,5.3,18.09,21.4,7.28,6.61,25.38,28.01
