goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,39,23,16,59.0
goal_02,44,27,17,61.4
goal_03,56,34,22,60.7
goal_04,52,31,21,59.6
goal_05,44,23,20,52.3
goal_06,56,27,29,48.2
goal_07,54,32,22,59.3
goal_08,47,22,25,46.8
goal_09,35,24,11,68.6
goal_10,49,30,19,61.2
goal_11,42,22,20,52.4
goal_12,42,24,18,57.1
goal_13,41,26,15,63.4
goal_14,53,30,23,56.6
goal_15,44,22,22,50.0
goal_16,50,28,22,56.0
goal_17,44,26,18,59.1
goal_18,42,23,19,54.8
goal_19,46,26,20,56.5
goal_20,47,23,24,48.9
goal_21,54,33,21,61.1
goal_22,49,29,19,59.2
goal_23,38,24,14,63.2
goal_24,48,27,21,56.2
goal_25,39,29,10,74.4
goal_26,43,15,28,34.9
goal_27,40,23,17,57.5
goal_28,65,44,21,67.7
