goal_id,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,29,23,6,29,79.3,100.0
goal_02,33,24,9,33,72.7,100.0
goal_03,35,25,10,35,71.4,100.0
goal_04,38,23,15,37,60.5,97.4
goal_05,32,22,10,32,68.8,100.0
goal_06,24,20,4,24,83.3,100.0
goal_07,27,20,7,27,74.1,100.0
goal_08,37,28,9,37,75.7,100.0
goal_09,32,24,8,32,75.0,100.0
goal_10,27,22,5,27,81.5,100.0
goal_11,31,24,6,30,77.4,96.8
goal_12,25,15,10,25,60.0,100.0
goal_13,42,31,11,41,73.8,97.6
goal_14,36,27,9,36,75.0,100.0
goal_15,29,17,12,29,58.6,100.0
goal_16,30,21,9,30,70.0,100.0
goal_17,26,22,4,26,84.6,100.0
goal_18,29,20,9,28,69.0,96.6
goal_19,30,23,7,30,76.7,100.0
goal_20,41,29,12,41,70.7,100.0
goal_21,40,29,11,40,72.5,100.0
goal_22,34,25,9,34,73.5,100.0
goal_23,39,25,14,39,64.1,100.0
goal_24,32,25,7,32,78.1,100.0
goal_25,35,26,9,35,74.3,100.0
goal_26,32,22,10,32,68.8,100.0
goal_27,34,26,8,34,76.5,100.0
goal_28,38,31,7,38,81.6,100.0
