episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1887,492.41
2,goal_01,exito,1856,490.12
3,goal_01,exito,1889,492.65
4,goal_01,exito,1856,490.22
5,goal_01,exito,1888,492.49
6,goal_01,exito,1857,490.46
7,goal_01,exito,1888,492.45
8,goal_01,exito,1856,490.32
9,goal_01,exito,1888,492.42
10,goal_01,exito,1856,490.4
11,goal_01,exito,1889,492.56
12,goal_01,exito,1857,490.68
13,goal_01,exito,1889,492.53
14,goal_01,exito,1854,490.16
15,goal_01,exito,1889,492.61
16,goal_01,exito,1855,490.35
17,goal_01,exito,1889,492.56
18,goal_01,exito,1853,490.07
19,goal_01,exito,1886,492.02
20,goal_01,exito,1855,490.42
21,goal_01,exito,1883,492.39
22,goal_01,exito,1859,490.5
23,goal_01,exito,1883,492.49
24,goal_01,exito,1859,490.41
25,goal_01,exito,1883,492.61
26,goal_01,exito,1859,490.09
27,goal_01,exito,1883,492.84
28,goal_01,exito,1859,489.91
29,goal_01,exito,1882,492.72
30,goal_01,exito,1861,490.09
31,goal_01,exito,1882,492.61
32,goal_01,exito,1862,490.18
33,goal_01,exito,1882,492.56
34,goal_01,exito,1862,490.16
35,goal_01,exito,1882,492.53
36,goal_01,exito,1862,490.14
37,goal_01,exito,1882,492.51
38,goal_01,exito,1862,490.15
39,goal_01,exito,1881,492.31
40,goal_01,exito,1864,490.52
41,goal_01,exito,1882,492.43
42,goal_01,exito,1864,490.56
43,goal_01,exito,1881,492.36
44,goal_01,exito,1864,490.57
45,goal_01,exito,1880,492.26
46,goal_01,exito,1863,490.33
47,goal_01,exito,1880,492.36
48,goal_01,exito,1863,490.18
49,goal_01,exito,1882,492.73
50,goal_01,exito,1863,490.14
51,goal_01,exito,1882,492.85
52,goal_01,exito,1864,490.3
53,goal_01,exito,1880,492.74
54,goal_01,exito,1864,490.19
55,goal_01,exito,1880,492.67
56,goal_01,exito,1864,490.1
57,goal_01,exito,1880,492.55
58,goal_01,exito,1865,490.34
59,goal_01,exito,1879,492.1
60,goal_01,exito,1864,490.14
61,goal_01,exito,1879,492.0
62,goal_01,exito,1865,490.33
63,goal_01,exito,1878,491.83
64,goal_01,exito,1865,490.37
65,goal_01,exito,1878,491.73
66,goal_01,exito,1865,490.51
67,goal_01,exito,1881,492.21
68,goal_01,exito,1865,490.54
69,goal_01,exito,1881,492.3
70,goal_01,exito,1865,490.62
71,goal_01,exito,1881,492.42
72,goal_01,exito,1865,490.71
73,goal_01,exito,1881,492.4
74,goal_01,exito,1865,490.91
75,goal_01,exito,1881,492.41
76,goal_01,exito,1865,490.86
77,goal_01,exito,1879,492.07
78,goal_01,exito,1865,490.74
79,goal_01,exito,1879,492.1
80,goal_01,exito,1865,490.68
81,goal_01,exito,1879,492.19
82,goal_01,exito,1865,490.81
83,goal_01,exito,1878,491.79
84,goal_01,exito,1865,490.74
85,goal_01,exito,1878,491.6
86,goal_01,exito,1867,491.15
87,goal_01,exito,1877,491.38
88,goal_01,exito,1867,491.18
89,goal_01,exito,1876,491.15
90,goal_01,exito,1867,491.2
91,goal_01,exito,1877,491.17
92,goal_01,exito,1867,491.3
93,goal_01,exito,1875,490.75
94,goal_01,exito,1867,491.37
