episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,2029,475.18
2,goal_01,exito,2025,475.78
3,goal_01,exito,2025,475.78
4,goal_01,exito,2023,475.99
5,goal_01,exito,2026,475.44
6,goal_01,exito,2024,476.22
7,goal_01,exito,2024,476.45
8,goal_01,exito,2024,476.42
9,goal_01,exito,2024,476.46
10,goal_01,exito,2023,476.42
11,goal_01,exito,2024,476.28
12,goal_01,exito,2025,476.23
13,goal_01,exito,2023,475.84
14,goal_01,exito,2024,476.22
15,goal_01,exito,2023,476.99
16,goal_01,exito,2024,476.47
17,goal_01,exito,2024,476.25
18,goal_01,exito,2025,476.26
19,goal_01,exito,2025,476.26
20,goal_01,exito,2025,476.86
21,goal_01,exito,2024,476.31
22,goal_01,exito,2025,476.27
23,goal_01,exito,2025,475.53
24,goal_01,exito,2025,475.78
25,goal_01,exito,2025,476.24
26,goal_01,exito,2026,475.43
27,goal_01,exito,2026,475.97
28,goal_01,exito,2024,476.0
29,goal_01,exito,2025,475.96
30,goal_01,exito,2025,476.25
31,goal_01,exito,2023,475.69
32,goal_01,exito,2025,476.22
33,goal_01,exito,2024,476.22
34,goal_01,exito,2025,476.24
35,goal_01,exito,2024,476.46
36,goal_01,exito,2024,476.0
37,goal_01,exito,2024,476.48
38,goal_01,exito,2026,476.26
39,goal_01,exito,2024,476.47
40,goal_01,exito,2024,476.28
41,goal_01,exito,2025,476.51
42,goal_01,exito,2024,475.99
43,goal_01,exito,2026,475.98
44,goal_01,exito,2024,475.98
45,goal_01,exito,2025,475.86
46,goal_01,exito,2024,476.26
47,goal_01,exito,2025,476.22
48,goal_01,exito,2023,475.88
49,goal_01,exito,2024,476.21
50,goal_01,exito,2023,475.74
51,goal_01,exito,2025,476.23
52,goal_01,exito,2024,475.99
53,goal_01,exito,2025,476.24
54,goal_01,exito,2025,476.87
55,goal_01,exito,2024,476.3
56,goal_01,exito,2025,475.75
57,goal_01,exito,2026,475.44
58,goal_01,exito,2026,476.58
59,goal_01,exito,2024,476.27
60,goal_01,exito,2023,475.97
61,goal_01,exito,2024,476.45
62,goal_01,exito,2023,476.44
63,goal_01,exito,2024,476.25
64,goal_01,exito,2024,476.28
65,goal_01,exito,2023,475.98
66,goal_01,exito,2026,475.52
67,goal_01,exito,2025,475.74
68,goal_01,exito,2024,476.25
69,goal_01,exito,2025,476.25
70,goal_01,exito,2023,476.4
71,goal_01,exito,2024,476.21
72,goal_01,exito,2024,476.26
73,goal_01,exito,2025,476.24
74,goal_01,exito,2024,476.46
75,goal_01,exito,2025,476.24
76,goal_01,exito,2024,476.28
77,goal_01,exito,2025,475.83
78,goal_01,exito,2025,475.33
79,goal_01,exito,2026,475.99
80,goal_01,exito,2026,475.98
81,goal_01,exito,2024,476.47
82,goal_01,exito,2023,475.99
83,goal_01,exito,2024,476.45
84,goal_01,exito,2024,476.22
85,goal_01,exito,2024,476.45
86,goal_01,exito,2024,476.46
87,goal_01,exito,2024,476.15
88,goal_01,exito,2024,476.45
89,goal_01,exito,2025,475.82
90,goal_01,exito,2024,476.26
91,goal_01,exito,2025,475.96
92,goal_01,exito,2024,476.0
93,goal_01,exito,2025,475.73
94,goal_01,exito,2023,476.38
95,goal_01,exito,2025,475.76
96,goal_01,exito,2024,476.22
97,goal_01,exito,2024,476.14
