episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,2026,478.29
2,goal_01,exito,2023,479.47
3,goal_01,exito,2023,479.53
4,goal_01,exito,2023,479.54
5,goal_01,exito,2024,479.54
6,goal_01,exito,2024,479.54
7,goal_01,exito,2023,479.6
8,goal_01,exito,2024,479.58
9,goal_01,exito,2024,479.53
10,goal_01,exito,2023,479.47
11,goal_01,exito,2023,479.53
12,goal_01,exito,2023,479.54
13,goal_01,exito,2023,479.53
14,goal_01,exito,2024,479.54
15,goal_01,exito,2022,479.79
16,goal_01,exito,2025,479.36
17,goal_01,exito,2023,479.54
18,goal_01,exito,2023,479.53
19,goal_01,exito,2025,479.65
20,goal_01,exito,2023,479.53
21,goal_01,exito,2023,479.53
22,goal_01,exito,2023,479.61
23,goal_01,exito,2024,479.53
24,goal_01,exito,2025,479.36
25,goal_01,exito,2024,479.65
26,goal_01,exito,2022,479.56
27,goal_01,exito,2022,479.75
28,goal_01,exito,2022,479.72
29,goal_01,exito,2023,479.6
30,goal_01,exito,2024,479.55
31,goal_01,exito,2023,479.59
32,goal_01,exito,2022,479.78
33,goal_01,exito,2023,479.45
34,goal_01,exito,2024,479.65
35,goal_01,exito,2023,479.59
36,goal_01,exito,2024,479.55
37,goal_01,exito,2022,479.78
38,goal_01,exito,2024,479.53
39,goal_01,exito,2023,479.54
40,goal_01,exito,2023,479.54
41,goal_01,exito,2024,479.54
42,goal_01,exito,2024,479.64
43,goal_01,exito,2023,479.6
44,goal_01,exito,2024,479.54
45,goal_01,exito,2023,479.59
46,goal_01,exito,2024,479.55
47,goal_01,exito,2023,479.53
48,goal_01,exito,2023,479.53
49,goal_01,exito,2022,479.78
50,goal_01,exito,2024,479.53
51,goal_01,exito,2022,479.57
52,goal_01,exito,2024,479.54
53,goal_01,exito,2022,479.8
54,goal_01,exito,2024,479.51
55,goal_01,exito,2024,479.54
56,goal_01,exito,2024,479.64
57,goal_01,exito,2023,479.59
58,goal_01,exito,2024,479.55
59,goal_01,exito,2022,479.55
60,goal_01,exito,2023,479.47
61,goal_01,exito,2023,479.52
62,goal_01,exito,2024,479.66
63,goal_01,exito,2022,479.48
64,goal_01,exito,2024,479.64
65,goal_01,exito,2024,479.57
66,goal_01,exito,2024,479.52
67,goal_01,exito,2022,479.78
68,goal_01,exito,2023,479.52
69,goal_01,exito,2023,479.52
70,goal_01,exito,2024,479.54
71,goal_01,exito,2024,479.57
72,goal_01,exito,2024,479.57
73,goal_01,exito,2024,479.57
74,goal_01,exito,2024,479.53
75,goal_01,exito,2022,479.57
76,goal_01,exito,2023,479.52
77,goal_01,exito,2022,479.64
78,goal_01,exito,2023,479.54
79,goal_01,exito,2024,479.54
80,goal_01,exito,2024,479.52
81,goal_01,exito,2024,479.53
82,goal_01,exito,2023,479.47
83,goal_01,exito,2023,479.52
84,goal_01,exito,2023,479.55
85,goal_01,exito,2022,479.31
86,goal_01,exito,2024,479.51
87,goal_01,exito,2024,479.55
88,goal_01,exito,2022,479.74
89,goal_01,exito,2023,479.47
90,goal_01,exito,2023,479.52
91,goal_01,exito,2024,479.6
92,goal_01,exito,2022,479.47
93,goal_01,exito,2024,479.48
94,goal_01,exito,2022,479.55
95,goal_01,exito,2023,479.53
