episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1957,475.76
2,goal_01,exito,1958,476.52
3,goal_01,exito,1958,476.51
4,goal_01,exito,1958,476.51
5,goal_01,exito,1958,476.51
6,goal_01,exito,1958,476.5
7,goal_01,exito,1958,476.51
8,goal_01,exito,1958,476.48
9,goal_01,exito,1958,476.5
10,goal_01,exito,1958,476.52
11,goal_01,exito,1958,476.51
12,goal_01,exito,1958,476.5
13,goal_01,exito,1958,476.51
14,goal_01,exito,1958,476.51
15,goal_01,exito,1958,476.53
16,goal_01,exito,1958,476.5
17,goal_01,exito,1959,476.71
18,goal_01,exito,1958,476.5
19,goal_01,exito,1958,476.51
20,goal_01,exito,1958,476.51
21,goal_01,exito,1958,476.5
22,goal_01,exito,1958,476.56
23,goal_01,exito,1958,476.51
24,goal_01,exito,1958,476.5
25,goal_01,exito,1958,476.51
26,goal_01,exito,1958,476.5
27,goal_01,exito,1958,476.5
28,goal_01,exito,1958,476.51
29,goal_01,exito,1958,476.51
30,goal_01,exito,1958,476.52
31,goal_01,exito,1958,476.51
32,goal_01,exito,1958,476.52
33,goal_01,exito,1958,476.52
34,goal_01,exito,1958,476.51
35,goal_01,exito,1958,476.49
36,goal_01,exito,1958,476.51
37,goal_01,exito,1958,476.5
38,goal_01,exito,1958,476.5
39,goal_01,exito,1958,476.51
40,goal_01,exito,1958,476.51
41,goal_01,exito,1958,476.5
42,goal_01,exito,1958,476.48
43,goal_01,exito,1958,476.51
44,goal_01,exito,1958,476.48
45,goal_01,exito,1958,476.51
46,goal_01,exito,1958,476.51
47,goal_01,exito,1958,476.51
48,goal_01,exito,1958,476.49
49,goal_01,exito,1958,476.51
50,goal_01,exito,1958,476.49
51,goal_01,exito,1958,476.51
52,goal_01,exito,1958,476.51
53,goal_01,exito,1958,476.51
54,goal_01,exito,1958,476.5
55,goal_01,exito,1958,476.51
56,goal_01,exito,1958,476.49
57,goal_01,exito,1958,476.51
58,goal_01,exito,1958,476.49
59,goal_01,exito,1958,476.51
60,goal_01,exito,1958,476.51
61,goal_01,exito,1958,476.51
62,goal_01,exito,1958,476.51
63,goal_01,exito,1958,476.5
64,goal_01,exito,1958,476.5
65,goal_01,exito,1958,476.5
66,goal_01,exito,1958,476.51
67,goal_01,exito,1958,476.5
68,goal_01,exito,1958,476.5
69,goal_01,exito,1958,476.5
70,goal_01,exito,1958,476.51
71,goal_01,exito,1958,476.54
72,goal_01,exito,1959,476.71
73,goal_01,exito,1958,476.51
74,goal_01,exito,1958,476.5
75,goal_01,exito,1958,476.49
76,goal_01,exito,1958,476.51
77,goal_01,exito,1958,476.5
78,goal_01,exito,1958,476.52
79,goal_01,exito,1958,476.5
80,goal_01,exito,1958,476.5
81,goal_01,exito,1958,476.48
82,goal_01,exito,1958,476.5
83,goal_01,exito,1958,476.51
84,goal_01,exito,1958,476.51
85,goal_01,exito,1958,476.5
86,goal_01,exito,1958,476.49
87,goal_01,exito,1958,476.51
88,goal_01,exito,1958,476.49
89,goal_01,exito,1958,476.51
90,goal_01,exito,1958,476.5
