episodio,goal_id,resultado,pasos,reward
1,goal_01,col_exit,837,-18.2
2,goal_01,col_return,2125,230.64
3,goal_01,col_exit,862,-13.91
4,goal_01,col_exit,823,-17.4
5,goal_01,col_return,2139,235.03
6,goal_01,col_exit,817,-20.41
7,goal_01,col_return,2105,229.44
8,goal_01,col_exit,870,-12.12
9,goal_01,col_return,2107,226.48
10,goal_01,col_exit,876,-9.82
11,goal_01,col_return,2106,226.07
12,goal_01,exito,2878,570.9
13,goal_01,col_exit,820,-19.6
14,goal_01,exito,2881,576.14
15,goal_01,col_exit,835,-13.22
16,goal_01,exito,2877,574.3
17,goal_01,col_exit,851,-12.62
18,goal_01,col_exit,829,-14.92
19,goal_01,exito,2880,573.65
20,goal_01,col_exit,822,-16.88
21,goal_01,exito,2874,572.91
22,goal_01,col_exit,841,-14.69
23,goal_01,col_exit,832,-15.08
24,goal_01,exito,2879,570.76
25,goal_01,col_exit,822,-19.35
26,goal_01,exito,2879,573.73
27,goal_01,col_exit,837,-14.23
28,goal_01,exito,2879,574.88
29,goal_01,exito,2882,574.4
30,goal_01,exito,2881,574.73
31,goal_01,col_return,2104,231.37
32,goal_01,col_return,2126,230.94
33,goal_01,col_exit,864,-12.73
34,goal_01,col_exit,822,-18.38
35,goal_01,col_return,2140,233.61
36,goal_01,col_exit,821,-16.56
37,goal_01,exito,2884,574.85
38,goal_01,col_exit,845,-14.86
39,goal_01,col_return,2108,227.73
40,goal_01,col_exit,876,-9.84
41,goal_01,col_return,2105,226.93
42,goal_01,exito,2877,569.62
43,goal_01,col_exit,820,-19.67
44,goal_01,exito,2877,573.87
45,goal_01,col_exit,834,-13.14
46,goal_01,exito,2883,573.63
47,goal_01,col_exit,852,-12.33
48,goal_01,col_exit,830,-16.08
49,goal_01,exito,2881,573.27
50,goal_01,col_exit,819,-16.36
51,goal_01,exito,2876,572.68
52,goal_01,col_exit,841,-15.71
53,goal_01,col_exit,829,-15.79
54,goal_01,exito,2884,573.01
55,goal_01,col_exit,822,-19.32
56,goal_01,exito,2886,574.5
57,goal_01,col_exit,837,-14.13
58,goal_01,exito,2877,574.34
59,goal_01,col_exit,852,-12.43
60,goal_01,col_exit,831,-14.97
61,goal_01,exito,2881,573.05
62,goal_01,col_exit,821,-16.52
63,goal_01,exito,2883,572.66
64,goal_01,col_exit,849,-13.28
65,goal_01,exito,2877,573.97
66,goal_01,col_exit,873,-9.53
67,goal_01,exito,2878,572.59
68,goal_01,col_exit,865,-12.05
