episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,2783,625.31
2,goal_01,exito,2778,626.62
3,goal_01,col_return,2014,267.79
4,goal_01,col_exit,751,3.01
5,goal_01,col_exit,751,4.24
6,goal_01,col_exit,744,2.15
7,goal_01,col_exit,756,4.1
8,goal_01,col_exit,731,-0.02
9,goal_01,col_exit,758,4.27
10,goal_01,col_exit,758,5.6
11,goal_01,col_exit,744,2.46
12,goal_01,col_exit,749,2.9
13,goal_01,col_exit,756,4.48
14,goal_01,col_exit,733,0.15
15,goal_01,col_exit,758,4.0
16,goal_01,col_exit,753,4.39
17,goal_01,col_exit,743,2.29
18,goal_01,col_exit,755,3.59
19,goal_01,col_exit,732,0.12
20,goal_01,col_exit,758,4.21
21,goal_01,col_exit,757,5.15
22,goal_01,col_exit,744,2.56
23,goal_01,col_exit,750,3.38
24,goal_01,col_exit,755,3.97
25,goal_01,col_exit,735,0.51
26,goal_01,col_exit,757,4.09
27,goal_01,col_exit,752,4.02
28,goal_01,col_exit,744,2.47
29,goal_01,col_exit,755,4.02
30,goal_01,col_exit,732,-0.25
31,goal_01,col_exit,758,4.07
32,goal_01,col_exit,757,5.48
33,goal_01,col_exit,744,2.29
34,goal_01,col_exit,750,3.19
35,goal_01,col_exit,755,4.45
36,goal_01,col_exit,734,0.25
37,goal_01,col_exit,759,4.32
38,goal_01,col_exit,751,4.13
39,goal_01,col_exit,744,2.15
40,goal_01,col_exit,756,4.1
41,goal_01,col_exit,731,-0.03
42,goal_01,col_exit,758,4.27
43,goal_01,col_exit,758,5.6
44,goal_01,col_exit,744,2.45
45,goal_01,col_exit,749,2.86
46,goal_01,col_exit,756,4.48
47,goal_01,col_exit,733,0.15
48,goal_01,col_exit,758,4.0
49,goal_01,col_exit,753,4.4
50,goal_01,col_exit,743,2.14
51,goal_01,col_exit,755,3.59
52,goal_01,col_exit,732,0.13
53,goal_01,col_exit,758,4.2
54,goal_01,col_exit,757,5.13
55,goal_01,col_exit,744,2.56
56,goal_01,col_exit,750,3.38
57,goal_01,col_exit,755,3.96
58,goal_01,col_exit,735,0.51
59,goal_01,col_exit,757,4.09
60,goal_01,col_exit,752,4.01
61,goal_01,col_exit,744,2.47
62,goal_01,col_exit,755,4.02
63,goal_01,col_exit,732,-0.25
64,goal_01,col_exit,758,4.06
65,goal_01,col_exit,757,5.47
66,goal_01,col_exit,744,2.27
67,goal_01,col_exit,750,3.21
68,goal_01,col_exit,755,4.44
69,goal_01,col_exit,734,0.25
70,goal_01,col_exit,759,4.32
71,goal_01,col_exit,751,4.13
72,goal_01,col_exit,744,2.16
73,goal_01,col_exit,756,4.1
74,goal_01,col_exit,731,-0.02
75,goal_01,col_exit,758,4.27
76,goal_01,col_exit,758,5.6
77,goal_01,col_exit,744,2.47
78,goal_01,col_exit,749,2.86
79,goal_01,col_exit,756,4.48
