episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,2740,620.45
2,goal_01,exito,2741,620.62
3,goal_01,col_return,2036,267.62
4,goal_01,exito,2741,620.52
5,goal_01,col_exit,818,12.33
6,goal_01,col_exit,759,3.47
7,goal_01,col_exit,745,1.06
8,goal_01,col_exit,748,1.25
9,goal_01,col_exit,749,-0.34
10,goal_01,col_exit,757,3.32
11,goal_01,col_exit,756,3.17
12,goal_01,col_exit,763,-5.19
13,goal_01,col_exit,742,0.12
14,goal_01,col_exit,746,-0.9
15,goal_01,col_exit,747,-0.42
16,goal_01,col_exit,748,1.72
17,goal_01,col_exit,752,0.72
18,goal_01,col_exit,753,-3.18
19,goal_01,col_exit,742,0.49
20,goal_01,col_exit,750,-0.82
21,goal_01,col_exit,743,0.5
22,goal_01,col_exit,756,3.18
23,goal_01,col_exit,761,-5.05
24,goal_01,col_exit,742,-0.22
25,goal_01,col_exit,745,-0.63
26,goal_01,col_exit,747,0.04
27,goal_01,col_exit,748,1.46
28,goal_01,col_exit,754,1.41
29,goal_01,col_exit,751,-2.33
30,goal_01,col_exit,742,-0.0
31,goal_01,col_exit,750,-0.77
32,goal_01,col_exit,743,0.78
33,goal_01,col_exit,756,2.54
34,goal_01,col_exit,761,-4.56
35,goal_01,col_exit,741,-0.02
36,goal_01,col_exit,745,-0.68
37,goal_01,col_exit,748,-0.02
38,goal_01,col_exit,747,1.54
39,goal_01,col_exit,754,1.25
40,goal_01,col_exit,755,-3.24
41,goal_01,col_exit,741,-0.23
42,goal_01,col_exit,750,-1.27
43,goal_01,col_exit,743,0.76
44,goal_01,col_exit,756,2.73
45,goal_01,col_exit,761,-5.33
46,goal_01,col_exit,742,0.09
47,goal_01,col_exit,746,-1.48
48,goal_01,col_exit,747,-0.65
49,goal_01,col_exit,745,1.17
50,goal_01,col_exit,752,0.72
51,goal_01,col_exit,753,-3.18
52,goal_01,col_exit,742,0.5
53,goal_01,col_exit,750,-0.82
54,goal_01,col_exit,743,0.51
55,goal_01,col_exit,756,3.18
56,goal_01,col_exit,761,-5.05
57,goal_01,col_exit,742,-0.23
58,goal_01,col_exit,745,-0.62
59,goal_01,col_exit,747,0.05
60,goal_01,col_exit,748,1.45
61,goal_01,col_exit,754,1.41
62,goal_01,col_exit,751,-2.33
63,goal_01,col_exit,742,-0.01
64,goal_01,col_exit,750,-0.77
65,goal_01,col_exit,743,0.78
66,goal_01,col_exit,756,2.54
67,goal_01,col_exit,761,-4.55
68,goal_01,col_exit,741,-0.02
69,goal_01,col_exit,745,-0.68
70,goal_01,col_exit,748,-0.02
71,goal_01,col_exit,747,1.53
72,goal_01,col_exit,754,1.25
73,goal_01,col_exit,755,-3.24
74,goal_01,col_exit,741,-0.22
75,goal_01,col_exit,750,-1.27
76,goal_01,col_exit,743,0.76
77,goal_01,col_exit,756,2.72
78,goal_01,col_exit,761,-5.33
79,goal_01,col_exit,742,0.1
80,goal_01,col_exit,746,-1.48
81,goal_01,col_exit,747,-0.65
82,goal_01,col_exit,745,1.15
83,goal_01,col_exit,752,0.59
84,goal_01,col_exit,753,-3.18
85,goal_01,col_exit,742,0.5
86,goal_01,col_exit,750,-0.82
87,goal_01,col_exit,743,0.51
88,goal_01,col_exit,756,3.18
89,goal_01,col_exit,761,-5.05
90,goal_01,col_exit,742,-0.23
91,goal_01,col_exit,745,-0.63
92,goal_01,col_exit,747,0.05
93,goal_01,col_exit,748,1.45
94,goal_01,col_exit,754,1.41
95,goal_01,col_exit,751,-2.34
96,goal_01,col_exit,742,-0.01
97,goal_01,col_exit,750,-0.77
98,goal_01,col_exit,743,0.79
99,goal_01,col_exit,756,2.53
100,goal_01,col_exit,761,-4.55
101,goal_02,exito,2807,628.55
102,goal_02,exito,2809,629.18
103,goal_02,col_return,2053,270.59
104,goal_02,col_exit,810,8.8
105,goal_02,col_return,2066,267.13
106,goal_02,exito,2819,627.27
107,goal_02,col_exit,856,15.01
108,goal_02,exito,2807,627.57
109,goal_02,exito,2810,628.14
110,goal_02,col_return,2065,275.08
111,goal_02,col_exit,821,8.73
112,goal_02,col_return,2068,273.17
113,goal_02,exito,2810,627.23
114,goal_02,col_exit,859,15.2
115,goal_02,exito,2834,622.44
116,goal_02,exito,2812,629.02
117,goal_02,col_return,2059,272.57
118,goal_02,col_exit,810,6.69
119,goal_02,col_return,2054,271.83
120,goal_02,exito,2814,626.5
121,goal_02,col_exit,862,15.95
122,goal_02,col_exit,828,2.49
123,goal_02,exito,2815,626.81
124,goal_02,col_exit,856,14.83
125,goal_02,exito,2808,628.59
126,goal_02,exito,2809,629.09
127,goal_02,col_return,2068,273.88
128,goal_02,col_exit,816,9.34
129,goal_02,col_return,2068,273.14
130,goal_02,exito,2814,627.85
131,goal_02,col_exit,855,14.83
132,goal_02,exito,2835,620.66
133,goal_02,exito,2809,627.8
134,goal_02,col_return,2062,274.96
135,goal_02,col_exit,811,6.61
136,goal_02,col_return,2052,271.13
137,goal_02,exito,2813,626.41
138,goal_02,col_exit,864,16.14
139,goal_02,col_exit,825,4.02
140,goal_02,exito,2814,626.46
141,goal_02,col_exit,859,15.22
142,goal_02,exito,2809,628.87
143,goal_02,exito,2812,629.75
144,goal_02,col_return,2063,272.98
145,goal_02,col_exit,818,8.74
146,goal_02,col_return,2069,274.15
147,goal_02,exito,2811,627.16
148,goal_02,col_exit,859,15.41
149,goal_02,exito,2830,622.18
150,goal_02,exito,2810,628.55
151,goal_02,col_return,2064,275.41
152,goal_02,col_exit,812,6.5
153,goal_02,col_return,2056,268.39
154,goal_02,exito,2815,627.73
155,goal_02,col_exit,857,15.21
156,goal_02,col_exit,828,2.22
157,goal_02,exito,2817,627.55
158,goal_02,col_exit,853,14.42
159,goal_02,exito,2807,627.57
160,goal_02,exito,2810,628.14
161,goal_02,col_return,2065,275.08
