episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga,n_replans
1,goal_01,exito,2770,601.08,1,1,0
2,goal_01,col_exit,813,3.15,1,0,0
3,goal_01,col_exit,746,-3.01,1,0,0
4,goal_01,col_exit,750,-3.14,1,0,0
5,goal_01,col_exit,754,-3.3,1,0,0
6,goal_01,col_exit,756,-5.9,1,0,1
7,goal_01,col_exit,757,-8.6,1,0,1
8,goal_01,col_exit,761,-7.72,1,0,1
9,goal_01,col_exit,742,-7.48,1,0,1
10,goal_01,col_exit,744,-7.14,1,0,1
11,goal_01,col_exit,745,-6.23,1,0,1
12,goal_01,col_exit,753,-6.63,1,0,1
13,goal_01,col_exit,760,-7.85,1,0,1
14,goal_01,col_exit,750,-8.51,1,0,1
15,goal_01,col_exit,742,-6.98,1,0,1
16,goal_01,col_exit,745,-7.54,1,0,1
17,goal_01,col_exit,743,-5.31,1,0,1
18,goal_01,col_exit,758,-7.27,1,0,1
19,goal_01,col_exit,759,-8.71,1,0,1
20,goal_01,col_exit,743,-9.17,1,0,1
21,goal_01,col_exit,744,-7.41,1,0,1
22,goal_01,col_exit,744,-7.61,1,0,1
23,goal_01,col_exit,752,-6.01,1,0,1
24,goal_01,col_exit,760,-8.11,1,0,1
25,goal_01,col_exit,749,-9.12,1,0,1
26,goal_01,col_exit,742,-7.02,1,0,1
27,goal_01,col_exit,745,-7.44,1,0,1
28,goal_01,col_exit,742,-6.19,1,0,1
29,goal_01,col_exit,758,-6.2,1,0,1
30,goal_01,col_exit,758,-8.53,1,0,1
31,goal_01,col_exit,743,-9.37,1,0,1
32,goal_01,col_exit,744,-6.82,1,0,1
33,goal_01,col_exit,744,-6.96,1,0,1
34,goal_01,col_exit,754,-6.94,1,0,1
35,goal_01,col_exit,760,-7.03,1,0,1
36,goal_01,col_exit,745,-8.75,1,0,1
37,goal_01,col_exit,743,-7.2,1,0,1
38,goal_01,col_exit,745,-6.13,1,0,1
39,goal_01,col_exit,744,-6.28,1,0,1
40,goal_01,col_exit,759,-7.31,1,0,1
41,goal_01,col_exit,758,-8.43,1,0,1
42,goal_01,col_exit,742,-7.47,1,0,1
43,goal_01,col_exit,744,-7.17,1,0,1
44,goal_01,col_exit,745,-6.23,1,0,1
45,goal_01,col_exit,753,-6.64,1,0,1
46,goal_01,col_exit,760,-7.83,1,0,1
47,goal_01,col_exit,750,-8.51,1,0,1
48,goal_01,col_exit,742,-6.96,1,0,1
49,goal_01,col_exit,745,-7.54,1,0,1
50,goal_01,col_exit,743,-5.31,1,0,1
51,goal_01,col_exit,758,-7.26,1,0,1
52,goal_01,col_exit,759,-8.89,1,0,1
53,goal_01,col_exit,743,-9.17,1,0,1
54,goal_01,col_exit,744,-7.42,1,0,1
55,goal_01,col_exit,744,-7.62,1,0,1
56,goal_01,col_exit,752,-6.03,1,0,1
57,goal_01,col_exit,760,-8.11,1,0,1
58,goal_01,col_exit,749,-9.12,1,0,1
59,goal_01,col_exit,742,-7.02,1,0,1
60,goal_01,col_exit,745,-7.44,1,0,1
61,goal_01,col_exit,743,-6.46,1,0,1
62,goal_01,col_exit,757,-6.2,1,0,1
63,goal_01,col_exit,758,-8.53,1,0,1
64,goal_01,col_exit,743,-9.35,1,0,1
65,goal_01,col_exit,744,-6.83,1,0,1
66,goal_01,col_exit,744,-6.96,1,0,1
67,goal_01,col_exit,754,-6.94,1,0,1
68,goal_01,col_exit,760,-7.03,1,0,1
69,goal_01,col_exit,745,-8.76,1,0,1
70,goal_01,col_exit,743,-7.22,1,0,1
71,goal_01,col_exit,745,-6.11,1,0,1
72,goal_01,col_exit,744,-6.28,1,0,1
73,goal_01,col_exit,759,-7.34,1,0,1
74,goal_01,col_exit,758,-8.43,1,0,1
75,goal_01,col_exit,742,-7.48,1,0,1
76,goal_01,col_exit,744,-7.16,1,0,1
77,goal_01,col_exit,745,-6.25,1,0,1
78,goal_01,col_exit,753,-6.63,1,0,1
79,goal_01,col_exit,760,-7.85,1,0,1
80,goal_01,col_exit,750,-8.49,1,0,1
81,goal_01,col_exit,742,-6.97,1,0,1
82,goal_01,col_exit,745,-7.54,1,0,1
83,goal_01,col_exit,743,-5.31,1,0,1
84,goal_01,col_exit,758,-7.26,1,0,1
85,goal_01,col_exit,759,-8.71,1,0,1
86,goal_01,col_exit,743,-9.17,1,0,1
87,goal_01,col_exit,744,-7.42,1,0,1
88,goal_01,col_exit,744,-7.61,1,0,1
89,goal_01,col_exit,752,-6.03,1,0,1
90,goal_01,col_exit,760,-8.08,1,0,1
91,goal_01,col_exit,749,-9.12,1,0,1
92,goal_01,col_exit,742,-7.02,1,0,1
93,goal_01,col_exit,745,-7.44,1,0,1
94,goal_01,col_exit,743,-6.46,1,0,1
95,goal_01,col_exit,757,-6.2,1,0,1
96,goal_01,col_exit,758,-8.53,1,0,1
97,goal_01,col_exit,743,-9.35,1,0,1
98,goal_01,col_exit,744,-6.82,1,0,1
99,goal_01,col_exit,744,-6.96,1,0,1
100,goal_01,col_exit,754,-6.94,1,0,1
101,goal_02,exito,2856,610.98,1,1,2
102,goal_02,col_exit,865,10.2,1,0,0
103,goal_02,col_exit,835,-8.83,1,0,2
104,goal_02,exito,2837,616.08,1,1,1
105,goal_02,col_exit,835,7.34,1,0,0
106,goal_02,col_exit,815,1.06,1,0,2
107,goal_02,exito,2835,616.43,1,1,1
108,goal_02,col_exit,845,8.59,1,0,0
109,goal_02,col_exit,813,-1.13,1,0,1
110,goal_02,exito,2840,619.49,1,1,1
111,goal_02,col_exit,844,8.47,1,0,0
112,goal_02,col_exit,817,-0.42,1,0,2
113,goal_02,exito,2837,616.75,1,1,1
114,goal_02,col_exit,829,7.85,1,0,0
115,goal_02,col_exit,812,-1.36,1,0,1
116,goal_02,exito,2840,620.02,1,1,1
117,goal_02,col_exit,850,10.47,1,0,0
118,goal_02,col_exit,816,-4.8,1,0,1
119,goal_02,exito,2840,619.83,1,1,1
120,goal_02,col_exit,846,9.26,1,0,0
121,goal_02,col_exit,823,-7.02,1,0,2
122,goal_02,exito,2835,616.3,1,1,1
123,goal_02,col_exit,844,8.32,1,0,0
124,goal_02,col_exit,811,-0.82,1,0,1
125,goal_02,exito,2842,619.58,1,1,1
126,goal_02,col_exit,848,6.98,1,0,1
127,goal_02,col_exit,813,-0.43,1,0,2
128,goal_02,exito,2835,616.48,1,1,1
129,goal_02,col_exit,849,7.02,1,0,1
130,goal_02,col_exit,818,-3.77,1,0,2
131,goal_02,exito,2835,616.01,1,1,1
132,goal_02,col_exit,836,7.9,1,0,0
133,goal_02,col_exit,825,-3.13,1,0,2
134,goal_02,exito,2837,616.44,1,1,1
135,goal_02,col_exit,835,7.76,1,0,0
136,goal_02,col_exit,842,-11.67,1,0,2
137,goal_02,exito,2837,610.52,1,1,0
138,goal_02,col_exit,832,5.21,1,0,1
139,goal_02,col_exit,825,-3.23,1,0,2
140,goal_02,exito,2836,610.51,1,1,0
141,goal_02,col_exit,834,6.03,1,0,1
142,goal_02,col_exit,814,-0.81,1,0,2
143,goal_02,exito,2835,615.97,1,1,1
144,goal_02,col_exit,840,7.91,1,0,0
145,goal_02,col_exit,815,-1.34,1,0,2
146,goal_02,exito,2835,616.58,1,1,1
147,goal_02,col_exit,832,8.32,1,0,0
148,goal_02,col_exit,812,-1.37,1,0,1
149,goal_02,exito,2840,620.01,1,1,1
150,goal_02,col_exit,850,10.47,1,0,0
151,goal_02,col_exit,816,-4.8,1,0,1
152,goal_02,exito,2840,619.83,1,1,1
153,goal_02,col_exit,846,9.27,1,0,0
154,goal_02,col_exit,823,-7.01,1,0,2
155,goal_02,exito,2835,616.3,1,1,1
156,goal_02,col_exit,844,8.31,1,0,0
157,goal_02,col_exit,811,-0.81,1,0,1
158,goal_02,exito,2842,619.55,1,1,1
159,goal_02,col_exit,848,6.97,1,0,1
160,goal_02,col_exit,813,-0.41,1,0,2
161,goal_02,exito,2835,616.49,1,1,1
162,goal_02,col_exit,849,7.01,1,0,1
163,goal_02,col_exit,818,-3.77,1,0,2
164,goal_02,exito,2835,616.01,1,1,1
165,goal_02,col_exit,836,7.91,1,0,0
166,goal_02,col_exit,825,-3.11,1,0,2
167,goal_02,exito,2837,616.45,1,1,1
168,goal_02,col_exit,835,7.77,1,0,0
169,goal_02,col_exit,842,-11.65,1,0,2
170,goal_02,exito,2837,610.53,1,1,0
171,goal_02,col_exit,832,5.21,1,0,1
172,goal_02,col_exit,825,-3.22,1,0,2
173,goal_02,exito,2836,610.54,1,1,0
174,goal_02,col_exit,834,6.02,1,0,1
175,goal_02,col_exit,814,-0.83,1,0,2
176,goal_02,exito,2835,615.95,1,1,1
177,goal_02,col_exit,840,7.92,1,0,0
178,goal_02,col_exit,815,-1.33,1,0,2
179,goal_02,exito,2837,616.86,1,1,1
180,goal_02,col_exit,830,8.0,1,0,0
181,goal_02,col_exit,812,-1.36,1,0,1
182,goal_02,exito,2840,620.01,1,1,1
183,goal_02,col_exit,850,10.46,1,0,0
184,goal_02,col_exit,816,-4.8,1,0,1
185,goal_02,exito,2840,619.85,1,1,1
186,goal_02,col_exit,846,9.26,1,0,0
187,goal_02,col_exit,823,-7.02,1,0,2
188,goal_02,exito,2835,616.3,1,1,1
189,goal_02,col_exit,844,8.32,1,0,0
190,goal_02,col_exit,811,-0.82,1,0,1
191,goal_02,exito,2841,619.35,1,1,1
192,goal_02,col_exit,849,7.03,1,0,1
193,goal_02,col_exit,813,-0.39,1,0,2
194,goal_02,exito,2835,616.46,1,1,1
195,goal_02,col_exit,849,7.02,1,0,1
196,goal_02,col_exit,818,-3.76,1,0,2
