episodio,goal_id,resultado,pasos,reward
1,goal_01,col_exit,843,-15.24
2,goal_01,col_return,2194,245.76
3,goal_01,col_exit,842,-16.17
4,goal_01,col_return,2148,249.64
5,goal_01,col_exit,832,-15.63
6,goal_01,col_return,2179,250.3
7,goal_01,col_exit,858,-17.86
8,goal_01,col_return,2124,253.28
9,goal_01,col_exit,844,-16.42
10,goal_01,col_return,2167,248.88
11,goal_01,col_exit,819,-15.84
12,goal_01,col_return,2164,250.1
13,goal_01,col_exit,835,-16.25
14,goal_01,col_return,2172,246.97
15,goal_01,col_exit,859,-17.46
16,goal_01,col_return,2150,250.11
17,goal_01,col_exit,819,-16.11
18,goal_01,col_return,2169,250.92
19,goal_01,col_exit,835,-16.59
20,goal_01,col_return,2165,251.54
21,goal_01,col_exit,857,-16.86
22,goal_01,col_return,2138,250.45
23,goal_01,col_exit,816,-15.47
24,goal_01,col_return,2192,244.94
25,goal_01,col_exit,838,-17.12
26,goal_01,col_return,2143,252.7
27,goal_01,col_exit,839,-16.15
28,goal_01,col_return,2175,242.76
29,goal_01,col_exit,817,-16.12
30,goal_01,col_return,2166,250.73
31,goal_01,col_exit,839,-16.5
32,goal_01,col_return,2167,247.56
33,goal_01,col_exit,840,-16.27
34,goal_01,col_return,2147,249.19
35,goal_01,col_exit,831,-15.0
36,goal_01,col_return,2181,250.53
37,goal_01,col_exit,856,-17.98
38,goal_01,col_return,2123,252.05
39,goal_01,col_exit,842,-16.14
40,goal_01,col_return,2171,247.09
41,goal_01,col_exit,828,-16.29
42,goal_01,col_return,2180,250.5
43,goal_01,col_exit,856,-17.66
44,goal_01,col_return,2127,253.01
45,goal_01,col_exit,847,-16.47
46,goal_01,col_return,2165,249.06
47,goal_01,col_exit,814,-16.09
48,goal_01,col_return,2170,250.38
49,goal_01,col_exit,834,-16.46
50,goal_01,col_return,2172,246.89
51,goal_01,col_exit,857,-16.43
52,goal_01,col_return,2132,249.99
53,goal_01,col_exit,815,-15.0
54,goal_01,col_return,2194,244.35
55,goal_01,col_exit,837,-16.99
56,goal_01,col_return,2143,251.95
57,goal_01,col_exit,838,-15.76
58,goal_01,col_return,2176,243.6
59,goal_01,col_exit,819,-15.59
60,goal_01,col_return,2184,250.61
61,goal_01,col_exit,839,-17.19
62,goal_01,col_return,2148,252.14
63,goal_01,col_exit,840,-16.38
64,goal_01,col_return,2171,244.05
65,goal_01,col_exit,818,-16.07
66,goal_01,col_return,2169,251.35
67,goal_01,col_exit,840,-16.65
68,goal_01,col_return,2162,251.3
69,goal_01,col_exit,842,-16.45
70,goal_01,col_return,2148,249.68
71,goal_01,col_exit,832,-15.64
72,goal_01,col_return,2179,250.42
73,goal_01,col_exit,857,-17.94
74,goal_01,col_return,2123,252.68
75,goal_01,col_exit,845,-16.35
76,goal_01,col_return,2168,248.14
77,goal_01,col_exit,819,-15.96
78,goal_01,col_return,2164,249.9
79,goal_01,col_exit,837,-16.1
80,goal_01,col_return,2170,247.48
81,goal_01,col_exit,859,-16.84
82,goal_01,col_return,2150,249.75
83,goal_01,col_exit,818,-16.07
84,goal_01,col_return,2170,250.97
85,goal_01,col_exit,836,-16.75
86,goal_01,col_return,2164,251.8
87,goal_01,col_exit,855,-16.81
88,goal_01,col_return,2140,250.27
89,goal_01,col_exit,816,-15.47
90,goal_01,col_return,2192,244.99
91,goal_01,col_exit,838,-17.11
92,goal_01,col_return,2143,252.33
93,goal_01,col_exit,842,-15.54
94,goal_01,col_return,2171,243.85
95,goal_01,col_exit,817,-16.05
96,goal_01,col_return,2167,250.78
97,goal_01,col_exit,839,-16.39
98,goal_01,col_return,2167,247.3
99,goal_01,col_exit,841,-16.37
100,goal_01,col_return,2146,249.21
101,goal_02,col_return,2252,250.11
102,goal_02,col_return,2251,251.29
103,goal_02,col_return,2252,251.92
104,goal_02,col_return,2251,251.52
105,goal_02,col_return,2252,252.38
106,goal_02,col_return,2251,252.02
107,goal_02,col_return,2251,252.82
108,goal_02,col_return,2251,252.17
109,goal_02,col_return,2249,252.64
110,goal_02,col_return,2249,252.07
111,goal_02,col_return,2230,256.69
112,goal_02,col_return,2251,249.96
113,goal_02,col_return,2196,250.01
114,goal_02,col_exit,890,-6.75
115,goal_02,col_return,2203,261.96
116,goal_02,col_return,2224,262.47
117,goal_02,col_return,2250,260.93
118,goal_02,col_return,2247,260.71
119,goal_02,col_return,2231,260.96
120,goal_02,col_return,2253,258.74
121,goal_02,col_return,2250,259.55
122,goal_02,col_return,2253,259.79
123,goal_02,col_return,2250,260.03
124,goal_02,col_return,2253,260.12
125,goal_02,col_return,2250,260.55
126,goal_02,col_return,2252,260.69
127,goal_02,col_return,2250,260.23
128,goal_02,col_return,2250,260.82
129,goal_02,col_return,2247,260.98
130,goal_02,col_return,2231,260.85
131,goal_02,col_return,2253,258.79
132,goal_02,col_return,2250,259.21
133,goal_02,col_return,2253,259.41
134,goal_02,col_return,2250,260.08
135,goal_02,col_return,2253,260.3
136,goal_02,col_return,2250,260.55
137,goal_02,col_return,2252,260.65
