episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1883,465.59
2,goal_01,col_exit,920,-1.07
3,goal_01,exito,1882,467.27
4,goal_01,exito,1878,404.7
5,goal_01,col_return,1437,151.29
6,goal_01,col_exit,945,6.99
7,goal_01,col_exit,1020,24.44
8,goal_01,col_return,1403,148.28
9,goal_01,col_exit,919,12.24
10,goal_01,col_exit,1043,23.16
11,goal_01,col_return,1416,148.89
12,goal_01,col_exit,922,12.36
13,goal_01,col_exit,1011,27.43
14,goal_01,col_return,1436,151.89
15,goal_01,col_return,1386,131.96
16,goal_01,col_return,1416,150.38
17,goal_01,col_exit,928,11.17
18,goal_01,col_exit,1004,28.74
19,goal_01,col_return,1425,155.01
20,goal_01,col_return,1403,136.8
21,goal_01,col_return,1430,149.71
22,goal_01,col_exit,902,14.75
23,goal_01,col_exit,1053,26.08
24,goal_01,col_exit,1108,26.22
25,goal_01,col_return,1417,153.19
26,goal_01,col_exit,926,14.72
27,goal_01,col_exit,1047,24.28
28,goal_01,col_return,1416,149.55
29,goal_01,col_exit,910,13.67
30,goal_01,col_exit,1026,29.75
31,goal_01,col_return,1422,153.32
32,goal_01,col_return,1393,135.41
33,goal_01,col_return,1419,152.06
34,goal_01,col_exit,927,11.73
35,goal_01,col_exit,1042,24.52
36,goal_01,col_return,1416,149.62
37,goal_01,col_exit,920,12.91
38,goal_01,col_exit,1015,27.67
39,goal_01,col_return,1436,151.78
40,goal_01,col_return,1383,132.97
41,goal_01,col_return,1418,151.22
42,goal_01,col_exit,928,11.4
43,goal_01,col_exit,1010,28.93
44,goal_01,col_return,1421,154.39
45,goal_01,col_return,1402,135.67
46,goal_01,col_return,1434,150.25
47,goal_01,col_exit,899,14.88
48,goal_01,col_exit,1051,25.42
49,goal_01,col_return,1414,150.81
50,goal_01,col_exit,925,11.7
51,goal_01,col_exit,1008,28.19
52,goal_01,col_return,1425,154.37
53,goal_01,col_return,1390,137.12
54,goal_01,col_return,1424,153.55
55,goal_01,col_exit,923,15.15
56,goal_01,col_exit,1046,24.5
57,goal_01,col_return,1415,150.73
58,goal_01,col_exit,928,11.62
59,goal_01,col_exit,1006,28.49
60,goal_01,col_return,1426,153.97
61,goal_01,col_return,1392,135.72
62,goal_01,col_return,1418,153.23
63,goal_01,col_exit,927,14.44
64,goal_01,col_exit,1046,23.57
65,goal_01,col_return,1416,149.87
66,goal_01,col_exit,923,11.29
67,goal_01,col_exit,1014,28.44
68,goal_01,col_return,1432,151.99
69,goal_01,col_exit,941,10.09
70,goal_01,col_exit,1020,25.27
71,goal_01,col_return,1425,147.3
72,goal_01,col_exit,919,10.31
73,goal_01,col_exit,1028,24.99
74,goal_01,col_return,1413,149.52
75,goal_01,col_exit,908,14.15
76,goal_01,col_exit,1028,29.45
77,goal_01,col_return,1423,153.15
78,goal_01,col_return,1390,134.3
79,goal_01,col_return,1420,152.57
80,goal_01,col_exit,926,12.08
81,goal_01,col_exit,1045,24.48
82,goal_01,col_return,1416,149.74
83,goal_01,col_exit,922,11.19
84,goal_01,col_exit,1010,28.13
85,goal_01,col_return,1436,152.12
86,goal_01,col_exit,943,9.21
87,goal_01,col_exit,1019,24.88
88,goal_01,col_return,1417,148.96
89,goal_01,col_exit,902,13.94
90,goal_01,col_exit,1050,24.68
91,goal_01,col_return,1416,149.52
92,goal_01,col_exit,910,13.67
93,goal_01,col_exit,1026,29.75
94,goal_01,col_return,1422,153.32
95,goal_01,col_return,1393,135.39
96,goal_01,col_return,1419,152.06
97,goal_01,col_exit,927,11.72
98,goal_01,col_exit,1042,24.52
99,goal_01,col_return,1416,149.63
100,goal_01,col_exit,922,12.36
101,goal_02,exito,2181,460.52
102,goal_02,col_return,1650,154.59
103,goal_02,col_exit,1223,44.6
104,goal_02,exito,2168,456.87
105,goal_02,col_return,1668,163.67
106,goal_02,col_exit,1224,44.46
107,goal_02,exito,2167,457.1
108,goal_02,col_return,1669,165.15
109,goal_02,col_exit,1222,44.19
110,goal_02,exito,2169,456.62
111,goal_02,col_return,1665,164.81
112,goal_02,col_exit,1222,44.38
113,goal_02,exito,2169,453.86
114,goal_02,col_return,1667,164.8
115,goal_02,col_exit,1227,44.6
116,goal_02,exito,2168,456.12
117,goal_02,col_return,1665,165.52
118,goal_02,col_exit,1228,44.52
119,goal_02,exito,2167,456.2
120,goal_02,col_return,1663,166.83
121,goal_02,col_exit,1226,44.44
122,goal_02,exito,2167,455.23
123,goal_02,col_return,1664,167.31
124,goal_02,col_exit,1226,44.4
125,goal_02,exito,2154,449.37
126,goal_02,col_return,1678,167.87
127,goal_02,col_exit,1211,47.56
128,goal_02,col_exit,1199,36.43
129,goal_02,col_exit,1142,34.56
130,goal_02,col_exit,1120,34.17
131,goal_02,exito,2152,480.37
132,goal_02,col_exit,1198,38.71
133,goal_02,col_exit,1143,36.54
134,goal_02,exito,2151,477.58
135,goal_02,col_return,1646,145.38
136,goal_02,col_return,1657,165.67
137,goal_02,col_exit,1226,44.44
138,goal_02,exito,2167,455.25
139,goal_02,col_return,1664,167.3
140,goal_02,col_exit,1226,44.4
141,goal_02,exito,2154,449.39
142,goal_02,col_return,1678,167.86
143,goal_02,col_exit,1211,47.56
144,goal_02,col_exit,1199,36.49
145,goal_02,col_exit,1142,34.56
146,goal_02,col_exit,1120,34.17
147,goal_02,exito,2152,480.31
148,goal_02,col_exit,1198,38.7
149,goal_02,col_exit,1143,36.54
150,goal_02,exito,2151,477.58
151,goal_02,col_return,1646,145.39
152,goal_02,col_return,1657,165.69
153,goal_02,col_exit,1226,44.44
154,goal_02,exito,2167,455.25
155,goal_02,col_return,1664,167.28
156,goal_02,col_exit,1226,44.4
157,goal_02,exito,2154,449.33
158,goal_02,col_return,1678,167.85
159,goal_02,col_exit,1211,47.56
160,goal_02,col_exit,1199,36.42
161,goal_02,col_exit,1142,34.56
162,goal_02,col_exit,1120,34.17
163,goal_02,exito,2152,480.3
164,goal_02,col_exit,1198,38.71
165,goal_02,col_exit,1143,36.54
166,goal_02,exito,2151,477.59
167,goal_02,col_return,1646,145.39
168,goal_02,col_return,1657,165.76
169,goal_02,col_exit,1226,44.44
170,goal_02,exito,2167,455.25
171,goal_02,col_return,1664,167.29
172,goal_02,col_exit,1226,44.4
173,goal_02,exito,2154,449.32
174,goal_02,col_return,1678,167.86
175,goal_02,col_exit,1211,47.56
176,goal_02,col_exit,1199,36.42
177,goal_02,col_exit,1142,34.56
178,goal_02,col_exit,1120,34.17
179,goal_02,exito,2152,480.38
180,goal_02,col_exit,1198,38.71
181,goal_02,col_exit,1143,36.54
182,goal_02,exito,2151,477.6
183,goal_02,col_return,1646,145.39
184,goal_02,col_return,1657,165.69
185,goal_02,col_exit,1226,44.44
186,goal_02,exito,2167,455.25
187,goal_02,col_return,1664,167.28
188,goal_02,col_exit,1226,44.4
189,goal_02,exito,2154,449.36
190,goal_02,col_return,1678,167.87
191,goal_02,col_exit,1211,47.55
192,goal_02,col_exit,1199,36.49
193,goal_02,col_exit,1142,34.55
194,goal_02,col_exit,1120,34.17
195,goal_02,exito,2152,480.31
196,goal_02,col_exit,1198,38.71
197,goal_02,col_exit,1143,36.55
198,goal_02,exito,2149,478.04
199,goal_02,col_return,1648,145.43
200,goal_02,col_return,1657,165.67
201,goal_03,col_return,1938,224.54
202,goal_03,col_exit,1495,84.16
203,goal_03,col_return,1915,225.4
204,goal_03,col_return,1786,201.5
205,goal_03,col_return,1873,181.41
206,goal_03,col_return,1950,226.5
207,goal_03,col_exit,1480,81.88
208,goal_03,col_return,1910,224.38
209,goal_03,col_return,1790,201.05
210,goal_03,col_return,1867,185.51
211,goal_03,col_return,1948,225.98
212,goal_03,col_exit,1485,81.5
213,goal_03,col_return,1913,223.31
214,goal_03,col_return,1790,202.49
215,goal_03,col_return,1883,182.38
216,goal_03,col_return,1938,221.67
217,goal_03,col_return,1810,200.36
218,goal_03,col_return,1868,181.71
219,goal_03,col_return,1938,231.9
220,goal_03,col_exit,1484,80.51
221,goal_03,col_return,1909,222.62
