episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,2790,619.12
2,goal_01,exito,2787,621.16
3,goal_01,colision_return,1999,260.69
4,goal_01,colision_exit,749,0.83
5,goal_01,colision_exit,751,2.7
6,goal_01,colision_exit,742,0.77
7,goal_01,colision_exit,757,2.55
8,goal_01,colision_exit,732,-0.99
9,goal_01,colision_exit,759,3.0
10,goal_01,colision_exit,756,2.23
11,goal_01,colision_exit,741,0.65
12,goal_01,colision_exit,753,2.23
13,goal_01,colision_exit,755,2.26
14,goal_01,colision_exit,735,-0.54
15,goal_01,colision_exit,758,2.41
16,goal_01,colision_exit,751,2.71
17,goal_01,colision_exit,742,0.76
18,goal_01,colision_exit,757,2.54
19,goal_01,colision_exit,732,-0.99
20,goal_01,colision_exit,759,3.0
21,goal_01,colision_exit,756,2.24
22,goal_01,colision_exit,741,0.65
23,goal_01,colision_exit,753,2.23
24,goal_01,colision_exit,755,2.26
25,goal_01,colision_exit,735,-0.54
26,goal_01,colision_exit,758,2.41
27,goal_01,colision_exit,751,2.71
28,goal_01,colision_exit,742,0.77
29,goal_01,colision_exit,757,2.54
30,goal_01,colision_exit,732,-0.99
31,goal_01,colision_exit,759,3.0
32,goal_01,colision_exit,756,2.24
33,goal_01,colision_exit,741,0.65
34,goal_01,colision_exit,753,2.23
35,goal_01,colision_exit,755,2.26
36,goal_01,colision_exit,735,-0.54
37,goal_01,colision_exit,758,2.4
38,goal_01,colision_exit,751,2.71
39,goal_01,colision_exit,742,0.77
40,goal_01,colision_exit,757,2.52
41,goal_01,colision_exit,732,-0.99
42,goal_01,colision_exit,759,3.0
43,goal_01,colision_exit,756,2.23
44,goal_01,colision_exit,741,0.65
45,goal_01,colision_exit,753,2.23
46,goal_01,colision_exit,755,2.26
47,goal_01,colision_exit,735,-0.54
48,goal_01,colision_exit,758,2.41
49,goal_01,colision_exit,751,2.71
50,goal_01,colision_exit,742,0.77
51,goal_01,colision_exit,757,2.52
52,goal_01,colision_exit,732,-0.99
53,goal_01,colision_exit,759,3.0
54,goal_01,colision_exit,756,2.23
55,goal_01,colision_exit,741,0.65
56,goal_01,colision_exit,753,2.23
57,goal_01,colision_exit,755,2.26
58,goal_01,colision_exit,735,-0.54
59,goal_01,colision_exit,758,2.41
60,goal_01,colision_exit,751,2.71
61,goal_01,colision_exit,742,0.77
62,goal_01,colision_exit,757,2.55
63,goal_01,colision_exit,732,-0.99
64,goal_01,colision_exit,759,3.0
65,goal_01,colision_exit,756,2.24
66,goal_01,colision_exit,741,0.65
67,goal_01,colision_exit,753,2.23
68,goal_01,colision_exit,755,2.26
69,goal_01,colision_exit,735,-0.54
70,goal_01,colision_exit,758,2.41
71,goal_01,colision_exit,751,2.71
72,goal_01,colision_exit,742,0.77
73,goal_01,colision_exit,757,2.55
74,goal_01,colision_exit,732,-0.99
75,goal_01,colision_exit,759,3.0
76,goal_01,colision_exit,756,2.23
77,goal_01,colision_exit,741,0.66
78,goal_01,colision_exit,753,2.23
79,goal_01,colision_exit,755,2.26
80,goal_01,colision_exit,735,-0.54
81,goal_01,colision_exit,758,2.41
82,goal_01,colision_exit,751,2.71
83,goal_01,colision_exit,742,0.77
84,goal_01,colision_exit,757,2.54
85,goal_01,colision_exit,732,-0.99
86,goal_01,colision_exit,759,3.0
87,goal_01,colision_exit,756,2.24
88,goal_01,colision_exit,741,0.65
89,goal_01,colision_exit,753,2.23
90,goal_01,colision_exit,755,2.26
91,goal_01,colision_exit,735,-0.54
92,goal_01,colision_exit,758,2.41
93,goal_01,colision_exit,751,2.71
94,goal_01,colision_exit,742,0.76
95,goal_01,colision_exit,757,2.52
96,goal_01,colision_exit,732,-0.99
97,goal_01,colision_exit,759,3.0
98,goal_01,colision_exit,756,2.24
99,goal_01,colision_exit,741,0.65
100,goal_01,colision_exit,753,2.23
101,goal_02,colision_return,2097,262.01
102,goal_02,colision_exit,885,18.43
103,goal_02,colision_exit,824,7.53
104,goal_02,exito,2875,627.91
105,goal_02,colision_exit,817,7.56
106,goal_02,colision_return,2085,263.43
107,goal_02,exito,2868,629.58
108,goal_02,colision_exit,823,8.15
109,goal_02,colision_exit,818,7.84
110,goal_02,exito,2868,629.4
111,goal_02,colision_exit,818,7.5
112,goal_02,exito,2869,628.22
113,goal_02,colision_exit,853,13.0
114,goal_02,colision_exit,805,6.25
115,goal_02,exito,2868,629.41
116,goal_02,colision_exit,830,10.92
117,goal_02,colision_exit,806,6.07
118,goal_02,exito,2874,627.54
119,goal_02,colision_exit,827,10.35
120,goal_02,colision_exit,805,5.68
121,goal_02,exito,2875,627.22
122,goal_02,colision_exit,825,9.97
123,goal_02,exito,2891,621.04
124,goal_02,colision_exit,843,13.34
125,goal_02,colision_exit,806,5.59
126,goal_02,exito,2876,626.6
127,goal_02,colision_exit,826,10.18
128,goal_02,exito,2894,620.6
129,goal_02,colision_exit,843,13.35
130,goal_02,colision_exit,806,5.59
131,goal_02,exito,2876,626.51
132,goal_02,colision_exit,826,10.16
133,goal_02,exito,2893,620.3
134,goal_02,colision_exit,844,13.53
135,goal_02,colision_exit,806,5.59
136,goal_02,exito,2876,626.51
137,goal_02,colision_exit,826,10.16
138,goal_02,exito,2893,620.27
139,goal_02,colision_exit,844,13.53
140,goal_02,colision_exit,806,5.61
141,goal_02,exito,2876,626.62
142,goal_02,colision_exit,826,10.16
143,goal_02,exito,2893,620.25
144,goal_02,colision_exit,844,13.53
145,goal_02,colision_exit,806,5.64
146,goal_02,exito,2876,626.51
147,goal_02,colision_exit,826,10.16
148,goal_02,exito,2893,620.3
149,goal_02,colision_exit,844,13.53
150,goal_02,colision_exit,806,5.64
151,goal_02,exito,2876,626.57
152,goal_02,colision_exit,826,10.16
153,goal_02,exito,2893,620.27
154,goal_02,colision_exit,844,13.53
155,goal_02,colision_exit,806,5.59
156,goal_02,exito,2876,626.6
157,goal_02,colision_exit,826,10.18
158,goal_02,exito,2894,620.6
159,goal_02,colision_exit,843,13.35
160,goal_02,colision_exit,806,5.59
161,goal_02,exito,2876,626.58
162,goal_02,colision_exit,826,10.16
163,goal_02,exito,2893,620.3
164,goal_02,colision_exit,844,13.53
165,goal_02,colision_exit,806,5.59
166,goal_02,exito,2876,626.51
167,goal_02,colision_exit,826,10.16
168,goal_02,exito,2893,620.27
169,goal_02,colision_exit,844,13.53
170,goal_02,colision_exit,806,5.64
171,goal_02,exito,2876,626.62
172,goal_02,colision_exit,826,10.16
173,goal_02,exito,2893,620.25
174,goal_02,colision_exit,844,13.53
175,goal_02,colision_exit,806,5.64
176,goal_02,exito,2876,626.51
177,goal_02,colision_exit,826,10.16
178,goal_02,exito,2893,620.3
179,goal_02,colision_exit,844,13.53
180,goal_02,colision_exit,806,5.64
181,goal_02,exito,2876,626.51
182,goal_02,colision_exit,826,10.16
183,goal_02,exito,2893,620.28
184,goal_02,colision_exit,844,13.53
185,goal_02,colision_exit,806,5.59
186,goal_02,exito,2876,626.51
187,goal_02,colision_exit,826,10.18
188,goal_02,exito,2893,620.25
189,goal_02,colision_exit,844,13.53
190,goal_02,colision_exit,806,5.59
191,goal_02,exito,2876,626.61
192,goal_02,colision_exit,826,10.16
193,goal_02,exito,2893,620.27
194,goal_02,colision_exit,844,13.53
195,goal_02,colision_exit,806,5.64
196,goal_02,exito,2876,626.51
197,goal_02,colision_exit,826,10.16
198,goal_02,exito,2893,620.25
199,goal_02,colision_exit,844,13.53
200,goal_02,colision_exit,806,5.64
201,goal_03,colision_exit,948,29.26
202,goal_03,colision_return,2200,288.62
203,goal_03,colision_return,2247,289.65
204,goal_03,colision_return,2247,288.5
205,goal_03,colision_return,2231,291.31
206,goal_03,exito,2973,644.85
207,goal_03,colision_exit,915,22.04
208,goal_03,exito,2997,637.19
209,goal_03,exito,2976,645.62
210,goal_03,colision_return,2185,285.2
211,goal_03,colision_return,2218,291.29
212,goal_03,colision_return,2229,291.17
213,goal_03,exito,2973,645.01
214,goal_03,colision_exit,915,22.09
215,goal_03,exito,2996,637.28
216,goal_03,exito,2976,645.59
217,goal_03,colision_return,2185,285.17
218,goal_03,colision_return,2219,291.5
219,goal_03,colision_return,2229,291.17
220,goal_03,exito,2973,644.85
221,goal_03,colision_exit,915,22.09
222,goal_03,exito,2997,637.2
223,goal_03,exito,2976,645.61
224,goal_03,colision_return,2185,285.19
225,goal_03,colision_return,2218,291.34
226,goal_03,colision_return,2229,291.17
227,goal_03,exito,2973,644.87
228,goal_03,colision_exit,915,22.09
229,goal_03,exito,2997,637.2
230,goal_03,exito,2975,645.58
231,goal_03,colision_return,2185,285.17
232,goal_03,colision_return,2219,291.5
233,goal_03,colision_return,2229,291.17
234,goal_03,exito,2973,644.85
235,goal_03,colision_exit,915,22.09
236,goal_03,exito,2996,637.28
237,goal_03,exito,2976,645.59
238,goal_03,colision_return,2184,285.32
239,goal_03,colision_return,2220,291.62
240,goal_03,colision_return,2229,291.17
241,goal_03,exito,2973,644.85
242,goal_03,colision_exit,915,22.09
243,goal_03,exito,2997,637.2
244,goal_03,exito,2975,645.58
245,goal_03,colision_return,2185,285.16
246,goal_03,colision_return,2219,291.5
247,goal_03,colision_return,2229,291.17
248,goal_03,exito,2973,644.87
249,goal_03,colision_exit,915,22.1
250,goal_03,exito,2996,637.28
251,goal_03,exito,2976,645.59
252,goal_03,colision_return,2184,285.32
253,goal_03,colision_return,2220,291.62
254,goal_03,colision_return,2229,291.17
255,goal_03,exito,2973,644.85
256,goal_03,colision_exit,915,22.09
257,goal_03,exito,2997,637.19
258,goal_03,exito,2976,645.62
259,goal_03,colision_return,2185,285.19
260,goal_03,colision_return,2218,291.29
261,goal_03,colision_return,2229,291.17
262,goal_03,exito,2973,644.87
263,goal_03,colision_exit,915,22.09
264,goal_03,exito,2996,637.28
265,goal_03,exito,2976,645.59
266,goal_03,colision_return,2185,285.16
267,goal_03,colision_return,2219,291.5
268,goal_03,colision_return,2229,291.17
269,goal_03,exito,2973,644.85
270,goal_03,colision_exit,915,22.09
271,goal_03,exito,2996,637.27
272,goal_03,exito,2976,645.62
273,goal_03,colision_return,2184,285.32
274,goal_03,colision_return,2219,291.43
275,goal_03,colision_return,2230,291.11
276,goal_03,exito,2973,644.88
277,goal_03,colision_exit,915,22.09
278,goal_03,exito,2997,637.19
279,goal_03,exito,2975,645.58
280,goal_03,colision_return,2184,285.32
281,goal_03,colision_return,2219,291.43
282,goal_03,colision_return,2230,291.33
283,goal_03,exito,2973,644.87
284,goal_03,colision_exit,915,22.09
285,goal_03,exito,2997,637.18
286,goal_03,exito,2975,645.58
287,goal_03,colision_return,2184,285.32
288,goal_03,colision_return,2220,291.62
289,goal_03,colision_return,2229,291.17
290,goal_03,exito,2973,644.85
291,goal_03,colision_exit,915,22.09
292,goal_03,exito,2997,637.2
293,goal_03,exito,2975,645.58
294,goal_03,colision_return,2184,285.32
295,goal_03,colision_return,2219,291.43
296,goal_03,colision_return,2230,291.33
297,goal_03,exito,2973,645.01
298,goal_03,colision_exit,915,22.09
299,goal_03,exito,2997,637.19
300,goal_03,exito,2975,645.58
301,goal_04,colision_exit,1106,49.03
302,goal_04,colision_return,2373,319.81
303,goal_04,colision_exit,1067,39.5
304,goal_04,colision_exit,1065,41.98
305,goal_04,colision_return,2365,318.25
306,goal_04,colision_exit,1067,40.2
307,goal_04,colision_exit,1068,40.46
308,goal_04,colision_return,2344,318.7
309,goal_04,colision_exit,1066,41.9
310,goal_04,colision_exit,1070,44.65
311,goal_04,exito,3090,671.16
312,goal_04,colision_exit,1082,46.79
313,goal_04,colision_exit,1082,46.81
314,goal_04,exito,3090,671.15
315,goal_04,colision_exit,1066,43.71
316,goal_04,colision_exit,1086,47.72
317,goal_04,colision_return,2368,318.68
318,goal_04,colision_exit,1062,42.65
319,goal_04,colision_exit,1076,45.81
320,goal_04,colision_return,2364,317.93
321,goal_04,colision_exit,1061,42.95
322,goal_04,colision_exit,1075,45.63
323,goal_04,colision_return,2365,318.1
324,goal_04,colision_exit,1067,39.49
325,goal_04,colision_exit,1065,41.97
326,goal_04,colision_return,2365,318.25
327,goal_04,colision_exit,1067,40.2
328,goal_04,colision_exit,1068,40.46
329,goal_04,colision_return,2344,318.7
330,goal_04,colision_exit,1066,41.9
331,goal_04,colision_exit,1070,44.65
332,goal_04,exito,3090,671.16
333,goal_04,colision_exit,1082,46.78
334,goal_04,colision_exit,1082,46.81
335,goal_04,exito,3090,671.15
336,goal_04,colision_exit,1066,43.71
337,goal_04,colision_exit,1086,47.72
338,goal_04,colision_return,2368,318.68
339,goal_04,colision_exit,1062,42.65
340,goal_04,colision_exit,1076,45.81
341,goal_04,colision_return,2364,317.93
342,goal_04,colision_exit,1061,42.95
343,goal_04,colision_exit,1075,45.62
344,goal_04,colision_return,2365,318.12
345,goal_04,colision_exit,1067,39.5
346,goal_04,colision_exit,1065,41.98
347,goal_04,colision_return,2365,318.25
348,goal_04,colision_exit,1067,40.19
349,goal_04,colision_exit,1068,40.46
350,goal_04,colision_return,2344,318.7
351,goal_04,colision_exit,1066,41.9
352,goal_04,colision_exit,1070,44.65
353,goal_04,exito,3090,671.16
354,goal_04,colision_exit,1082,46.77
