episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,251,75.08
2,goal_01,exito,251,75.07
3,goal_01,exito,251,75.07
4,goal_01,exito,251,75.07
5,goal_01,exito,251,75.07
6,goal_01,exito,251,75.08
7,goal_01,exito,251,75.07
8,goal_01,exito,251,75.07
9,goal_01,exito,251,75.07
10,goal_01,exito,251,75.07
11,goal_01,exito,251,75.07
12,goal_01,exito,251,75.07
13,goal_01,exito,251,75.07
14,goal_01,exito,251,75.07
15,goal_01,exito,251,75.07
16,goal_01,exito,251,75.07
17,goal_01,exito,251,75.07
18,goal_01,exito,251,75.07
19,goal_01,exito,251,75.07
20,goal_01,exito,251,75.07
21,goal_01,exito,251,75.07
22,goal_01,exito,251,75.07
23,goal_01,exito,251,75.07
24,goal_01,exito,251,75.07
25,goal_01,exito,251,75.07
26,goal_01,exito,251,75.07
27,goal_01,exito,251,75.07
28,goal_01,exito,251,75.07
29,goal_01,exito,251,75.07
30,goal_01,exito,251,75.07
31,goal_01,exito,251,75.08
32,goal_01,exito,251,75.07
33,goal_01,exito,251,75.07
34,goal_01,exito,251,75.07
35,goal_01,exito,251,75.08
36,goal_01,exito,251,75.08
37,goal_01,exito,251,75.07
38,goal_01,exito,251,75.07
39,goal_01,exito,251,75.07
40,goal_01,exito,251,75.08
41,goal_01,exito,251,75.07
42,goal_01,exito,251,75.07
43,goal_01,exito,251,75.08
44,goal_01,exito,251,75.07
45,goal_01,exito,251,75.08
46,goal_01,exito,251,75.07
47,goal_01,exito,251,75.07
48,goal_01,exito,251,75.07
49,goal_01,exito,251,75.07
50,goal_01,exito,251,75.07
51,goal_01,exito,251,75.07
52,goal_01,exito,251,75.07
53,goal_01,exito,251,75.07
54,goal_01,exito,251,75.07
55,goal_01,exito,251,75.07
56,goal_01,exito,251,75.07
57,goal_01,exito,251,75.07
58,goal_01,exito,251,75.07
59,goal_01,exito,251,75.07
60,goal_01,exito,251,75.07
61,goal_01,exito,251,75.07
62,goal_01,exito,251,75.07
63,goal_01,exito,251,75.07
64,goal_01,exito,251,75.07
65,goal_01,exito,251,75.07
66,goal_01,exito,251,75.07
67,goal_01,exito,251,75.07
68,goal_01,exito,251,75.07
69,goal_01,exito,251,75.07
70,goal_01,exito,251,75.07
71,goal_01,exito,251,75.07
72,goal_01,exito,251,75.07
73,goal_01,exito,251,75.07
74,goal_01,exito,251,75.07
75,goal_01,exito,251,75.07
76,goal_01,exito,251,75.07
77,goal_01,exito,251,75.07
78,goal_01,exito,251,75.07
79,goal_01,exito,251,75.08
80,goal_01,exito,251,75.08
81,goal_01,exito,251,75.07
82,goal_01,exito,251,75.08
83,goal_01,exito,251,75.07
84,goal_01,exito,251,75.08
85,goal_01,exito,251,75.08
86,goal_01,exito,251,75.07
87,goal_01,exito,251,75.07
88,goal_01,exito,251,75.07
89,goal_01,exito,251,75.07
90,goal_01,exito,251,75.08
91,goal_01,exito,251,75.07
92,goal_01,exito,251,75.07
93,goal_01,exito,251,75.07
94,goal_01,exito,251,75.07
95,goal_01,exito,251,75.07
96,goal_01,exito,251,75.07
97,goal_01,exito,251,75.07
98,goal_01,exito,251,75.07
99,goal_01,exito,251,75.07
100,goal_01,exito,251,75.07
