episodio,resultado,pasos,reward
1,exito,1297,252.52
2,exito,1323,252.85
3,exito,1297,254.48
4,exito,1296,255.37
5,exito,1302,250.62
6,exito,1322,252.83
7,exito,1283,255.01
8,exito,1300,253.55
9,exito,1281,255.48
10,exito,1318,253.24
11,exito,1314,251.54
12,exito,1312,253.81
13,exito,1320,253.12
14,exito,1297,254.46
15,exito,1324,252.96
16,exito,1319,253.04
17,exito,1317,253.6
18,exito,1310,254.01
19,exito,1309,249.44
20,exito,1320,252.89
21,exito,1313,251.19
22,exito,1321,252.85
23,exito,1327,252.84
24,exito,1298,254.46
25,exito,1313,251.2
26,exito,1304,254.53
27,exito,1279,255.75
28,exito,1302,254.82
29,exito,1300,251.66
30,exito,1294,254.75
31,exito,1299,254.2
32,exito,1304,250.36
33,exito,1297,254.41
34,exito,1305,250.24
35,exito,1297,254.42
36,exito,1304,254.63
37,exito,1297,252.37
38,exito,1320,252.98
39,exito,1296,255.36
40,exito,1287,253.34
41,exito,1297,255.19
42,exito,1282,255.27
43,exito,1314,251.67
44,exito,1296,251.87
45,exito,1307,251.13
46,exito,1291,252.49
47,exito,1297,254.51
48,exito,1320,252.97
49,exito,1309,254.45
50,exito,1297,252.52
51,exito,1306,250.74
52,exito,1307,254.37
53,exito,1300,254.8
54,exito,1293,253.09
55,exito,1312,251.26
56,exito,1301,253.44
57,exito,1303,254.76
58,exito,1301,254.59
59,exito,1299,254.8
60,exito,1304,252.91
61,exito,1297,255.3
62,exito,1312,253.9
63,exito,1319,253.14
64,exito,1313,251.17
65,exito,1320,252.86
66,exito,1305,254.53
67,exito,1312,253.88
68,exito,1298,255.14
69,exito,1304,252.91
70,exito,1312,251.24
71,exito,1307,252.22
72,exito,1311,251.27
73,exito,1314,253.59
74,exito,1297,252.28
75,exito,1310,251.4
76,exito,1313,251.3
77,exito,1301,253.47
78,exito,1321,252.94
79,exito,1322,252.94
80,exito,1314,251.48
81,exito,1304,250.75
82,exito,1307,249.64
83,exito,1303,250.88
84,exito,1307,252.42
85,exito,1292,252.85
86,exito,1302,252.35
87,exito,1300,255.03
88,exito,1296,255.36
89,exito,1312,253.83
90,exito,1300,254.81
91,exito,1298,252.29
92,exito,1314,253.74
93,exito,1302,254.81
94,exito,1301,253.84
95,exito,1313,251.18
96,exito,1312,251.31
97,exito,1297,254.42
98,exito,1293,253.05
99,exito,1301,250.43
100,exito,1321,252.86
101,exito,1287,255.04
102,exito,1300,254.84
103,exito,1300,253.51
104,exito,1300,254.62
105,exito,1300,254.62
106,exito,1308,249.5
107,exito,1319,253.1
108,exito,1294,251.73
109,exito,1313,251.14
110,exito,1320,252.89
111,exito,1293,251.79
112,exito,1311,251.33
113,exito,1286,253.06
114,exito,1300,253.53
115,exito,1323,252.82
116,exito,1301,253.51
117,exito,1301,250.46
118,exito,1314,251.14
119,exito,1321,252.87
120,exito,1314,251.51
121,exito,1284,254.81
122,exito,1298,254.45
123,exito,1298,252.4
124,exito,1297,252.29
125,exito,1304,252.87
126,exito,1328,252.82
127,exito,1299,254.2
128,exito,1297,254.51
129,exito,1307,252.35
130,exito,1298,255.09
131,exito,1313,253.75
132,exito,1324,252.79
133,exito,1302,252.35
134,exito,1302,252.39
135,exito,1297,255.2
136,exito,1306,249.74
137,exito,1304,252.83
138,exito,1294,255.24
139,exito,1311,253.84
140,exito,1300,253.57
141,exito,1292,253.01
142,exito,1301,254.62
143,exito,1297,254.5
144,exito,1322,252.98
145,exito,1311,253.93
146,exito,1297,255.31
147,exito,1301,254.64
148,exito,1314,251.64
149,exito,1312,253.8
150,exito,1302,250.2
151,exito,1303,254.69
152,exito,1294,254.76
153,exito,1297,254.48
154,exito,1304,254.66
155,exito,1309,254.46
156,exito,1299,254.19
157,exito,1314,253.71
158,exito,1303,254.75
159,exito,1298,251.22
160,exito,1301,254.53
161,exito,1311,251.47
162,exito,1301,254.56
163,exito,1298,252.44
164,exito,1291,254.58
165,exito,1304,252.86
166,exito,1300,254.78
167,exito,1296,251.89
168,exito,1300,253.5
169,exito,1300,253.55
170,exito,1301,254.63
171,exito,1297,254.49
172,exito,1307,249.9
173,exito,1297,254.44
174,exito,1323,252.81
175,exito,1293,253.04
176,exito,1318,253.53
177,exito,1300,254.8
178,exito,1301,254.57
179,exito,1293,255.03
180,exito,1318,253.24
181,exito,1300,254.79
182,exito,1302,254.56
