episodio,goal_id,resultado,pasos,reward,heading_rad
1,goal_01,exito,255,73.03,-3.0813
2,goal_01,exito,254,72.87,-3.0745
3,goal_01,exito,255,72.81,-3.0949
4,goal_01,exito,254,72.87,-3.0741
5,goal_01,exito,255,72.81,-3.0944
6,goal_01,exito,255,72.81,-3.095
7,goal_01,exito,254,72.87,-3.0745
8,goal_01,exito,255,72.82,-3.0942
9,goal_01,exito,255,72.81,-3.0949
10,goal_01,exito,255,72.81,-3.0951
11,goal_01,exito,255,72.81,-3.0946
12,goal_01,exito,255,72.81,-3.0945
13,goal_01,exito,255,72.81,-3.0951
14,goal_01,exito,254,72.87,-3.0744
15,goal_01,exito,254,72.88,-3.0739
16,goal_01,exito,255,72.81,-3.095
17,goal_01,exito,254,72.86,-3.0753
18,goal_01,exito,255,72.81,-3.0948
19,goal_01,exito,254,72.87,-3.0742
20,goal_01,exito,254,72.87,-3.0749
21,goal_01,exito,256,73.02,-3.0934
22,goal_01,exito,254,72.87,-3.0743
23,goal_01,exito,255,72.81,-3.0942
24,goal_01,exito,255,72.81,-3.0945
25,goal_01,exito,254,72.88,-3.0741
26,goal_01,exito,255,72.81,-3.0947
27,goal_01,exito,254,72.86,-3.0752
28,goal_01,exito,254,72.87,-3.0751
29,goal_01,exito,255,72.81,-3.094
30,goal_01,exito,254,72.86,-3.075
31,goal_01,exito,255,72.81,-3.0946
32,goal_01,exito,255,72.81,-3.0946
33,goal_01,exito,254,72.87,-3.0744
34,goal_01,exito,255,72.81,-3.0943
35,goal_01,exito,255,72.8,-3.0953
36,goal_01,exito,255,72.81,-3.0945
37,goal_01,exito,255,72.81,-3.0947
38,goal_01,exito,255,72.81,-3.0948
39,goal_01,exito,255,72.81,-3.0946
40,goal_01,exito,254,72.87,-3.0744
41,goal_01,exito,256,73.01,-3.0936
42,goal_01,exito,254,72.87,-3.0744
43,goal_01,exito,254,72.87,-3.0745
44,goal_01,exito,254,72.88,-3.0738
45,goal_01,exito,255,72.81,-3.0945
46,goal_01,exito,254,72.87,-3.0746
47,goal_01,exito,255,72.8,-3.0953
48,goal_01,exito,254,72.87,-3.0743
49,goal_01,exito,254,72.88,-3.074
50,goal_01,exito,256,73.02,-3.0934
51,goal_01,exito,254,72.87,-3.0741
52,goal_01,exito,255,72.81,-3.0943
53,goal_01,exito,255,72.81,-3.0944
54,goal_01,exito,254,72.88,-3.074
55,goal_01,exito,255,72.81,-3.0948
56,goal_01,exito,254,72.86,-3.0752
57,goal_01,exito,254,72.87,-3.0753
58,goal_01,exito,255,72.81,-3.0946
59,goal_01,exito,254,72.86,-3.0751
60,goal_01,exito,255,72.81,-3.0944
61,goal_01,exito,255,72.81,-3.0946
62,goal_01,exito,256,72.6,-3.0628
63,goal_01,exito,255,72.8,-3.095
64,goal_01,exito,254,72.86,-3.0752
65,goal_01,exito,255,72.82,-3.0939
66,goal_01,exito,255,72.8,-3.0951
67,goal_01,exito,255,72.81,-3.0945
68,goal_01,exito,255,72.81,-3.0944
69,goal_01,exito,255,72.81,-3.0941
70,goal_01,exito,255,72.81,-3.095
71,goal_01,exito,254,72.88,-3.0741
72,goal_01,exito,255,72.81,-3.0947
73,goal_01,exito,255,72.8,-3.0953
74,goal_01,exito,254,72.88,-3.0744
75,goal_01,exito,255,72.81,-3.0949
76,goal_01,exito,254,72.86,-3.075
77,goal_01,exito,254,72.87,-3.0749
78,goal_01,exito,255,72.81,-3.0947
79,goal_01,exito,254,72.85,-3.0755
80,goal_01,exito,255,72.81,-3.0939
81,goal_01,exito,255,72.81,-3.0945
82,goal_01,exito,255,72.81,-3.0946
83,goal_01,exito,255,72.81,-3.0946
84,goal_01,exito,254,72.87,-3.0747
85,goal_01,exito,255,72.82,-3.0941
86,goal_01,exito,255,72.8,-3.0953
87,goal_01,exito,254,72.88,-3.0741
88,goal_01,exito,255,72.81,-3.0944
89,goal_01,exito,254,72.86,-3.0754
90,goal_01,exito,255,72.81,-3.0944
91,goal_01,exito,254,72.87,-3.0745
92,goal_01,exito,254,72.86,-3.0755
93,goal_01,exito,255,72.81,-3.094
94,goal_01,exito,255,72.8,-3.0948
95,goal_01,exito,255,72.81,-3.0945
96,goal_01,exito,255,72.81,-3.0944
97,goal_01,exito,254,72.87,-3.0744
98,goal_01,exito,255,72.82,-3.0943
99,goal_01,exito,254,72.87,-3.074
100,goal_01,exito,254,72.88,-3.0739
101,goal_02,exito,390,89.96,2.8884
102,goal_02,exito,389,90.3,3.1393
103,goal_02,exito,389,90.17,-3.1253
104,goal_02,exito,389,90.17,-3.1242
105,goal_02,exito,389,90.19,-3.1214
106,goal_02,exito,389,90.2,-3.121
107,goal_02,exito,389,90.15,-3.1269
108,goal_02,exito,389,90.18,-3.1219
109,goal_02,exito,389,90.22,-3.1195
110,goal_02,exito,389,90.16,-3.1267
111,goal_02,exito,389,90.18,-3.1226
112,goal_02,exito,389,90.19,-3.1211
113,goal_02,exito,389,90.18,-3.1233
114,goal_02,exito,389,90.18,-3.1251
115,goal_02,exito,389,90.21,-3.1186
116,goal_02,exito,389,90.17,-3.1245
117,goal_02,exito,389,90.18,-3.1235
118,goal_02,exito,389,90.19,-3.123
119,goal_02,exito,389,90.2,-3.1206
120,goal_02,exito,389,90.17,-3.1248
121,goal_02,exito,389,90.16,-3.1252
122,goal_02,exito,389,90.22,-3.1188
123,goal_02,exito,389,90.18,-3.1238
124,goal_02,exito,389,90.16,-3.1251
125,goal_02,exito,389,90.2,-3.1212
126,goal_02,exito,389,90.21,-3.1198
127,goal_02,exito,389,90.16,-3.128
128,goal_02,exito,389,90.19,-3.1215
129,goal_02,exito,389,90.18,-3.1219
