episodio,goal_id,resultado,pasos,reward
1,goal_01,col_approach,114,-170.41
2,goal_01,col_approach,109,-169.51
3,goal_01,col_approach,111,-169.89
4,goal_01,col_approach,110,-169.73
5,goal_01,col_approach,110,-169.7
6,goal_01,col_approach,111,-169.87
7,goal_01,col_approach,111,-169.88
8,goal_01,col_approach,111,-169.87
9,goal_01,col_approach,111,-169.9
10,goal_01,col_approach,110,-169.73
11,goal_01,col_approach,110,-169.7
12,goal_01,col_approach,111,-169.87
13,goal_01,col_approach,111,-169.88
14,goal_01,col_approach,111,-169.86
15,goal_01,col_approach,111,-169.9
16,goal_01,col_approach,110,-169.73
17,goal_01,col_approach,110,-169.71
18,goal_01,col_approach,111,-169.86
19,goal_01,col_approach,111,-169.91
20,goal_01,col_approach,110,-169.72
21,goal_01,col_approach,110,-169.72
22,goal_01,col_approach,110,-169.72
23,goal_01,col_approach,110,-169.72
24,goal_01,col_approach,110,-169.72
25,goal_01,col_approach,110,-169.73
26,goal_01,col_approach,108,-169.39
27,goal_01,col_approach,108,-169.38
28,goal_01,col_approach,108,-169.39
29,goal_01,col_approach,108,-169.39
30,goal_01,col_approach,108,-169.38
31,goal_01,col_approach,108,-169.38
32,goal_01,col_approach,108,-169.38
33,goal_01,col_approach,109,-169.49
34,goal_01,col_approach,111,-169.93
35,goal_01,col_approach,109,-169.5
36,goal_01,col_approach,111,-169.93
37,goal_01,col_approach,109,-169.49
38,goal_01,col_approach,111,-169.94
39,goal_01,col_approach,109,-169.49
40,goal_01,col_approach,111,-169.93
41,goal_01,col_approach,109,-169.5
42,goal_01,col_approach,111,-169.91
43,goal_01,col_approach,110,-169.72
44,goal_01,col_approach,110,-169.73
45,goal_01,col_approach,110,-169.71
46,goal_01,col_approach,110,-169.75
47,goal_01,col_approach,109,-169.49
48,goal_01,col_approach,111,-169.94
49,goal_01,col_approach,109,-169.5
50,goal_01,col_approach,111,-169.92
51,goal_01,col_approach,110,-169.7
52,goal_01,col_approach,111,-169.87
53,goal_01,col_approach,111,-169.89
54,goal_01,col_approach,110,-169.74
55,goal_01,col_approach,109,-169.5
56,goal_01,col_approach,111,-169.92
57,goal_01,col_approach,110,-169.69
58,goal_01,col_approach,111,-169.89
59,goal_01,col_approach,110,-169.73
60,goal_01,col_approach,110,-169.7
61,goal_01,col_approach,111,-169.87
62,goal_01,col_approach,111,-169.89
63,goal_01,col_approach,111,-169.85
64,goal_01,col_approach,111,-169.94
65,goal_01,col_approach,109,-169.5
66,goal_01,col_approach,111,-169.93
67,goal_01,col_approach,109,-169.5
68,goal_01,col_approach,111,-169.91
69,goal_01,col_approach,110,-169.72
70,goal_01,col_approach,110,-169.73
71,goal_01,col_approach,110,-169.7
72,goal_01,col_approach,111,-169.88
73,goal_01,col_approach,111,-169.86
74,goal_01,col_approach,111,-169.91
75,goal_01,col_approach,110,-169.73
76,goal_01,col_approach,110,-169.72
77,goal_01,col_approach,110,-169.74
78,goal_01,col_approach,109,-169.5
79,goal_01,col_approach,111,-169.93
80,goal_01,col_approach,109,-169.49
81,goal_01,col_approach,111,-169.93
82,goal_01,col_approach,109,-169.5
83,goal_01,col_approach,111,-169.93
84,goal_01,col_approach,109,-169.5
85,goal_01,col_approach,111,-169.92
86,goal_01,col_approach,110,-169.71
87,goal_01,col_approach,110,-169.75
88,goal_01,col_approach,109,-169.5
89,goal_01,col_approach,111,-169.93
90,goal_01,col_approach,109,-169.49
91,goal_01,col_approach,111,-169.93
92,goal_01,col_approach,109,-169.5
93,goal_01,col_approach,111,-169.93
94,goal_01,col_approach,110,-169.7
95,goal_01,col_approach,111,-169.87
96,goal_01,col_approach,111,-169.88
97,goal_01,col_approach,111,-169.87
98,goal_01,col_approach,111,-169.89
99,goal_01,col_approach,110,-169.75
100,goal_01,col_approach,109,-169.5
101,goal_02,col_approach,111,-169.93
102,goal_02,col_approach,109,-169.5
103,goal_02,col_approach,111,-169.92
104,goal_02,col_approach,110,-169.7
105,goal_02,col_approach,111,-169.87
106,goal_02,col_approach,111,-169.88
107,goal_02,col_approach,111,-169.87
108,goal_02,col_approach,111,-169.89
109,goal_02,col_approach,110,-169.74
110,goal_02,col_approach,109,-169.5
111,goal_02,col_approach,111,-169.93
112,goal_02,col_approach,109,-169.5
113,goal_02,col_approach,111,-169.92
114,goal_02,col_approach,110,-169.71
115,goal_02,col_approach,110,-169.74
116,goal_02,col_approach,109,-169.5
117,goal_02,col_approach,111,-169.93
118,goal_02,col_approach,109,-169.5
119,goal_02,col_approach,111,-169.93
120,goal_02,col_approach,109,-169.5
121,goal_02,col_approach,111,-169.92
122,goal_02,col_approach,110,-169.7
123,goal_02,col_approach,111,-169.87
124,goal_02,col_approach,111,-169.88
125,goal_02,col_approach,111,-169.87
126,goal_02,col_approach,111,-169.88
127,goal_02,col_approach,111,-169.85
128,goal_02,col_approach,111,-169.93
129,goal_02,col_approach,109,-169.5
130,goal_02,col_approach,111,-169.93
131,goal_02,col_approach,109,-169.5
132,goal_02,col_approach,111,-169.91
133,goal_02,col_approach,110,-169.72
134,goal_02,col_approach,110,-169.72
135,goal_02,col_approach,110,-169.72
136,goal_02,col_approach,110,-169.72
137,goal_02,col_approach,110,-169.72
138,goal_02,col_approach,110,-169.73
139,goal_02,col_approach,109,-169.49
140,goal_02,col_approach,111,-169.94
141,goal_02,col_approach,109,-169.5
142,goal_02,col_approach,111,-169.91
143,goal_02,col_approach,110,-169.72
144,goal_02,col_approach,110,-169.73
145,goal_02,col_approach,109,-169.49
146,goal_02,col_approach,111,-169.94
147,goal_02,col_approach,109,-169.5
148,goal_02,col_approach,111,-169.93
149,goal_02,col_approach,109,-169.5
150,goal_02,col_approach,111,-169.92
151,goal_02,col_approach,110,-169.7
152,goal_02,col_approach,111,-169.87
153,goal_02,col_approach,111,-169.88
154,goal_02,col_approach,111,-169.87
155,goal_02,col_approach,111,-169.88
156,goal_02,col_approach,111,-169.87
157,goal_02,col_approach,111,-169.9
158,goal_02,col_approach,110,-169.73
159,goal_02,col_approach,110,-169.72
160,goal_02,col_approach,110,-169.74
161,goal_02,col_approach,109,-169.49
162,goal_02,col_approach,111,-169.94
163,goal_02,col_approach,109,-169.5
164,goal_02,col_approach,111,-169.94
165,goal_02,col_approach,109,-169.5
166,goal_02,col_approach,111,-169.92
167,goal_02,col_approach,110,-169.71
168,goal_02,col_approach,110,-169.75
169,goal_02,col_approach,109,-169.5
170,goal_02,col_approach,111,-169.93
171,goal_02,col_approach,109,-169.5
172,goal_02,col_approach,111,-169.94
173,goal_02,col_approach,109,-169.5
174,goal_02,col_approach,111,-169.93
175,goal_02,col_approach,109,-169.5
176,goal_02,col_approach,111,-169.91
177,goal_02,col_approach,110,-169.72
178,goal_02,col_approach,110,-169.72
179,goal_02,col_approach,110,-169.73
180,goal_02,col_approach,110,-169.71
181,goal_02,col_approach,111,-169.85
182,goal_02,col_approach,111,-169.94
183,goal_02,col_approach,109,-169.49
184,goal_02,col_approach,111,-169.94
185,goal_02,col_approach,109,-169.49
186,goal_02,col_approach,111,-169.93
187,goal_02,col_approach,109,-169.51
188,goal_02,col_approach,111,-169.9
189,goal_02,col_approach,110,-169.73
190,goal_02,col_approach,110,-169.7
191,goal_02,col_approach,111,-169.87
192,goal_02,col_approach,111,-169.89
193,goal_02,col_approach,110,-169.74
194,goal_02,col_approach,109,-169.5
195,goal_02,col_approach,111,-169.91
196,goal_02,col_approach,110,-169.72
197,goal_02,col_approach,110,-169.72
198,goal_02,col_approach,110,-169.72
199,goal_02,col_approach,110,-169.74
200,goal_02,col_approach,108,-169.38
201,goal_03,col_approach,108,-169.38
202,goal_03,col_approach,109,-169.49
203,goal_03,col_approach,111,-169.94
204,goal_03,col_approach,109,-169.5
205,goal_03,col_approach,111,-169.93
206,goal_03,col_approach,109,-169.49
207,goal_03,col_approach,111,-169.94
208,goal_03,col_approach,109,-169.5
209,goal_03,col_approach,111,-169.92
210,goal_03,col_approach,110,-169.7
211,goal_03,col_approach,111,-169.88
212,goal_03,col_approach,111,-169.87
213,goal_03,col_approach,111,-169.88
214,goal_03,col_approach,111,-169.87
215,goal_03,col_approach,111,-169.88
216,goal_03,col_approach,111,-169.87
217,goal_03,col_approach,111,-169.87
218,goal_03,col_approach,111,-169.88
219,goal_03,col_approach,111,-169.87
220,goal_03,col_approach,111,-169.89
221,goal_03,col_approach,110,-169.74
222,goal_03,col_approach,109,-169.5
223,goal_03,col_approach,111,-169.94
224,goal_03,col_approach,109,-169.49
225,goal_03,col_approach,111,-169.94
226,goal_03,col_approach,109,-169.5
227,goal_03,col_approach,111,-169.93
228,goal_03,col_approach,109,-169.51
229,goal_03,col_approach,111,-169.9
230,goal_03,col_approach,110,-169.73
231,goal_03,col_approach,110,-169.72
232,goal_03,col_approach,110,-169.73
233,goal_03,col_approach,109,-169.5
234,goal_03,col_approach,111,-169.92
235,goal_03,col_approach,110,-169.71
236,goal_03,col_approach,110,-169.75
237,goal_03,col_approach,109,-169.49
238,goal_03,col_approach,111,-169.94
239,goal_03,col_approach,109,-169.49
240,goal_03,col_approach,111,-169.94
241,goal_03,col_approach,109,-169.5
242,goal_03,col_approach,111,-169.92
243,goal_03,col_approach,110,-169.71
244,goal_03,col_approach,111,-169.85
245,goal_03,col_approach,111,-169.94
246,goal_03,col_approach,109,-169.49
247,goal_03,col_approach,111,-169.93
248,goal_03,col_approach,109,-169.5
249,goal_03,col_approach,111,-169.91
250,goal_03,col_approach,110,-169.72
251,goal_03,col_approach,110,-169.72
252,goal_03,col_approach,110,-169.72
253,goal_03,col_approach,110,-169.73
254,goal_03,col_approach,110,-169.7
255,goal_03,col_approach,111,-169.87
256,goal_03,col_approach,111,-169.89
257,goal_03,col_approach,111,-169.85
258,goal_03,col_approach,111,-169.92
259,goal_03,col_approach,110,-169.71
260,goal_03,col_approach,111,-169.86
261,goal_03,col_approach,111,-169.92
262,goal_03,col_approach,110,-169.71
263,goal_03,col_approach,110,-169.74
264,goal_03,col_approach,109,-169.5
265,goal_03,col_approach,111,-169.92
266,goal_03,col_approach,110,-169.71
267,goal_03,col_approach,111,-169.85
268,goal_03,col_approach,111,-169.93
269,goal_03,col_approach,109,-169.5
270,goal_03,col_approach,111,-169.91
271,goal_03,col_approach,110,-169.71
272,goal_03,col_approach,110,-169.74
273,goal_03,col_approach,109,-169.5
274,goal_03,col_approach,111,-169.94
275,goal_03,col_approach,109,-169.5
276,goal_03,col_approach,111,-169.94
277,goal_03,col_approach,109,-169.5
278,goal_03,col_approach,111,-169.93
279,goal_03,col_approach,109,-169.5
280,goal_03,col_approach,111,-169.91
281,goal_03,col_approach,110,-169.72
282,goal_03,col_approach,110,-169.74
283,goal_03,col_approach,109,-169.5
284,goal_03,col_approach,111,-169.93
285,goal_03,col_approach,109,-169.5
286,goal_03,col_approach,111,-169.93
287,goal_03,col_approach,109,-169.5
288,goal_03,col_approach,111,-169.93
289,goal_03,col_approach,109,-169.5
290,goal_03,col_approach,111,-169.92
291,goal_03,col_approach,110,-169.71
292,goal_03,col_approach,111,-169.86
293,goal_03,col_approach,111,-169.9
294,goal_03,col_approach,110,-169.73
295,goal_03,col_approach,110,-169.72
296,goal_03,col_approach,110,-169.73
297,goal_03,col_approach,110,-169.7
298,goal_03,col_approach,111,-169.87
299,goal_03,col_approach,111,-169.88
300,goal_03,col_approach,111,-169.87
301,goal_04,col_approach,111,-169.89
302,goal_04,col_approach,110,-169.75
303,goal_04,col_approach,109,-169.49
304,goal_04,col_approach,111,-169.93
305,goal_04,col_approach,109,-169.5
306,goal_04,col_approach,111,-169.92
307,goal_04,col_approach,110,-169.71
308,goal_04,col_approach,110,-169.74
309,goal_04,col_approach,109,-169.5
310,goal_04,col_approach,111,-169.93
311,goal_04,col_approach,109,-169.5
312,goal_04,col_approach,111,-169.93
313,goal_04,col_approach,109,-169.5
314,goal_04,col_approach,111,-169.93
315,goal_04,col_approach,109,-169.5
316,goal_04,col_approach,111,-169.92
317,goal_04,col_approach,110,-169.71
318,goal_04,col_approach,111,-169.86
319,goal_04,col_approach,111,-169.91
320,goal_04,col_approach,110,-169.71
321,goal_04,col_approach,110,-169.74
322,goal_04,col_approach,109,-169.5
323,goal_04,col_approach,111,-169.93
324,goal_04,col_approach,109,-169.5
325,goal_04,col_approach,111,-169.92
326,goal_04,col_approach,110,-169.7
327,goal_04,col_approach,111,-169.86
328,goal_04,col_approach,111,-169.9
329,goal_04,col_approach,110,-169.73
330,goal_04,col_approach,110,-169.71
331,goal_04,col_approach,111,-169.86
332,goal_04,col_approach,111,-169.92
333,goal_04,col_approach,110,-169.72
334,goal_04,col_approach,110,-169.74
335,goal_04,col_approach,109,-169.49
336,goal_04,col_approach,111,-169.94
337,goal_04,col_approach,109,-169.5
338,goal_04,col_approach,111,-169.94
339,goal_04,col_approach,109,-169.5
340,goal_04,col_approach,111,-169.92
341,goal_04,col_approach,110,-169.7
342,goal_04,col_approach,111,-169.87
343,goal_04,col_approach,111,-169.89
344,goal_04,col_approach,110,-169.75
345,goal_04,col_approach,109,-169.5
346,goal_04,col_approach,111,-169.93
347,goal_04,col_approach,109,-169.5
348,goal_04,col_approach,111,-169.93
349,goal_04,col_approach,109,-169.5
350,goal_04,col_approach,111,-169.93
351,goal_04,col_approach,109,-169.5
352,goal_04,col_approach,111,-169.92
353,goal_04,col_approach,110,-169.71
354,goal_04,col_approach,110,-169.74
355,goal_04,col_approach,109,-169.5
356,goal_04,col_approach,111,-169.93
357,goal_04,col_approach,109,-169.5
358,goal_04,col_approach,111,-169.94
359,goal_04,col_approach,109,-169.5
360,goal_04,col_approach,111,-169.93
361,goal_04,col_approach,109,-169.5
362,goal_04,col_approach,111,-169.92
363,goal_04,col_approach,110,-169.72
364,goal_04,col_approach,110,-169.74
365,goal_04,col_approach,109,-169.5
366,goal_04,col_approach,111,-169.93
367,goal_04,col_approach,109,-169.5
368,goal_04,col_approach,111,-169.94
369,goal_04,col_approach,109,-169.49
370,goal_04,col_approach,111,-169.93
371,goal_04,col_approach,109,-169.5
372,goal_04,col_approach,111,-169.92
373,goal_04,col_approach,110,-169.71
374,goal_04,col_approach,110,-169.75
375,goal_04,col_approach,109,-169.5
376,goal_04,col_approach,111,-169.93
377,goal_04,col_approach,109,-169.49
378,goal_04,col_approach,111,-169.94
379,goal_04,col_approach,109,-169.49
380,goal_04,col_approach,111,-169.93
381,goal_04,col_approach,109,-169.5
382,goal_04,col_approach,111,-169.91
383,goal_04,col_approach,110,-169.73
384,goal_04,col_approach,110,-169.71
385,goal_04,col_approach,110,-169.74
386,goal_04,col_approach,109,-169.5
387,goal_04,col_approach,111,-169.92
388,goal_04,col_approach,110,-169.72
389,goal_04,col_approach,110,-169.74
390,goal_04,col_approach,109,-169.5
391,goal_04,col_approach,111,-169.94
392,goal_04,col_approach,109,-169.49
393,goal_04,col_approach,111,-169.94
394,goal_04,col_approach,109,-169.5
395,goal_04,col_approach,111,-169.92
396,goal_04,col_approach,110,-169.7
397,goal_04,col_approach,111,-169.87
398,goal_04,col_approach,111,-169.89
399,goal_04,col_approach,111,-169.85
400,goal_04,col_approach,111,-169.94
401,goal_05,exito,3214,581.76
402,goal_05,col_exit,957,3.36
403,goal_05,col_exit,910,-1.54
404,goal_05,exito,3209,580.56
405,goal_05,exito,3207,583.4
406,goal_05,col_exit,920,0.74
407,goal_05,col_exit,910,-2.63
408,goal_05,exito,3207,582.74
409,goal_05,exito,3209,582.42
410,goal_05,col_exit,920,-0.65
411,goal_05,col_exit,910,-0.16
412,goal_05,exito,3207,582.61
413,goal_05,exito,3210,580.09
414,goal_05,col_exit,919,-1.0
415,goal_05,col_exit,910,-1.73
416,goal_05,exito,3210,580.43
417,goal_05,exito,3208,581.19
418,goal_05,col_exit,918,-1.18
419,goal_05,col_exit,910,-1.2
420,goal_05,exito,3211,581.62
421,goal_05,exito,3211,582.61
422,goal_05,col_exit,914,-1.33
423,goal_05,col_exit,909,-0.95
424,goal_05,exito,3206,581.4
425,goal_05,exito,3211,580.96
426,goal_05,col_exit,920,0.41
427,goal_05,col_exit,910,-2.23
428,goal_05,exito,3206,581.99
429,goal_05,exito,3205,582.58
430,goal_05,col_exit,925,0.81
431,goal_05,col_exit,910,-1.58
432,goal_05,exito,3202,581.08
433,goal_05,exito,3203,583.28
434,goal_05,col_exit,931,0.27
435,goal_05,col_exit,910,-2.0
436,goal_05,exito,3207,582.4
437,goal_05,exito,3206,582.49
438,goal_05,col_exit,923,1.27
439,goal_05,col_exit,910,-1.27
440,goal_05,exito,3206,582.73
441,goal_05,exito,3209,583.21
442,goal_05,col_exit,921,0.3
443,goal_05,col_exit,910,-1.81
444,goal_05,exito,3205,582.89
445,goal_05,exito,3209,581.18
446,goal_05,col_exit,922,0.62
447,goal_05,col_exit,910,-2.32
448,goal_05,exito,3208,581.6
449,goal_05,exito,3207,580.73
450,goal_05,col_exit,921,0.19
451,goal_05,col_exit,910,-1.39
452,goal_05,exito,3207,583.79
453,goal_05,exito,3206,582.72
454,goal_05,col_exit,923,1.52
455,goal_05,col_exit,910,-2.06
456,goal_05,exito,3207,582.62
457,goal_05,exito,3206,583.46
458,goal_05,col_exit,923,0.96
459,goal_05,col_exit,910,-2.39
460,goal_05,exito,3212,580.45
461,goal_05,exito,3209,583.22
462,goal_05,col_exit,915,-1.03
463,goal_05,col_exit,910,-1.66
464,goal_05,exito,3205,582.72
465,goal_05,exito,3212,580.91
466,goal_05,col_exit,919,-0.2
467,goal_05,col_exit,910,-1.02
468,goal_05,exito,3209,582.7
469,goal_05,exito,3210,583.08
470,goal_05,col_exit,917,-0.02
471,goal_05,col_exit,909,-2.47
472,goal_05,exito,3208,582.33
473,goal_05,exito,3206,582.5
474,goal_05,col_exit,923,1.16
475,goal_05,col_exit,910,-1.78
476,goal_05,exito,3203,581.37
477,goal_05,exito,3207,582.9
478,goal_05,col_exit,926,2.13
479,goal_05,col_exit,910,-3.05
480,goal_05,exito,3202,583.42
481,goal_05,exito,3204,583.25
482,goal_05,col_exit,930,0.96
483,goal_05,col_exit,910,-1.98
484,goal_05,exito,3207,582.42
485,goal_05,exito,3205,582.85
486,goal_05,col_exit,924,1.44
487,goal_05,col_exit,910,-1.78
488,goal_05,exito,3208,582.8
489,goal_05,exito,3207,583.29
490,goal_05,col_exit,921,0.18
491,goal_05,col_exit,909,-1.39
492,goal_05,exito,3207,582.18
493,goal_05,exito,3213,579.3
494,goal_05,col_exit,917,-0.11
495,goal_05,col_exit,910,-3.88
496,goal_05,exito,3206,581.11
497,goal_05,exito,3213,582.57
498,goal_05,col_exit,917,0.23
499,goal_05,col_exit,910,-1.38
500,goal_05,exito,3204,582.46
501,goal_06,exito,3197,580.82
502,goal_06,col_exit,935,2.09
503,goal_06,col_exit,909,-2.96
504,goal_06,exito,3194,581.69
505,goal_06,exito,3195,581.01
506,goal_06,col_exit,948,4.06
507,goal_06,col_exit,909,-2.92
508,goal_06,exito,3194,580.4
509,goal_06,exito,3200,580.91
510,goal_06,col_exit,943,1.66
511,goal_06,col_exit,910,-3.74
512,goal_06,exito,3191,581.05
513,goal_06,exito,3194,582.6
514,goal_06,col_exit,951,2.25
515,goal_06,col_exit,908,-2.58
516,goal_06,exito,3192,581.29
517,goal_06,exito,3192,579.87
518,goal_06,col_exit,954,1.82
519,goal_06,col_exit,907,-3.32
520,goal_06,exito,3190,581.28
521,goal_06,exito,3192,581.66
522,goal_06,col_exit,957,2.15
523,goal_06,col_exit,910,-2.85
524,goal_06,exito,3195,580.99
525,goal_06,exito,3195,581.37
