episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga,n_replans
1,goal_01,col_approach,114,-170.41,0,0,0
2,goal_01,col_approach,109,-169.51,0,0,0
3,goal_01,col_approach,111,-169.89,0,0,0
4,goal_01,col_approach,110,-169.73,0,0,0
5,goal_01,col_approach,110,-169.7,0,0,0
6,goal_01,col_approach,111,-169.87,0,0,0
7,goal_01,col_approach,111,-169.88,0,0,0
8,goal_01,col_approach,111,-169.87,0,0,0
9,goal_01,col_approach,111,-169.9,0,0,0
10,goal_01,col_approach,110,-169.73,0,0,0
11,goal_01,col_approach,110,-169.7,0,0,0
12,goal_01,col_approach,111,-169.87,0,0,0
13,goal_01,col_approach,111,-169.88,0,0,0
14,goal_01,col_approach,111,-169.86,0,0,0
15,goal_01,col_approach,111,-169.9,0,0,0
16,goal_01,col_approach,110,-169.73,0,0,0
17,goal_01,col_approach,110,-169.71,0,0,0
18,goal_01,col_approach,111,-169.86,0,0,0
19,goal_01,col_approach,111,-169.91,0,0,0
20,goal_01,col_approach,110,-169.72,0,0,0
21,goal_01,col_approach,110,-169.72,0,0,0
22,goal_01,col_approach,110,-169.72,0,0,0
23,goal_01,col_approach,110,-169.72,0,0,0
24,goal_01,col_approach,110,-169.72,0,0,0
25,goal_01,col_approach,110,-169.73,0,0,0
26,goal_01,col_approach,108,-169.39,0,0,0
27,goal_01,col_approach,108,-169.38,0,0,0
28,goal_01,col_approach,108,-169.39,0,0,0
29,goal_01,col_approach,108,-169.39,0,0,0
30,goal_01,col_approach,108,-169.38,0,0,0
31,goal_01,col_approach,108,-169.38,0,0,0
32,goal_01,col_approach,108,-169.38,0,0,0
33,goal_01,col_approach,109,-169.49,0,0,0
34,goal_01,col_approach,111,-169.93,0,0,0
35,goal_01,col_approach,109,-169.5,0,0,0
36,goal_01,col_approach,111,-169.93,0,0,0
37,goal_01,col_approach,109,-169.49,0,0,0
38,goal_01,col_approach,111,-169.94,0,0,0
39,goal_01,col_approach,109,-169.49,0,0,0
40,goal_01,col_approach,111,-169.93,0,0,0
41,goal_01,col_approach,109,-169.5,0,0,0
42,goal_01,col_approach,111,-169.91,0,0,0
43,goal_01,col_approach,110,-169.72,0,0,0
44,goal_01,col_approach,110,-169.73,0,0,0
45,goal_01,col_approach,110,-169.71,0,0,0
46,goal_01,col_approach,110,-169.75,0,0,0
47,goal_01,col_approach,109,-169.49,0,0,0
48,goal_01,col_approach,111,-169.94,0,0,0
49,goal_01,col_approach,109,-169.5,0,0,0
50,goal_01,col_approach,111,-169.92,0,0,0
51,goal_01,col_approach,110,-169.7,0,0,0
52,goal_01,col_approach,111,-169.87,0,0,0
53,goal_01,col_approach,111,-169.89,0,0,0
54,goal_01,col_approach,110,-169.74,0,0,0
55,goal_01,col_approach,109,-169.5,0,0,0
56,goal_01,col_approach,111,-169.92,0,0,0
57,goal_01,col_approach,110,-169.69,0,0,0
58,goal_01,col_approach,111,-169.89,0,0,0
59,goal_01,col_approach,110,-169.73,0,0,0
60,goal_01,col_approach,110,-169.7,0,0,0
61,goal_01,col_approach,111,-169.87,0,0,0
62,goal_01,col_approach,111,-169.89,0,0,0
63,goal_01,col_approach,111,-169.85,0,0,0
64,goal_01,col_approach,111,-169.94,0,0,0
65,goal_01,col_approach,109,-169.5,0,0,0
66,goal_01,col_approach,111,-169.93,0,0,0
67,goal_01,col_approach,109,-169.5,0,0,0
68,goal_01,col_approach,111,-169.91,0,0,0
69,goal_01,col_approach,110,-169.72,0,0,0
70,goal_01,col_approach,110,-169.73,0,0,0
71,goal_01,col_approach,110,-169.7,0,0,0
72,goal_01,col_approach,111,-169.88,0,0,0
73,goal_01,col_approach,111,-169.86,0,0,0
74,goal_01,col_approach,111,-169.91,0,0,0
75,goal_01,col_approach,110,-169.73,0,0,0
76,goal_01,col_approach,110,-169.72,0,0,0
77,goal_01,col_approach,110,-169.74,0,0,0
78,goal_01,col_approach,109,-169.5,0,0,0
79,goal_01,col_approach,111,-169.93,0,0,0
80,goal_01,col_approach,109,-169.49,0,0,0
81,goal_01,col_approach,111,-169.93,0,0,0
82,goal_01,col_approach,109,-169.5,0,0,0
83,goal_01,col_approach,111,-169.93,0,0,0
84,goal_01,col_approach,109,-169.5,0,0,0
85,goal_01,col_approach,111,-169.92,0,0,0
86,goal_01,col_approach,110,-169.71,0,0,0
87,goal_01,col_approach,110,-169.75,0,0,0
88,goal_01,col_approach,109,-169.5,0,0,0
89,goal_01,col_approach,111,-169.93,0,0,0
90,goal_01,col_approach,109,-169.49,0,0,0
91,goal_01,col_approach,111,-169.93,0,0,0
92,goal_01,col_approach,109,-169.5,0,0,0
93,goal_01,col_approach,111,-169.93,0,0,0
94,goal_01,col_approach,110,-169.7,0,0,0
95,goal_01,col_approach,111,-169.87,0,0,0
96,goal_01,col_approach,111,-169.88,0,0,0
97,goal_01,col_approach,111,-169.87,0,0,0
98,goal_01,col_approach,111,-169.89,0,0,0
99,goal_01,col_approach,110,-169.75,0,0,0
100,goal_01,col_approach,109,-169.5,0,0,0
101,goal_02,col_approach,111,-169.93,0,0,0
102,goal_02,col_approach,109,-169.5,0,0,0
103,goal_02,col_approach,111,-169.92,0,0,0
104,goal_02,col_approach,110,-169.7,0,0,0
105,goal_02,col_approach,111,-169.87,0,0,0
106,goal_02,col_approach,111,-169.88,0,0,0
107,goal_02,col_approach,111,-169.87,0,0,0
108,goal_02,col_approach,111,-169.89,0,0,0
109,goal_02,col_approach,110,-169.74,0,0,0
110,goal_02,col_approach,109,-169.5,0,0,0
111,goal_02,col_approach,111,-169.93,0,0,0
112,goal_02,col_approach,109,-169.5,0,0,0
113,goal_02,col_approach,111,-169.92,0,0,0
114,goal_02,col_approach,110,-169.71,0,0,0
115,goal_02,col_approach,110,-169.74,0,0,0
116,goal_02,col_approach,109,-169.5,0,0,0
117,goal_02,col_approach,111,-169.93,0,0,0
118,goal_02,col_approach,109,-169.5,0,0,0
119,goal_02,col_approach,111,-169.93,0,0,0
120,goal_02,col_approach,109,-169.5,0,0,0
121,goal_02,col_approach,111,-169.92,0,0,0
122,goal_02,col_approach,110,-169.7,0,0,0
123,goal_02,col_approach,111,-169.87,0,0,0
124,goal_02,col_approach,111,-169.88,0,0,0
125,goal_02,col_approach,111,-169.87,0,0,0
126,goal_02,col_approach,111,-169.88,0,0,0
127,goal_02,col_approach,111,-169.85,0,0,0
128,goal_02,col_approach,111,-169.93,0,0,0
129,goal_02,col_approach,109,-169.5,0,0,0
130,goal_02,col_approach,111,-169.93,0,0,0
131,goal_02,col_approach,109,-169.5,0,0,0
132,goal_02,col_approach,111,-169.91,0,0,0
133,goal_02,col_approach,110,-169.72,0,0,0
134,goal_02,col_approach,110,-169.72,0,0,0
135,goal_02,col_approach,110,-169.72,0,0,0
136,goal_02,col_approach,110,-169.72,0,0,0
137,goal_02,col_approach,110,-169.72,0,0,0
138,goal_02,col_approach,110,-169.73,0,0,0
139,goal_02,col_approach,109,-169.49,0,0,0
140,goal_02,col_approach,111,-169.94,0,0,0
141,goal_02,col_approach,109,-169.5,0,0,0
142,goal_02,col_approach,111,-169.91,0,0,0
143,goal_02,col_approach,110,-169.72,0,0,0
144,goal_02,col_approach,110,-169.73,0,0,0
145,goal_02,col_approach,109,-169.49,0,0,0
146,goal_02,col_approach,111,-169.94,0,0,0
