episodio,goal_id,resultado,pasos,reward
1,goal_01,exito,1185,201.78
2,goal_01,exito,1201,201.21
3,goal_01,exito,1169,202.06
4,goal_01,exito,1208,200.36
5,goal_01,exito,1193,202.25
6,goal_01,exito,1203,201.59
7,goal_01,exito,1201,200.77
8,goal_01,exito,1190,201.24
9,goal_01,exito,1165,202.67
10,goal_01,exito,1189,201.76
11,goal_01,exito,1198,200.96
12,goal_01,exito,1177,201.53
13,goal_01,exito,1196,201.92
14,goal_01,exito,1187,201.88
15,goal_01,exito,1190,201.29
16,goal_01,exito,1196,201.78
17,goal_01,exito,1207,200.27
18,goal_01,exito,1209,200.26
19,goal_01,exito,1206,200.66
20,goal_01,exito,1211,200.13
21,goal_01,exito,1211,200.28
22,goal_01,exito,1184,200.78
23,goal_01,exito,1175,201.14
24,goal_01,exito,1214,199.68
25,goal_01,exito,1180,201.35
26,goal_01,exito,1188,201.66
27,goal_01,exito,1173,202.85
28,goal_01,exito,1169,202.1
29,goal_01,exito,1198,200.81
30,goal_01,exito,1200,201.9
31,goal_01,exito,1209,200.31
32,goal_01,exito,1202,200.68
33,goal_01,exito,1192,202.16
34,goal_01,exito,1202,201.28
35,goal_01,exito,1201,200.77
36,goal_01,exito,1172,201.0
37,goal_01,exito,1184,201.79
38,goal_01,exito,1201,200.47
39,goal_01,exito,1218,199.76
40,goal_01,exito,1207,200.35
41,goal_01,exito,1189,201.68
42,goal_01,exito,1198,201.13
43,goal_01,exito,1202,201.04
44,goal_01,exito,1208,200.19
45,goal_01,exito,1204,200.84
46,goal_01,exito,1216,199.51
47,goal_01,exito,1168,201.48
48,goal_01,exito,1205,200.43
49,goal_01,exito,1210,200.19
50,goal_01,exito,1193,201.99
51,goal_01,exito,1191,202.26
52,goal_01,exito,1204,200.84
53,goal_01,exito,1204,200.37
54,goal_01,exito,1187,202.27
55,goal_01,exito,1199,200.69
56,goal_01,exito,1200,200.55
57,goal_01,exito,1186,201.82
58,goal_01,exito,1187,201.83
59,goal_01,exito,1209,200.33
60,goal_01,exito,1202,200.56
61,goal_01,exito,1195,201.93
62,goal_01,exito,1171,201.38
63,goal_01,exito,1201,201.57
64,goal_01,exito,1198,200.69
65,goal_01,exito,1148,202.77
66,goal_01,exito,1170,199.92
67,goal_01,exito,1205,200.66
68,goal_01,exito,1210,200.18
