episodio,resultado,pasos,reward
1,exito,537,147.72
2,exito,537,148.97
3,exito,534,149.68
4,exito,533,149.39
5,exito,664,140.48
6,exito,664,138.37
7,exito,532,148.26
8,exito,534,149.17
9,exito,662,139.88
10,exito,530,148.9
11,exito,531,149.58
12,exito,663,137.2
13,exito,534,147.98
14,exito,661,139.95
15,exito,661,140.94
16,exito,662,140.03
17,exito,664,139.6
18,exito,662,139.71
19,exito,533,148.88
20,exito,663,140.73
21,exito,660,139.1
22,exito,661,140.23
23,exito,660,140.71
24,exito,660,137.1
25,exito,533,145.66
26,exito,531,147.93
27,exito,663,141.09
28,exito,662,139.66
29,exito,531,149.07
30,exito,662,139.68
31,exito,661,139.2
32,exito,662,140.85
33,exito,532,148.48
34,exito,533,147.59
35,exito,534,149.18
36,exito,534,147.99
37,exito,535,149.25
38,exito,532,148.63
39,exito,531,148.97
40,exito,534,150.04
41,exito,662,141.04
42,exito,662,137.83
43,exito,660,140.23
44,exito,659,137.34
45,exito,535,148.9
46,exito,535,148.46
47,exito,661,140.52
48,exito,534,148.73
49,exito,663,140.01
50,exito,661,140.12
51,exito,661,139.24
52,exito,661,139.73
53,exito,534,147.02
54,exito,535,147.11
55,exito,532,147.16
56,exito,531,148.6
57,exito,534,149.65
58,exito,664,139.59
59,exito,660,140.07
60,exito,663,139.08
61,exito,533,147.27
62,exito,534,148.84
63,exito,531,148.57
64,exito,533,149.4
65,exito,533,149.18
66,exito,660,139.86
67,exito,665,140.12
68,exito,532,149.81
69,exito,662,139.88
70,exito,532,148.79
71,exito,661,139.54
72,exito,534,147.96
73,exito,663,140.27
74,exito,661,140.45
75,exito,531,149.42
76,exito,535,148.09
77,exito,660,137.97
78,exito,662,140.39
79,exito,663,139.31
80,exito,659,136.47
81,exito,531,148.34
82,exito,662,139.1
83,exito,662,139.62
84,exito,532,149.96
85,exito,534,147.86
86,exito,661,141.47
87,exito,658,139.65
88,exito,663,140.59
89,exito,531,148.95
90,exito,664,138.73
91,exito,533,148.91
92,exito,659,139.79
93,exito,664,139.66
94,exito,662,140.57
95,exito,533,148.38
96,exito,533,148.04
97,exito,530,148.19
98,exito,660,138.76
99,exito,662,140.52
100,exito,532,149.07
101,exito,530,148.62
102,exito,531,149.0
103,exito,533,147.68
104,exito,661,139.75
105,exito,663,140.14
106,exito,661,138.88
107,exito,531,149.9
108,exito,532,147.72
109,exito,662,140.28
110,exito,532,149.14
111,exito,533,148.77
112,exito,663,139.63
113,exito,662,137.69
114,exito,663,138.86
115,exito,537,147.01
116,exito,531,148.93
117,exito,534,148.62
118,exito,664,140.04
119,exito,533,149.36
120,exito,532,150.02
121,exito,660,140.26
122,exito,533,149.04
123,exito,661,139.87
124,exito,532,148.35
125,exito,531,149.98
126,exito,663,139.67
127,exito,532,148.66
