episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1,goal_01,exit,colision,1,-150.0,True
2,goal_01,exit,colision,1,-150.0,True
3,goal_01,exit,colision,1,-150.0,True
4,goal_01,exit,colision,1,-150.0,True
5,goal_01,exit,colision,1,-150.0,True
6,goal_01,exit,colision,1,-150.0,True
7,goal_01,exit,colision,1,-150.0,True
8,goal_01,exit,colision,1,-150.0,True
9,goal_01,exit,colision,1,-150.0,True
10,goal_01,exit,colision,1,-150.0,True
11,goal_01,exit,colision,1,-150.0,True
12,goal_01,exit,colision,1,-150.0,True
13,goal_01,exit,colision,1,-150.0,True
14,goal_01,exit,colision,1,-150.0,True
15,goal_01,exit,colision,1,-150.0,True
16,goal_01,exit,colision,1,-150.0,True
17,goal_01,exit,colision,1,-150.0,True
18,goal_01,exit,colision,1,-150.0,True
19,goal_01,exit,colision,1,-150.0,True
20,goal_01,exit,colision,1,-150.0,True
21,goal_01,exit,colision,1,-150.0,True
22,goal_01,exit,colision,1,-150.0,True
23,goal_01,exit,colision,1,-150.0,True
24,goal_01,exit,colision,1,-150.0,True
25,goal_01,exit,colision,1,-150.0,True
26,goal_01,exit,colision,1,-150.0,True
27,goal_01,exit,colision,1,-150.0,True
28,goal_01,exit,colision,1,-150.0,True
29,goal_01,exit,colision,1,-150.0,True
30,goal_01,exit,colision,1,-150.0,True
31,goal_01,exit,colision,1,-150.0,True
32,goal_01,exit,colision,1,-150.0,True
33,goal_01,exit,colision,1,-150.0,True
34,goal_01,exit,colision,1,-150.0,True
35,goal_01,exit,colision,1,-150.0,True
36,goal_01,exit,colision,1,-150.0,True
37,goal_01,exit,colision,1,-150.0,True
38,goal_01,exit,colision,1,-150.0,True
39,goal_01,exit,colision,1,-150.0,True
40,goal_01,exit,colision,1,-150.0,True
41,goal_01,exit,colision,1,-150.0,True
42,goal_01,exit,colision,1,-150.0,True
43,goal_01,exit,colision,1,-150.0,True
44,goal_01,exit,colision,1,-150.0,True
45,goal_01,exit,colision,1,-150.0,True
46,goal_01,exit,colision,1,-150.0,True
47,goal_01,exit,colision,1,-150.0,True
48,goal_01,exit,colision,1,-150.0,True
49,goal_01,exit,colision,1,-150.0,True
50,goal_01,exit,colision,1,-150.0,True
51,goal_01,exit,colision,1,-150.0,True
52,goal_01,exit,colision,1,-150.0,True
53,goal_01,exit,colision,1,-150.0,True
54,goal_01,exit,colision,1,-150.0,True
55,goal_01,exit,colision,1,-150.0,True
56,goal_01,exit,colision,1,-150.0,True
57,goal_01,exit,colision,1,-150.0,True
58,goal_01,exit,colision,1,-150.0,True
59,goal_01,exit,colision,1,-150.0,True
60,goal_01,exit,colision,1,-150.0,True
61,goal_01,exit,colision,1,-150.0,True
62,goal_01,exit,colision,1,-150.0,True
63,goal_01,exit,colision,1,-150.0,True
64,goal_01,exit,colision,1,-150.0,True
65,goal_01,exit,colision,1,-150.0,True
66,goal_01,exit,colision,1,-150.0,True
67,goal_01,exit,colision,1,-150.0,True
68,goal_01,exit,colision,1,-150.0,True
69,goal_01,exit,colision,1,-150.0,True
