goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,74,29,45,39.2
goal_02,71,23,47,32.4
goal_03,61,21,40,34.4
goal_04,54,23,31,42.6
goal_05,56,17,38,30.4
goal_06,75,21,54,28.0
goal_07,61,13,48,21.3
goal_08,63,26,37,41.3
goal_09,56,23,33,41.1
goal_10,61,17,44,27.9
goal_11,60,22,38,36.7
goal_12,66,24,42,36.4
goal_13,65,23,42,35.4
goal_14,67,25,42,37.3
goal_15,80,23,57,28.7
goal_16,59,26,33,44.1
goal_17,68,24,44,35.3
goal_18,61,22,39,36.1
goal_19,60,20,40,33.3
goal_20,78,28,50,35.9
goal_21,71,31,40,43.7
goal_22,70,23,47,32.9
goal_23,62,21,41,33.9
goal_24,79,26,53,32.9
goal_25,64,22,42,34.4
goal_26,60,25,35,41.7
goal_27,56,23,33,41.1
goal_28,64,21,43,32.8
