goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,24,13,11,54.2
goal_02,27,13,13,48.1
goal_03,32,17,15,53.1
goal_04,34,15,18,44.1
goal_05,33,18,14,54.5
goal_06,18,9,9,50.0
goal_07,26,13,13,50.0
goal_08,19,15,4,78.9
goal_09,22,13,9,59.1
goal_10,24,11,13,45.8
goal_11,29,11,17,37.9
goal_12,26,9,17,34.6
goal_13,30,16,14,53.3
goal_14,23,10,12,43.5
goal_15,29,11,17,37.9
goal_16,26,14,11,53.8
goal_17,27,19,8,70.4
goal_18,22,10,10,45.5
goal_19,21,10,11,47.6
goal_20,26,11,15,42.3
goal_21,31,13,18,41.9
goal_22,19,8,11,42.1
goal_23,25,12,13,48.0
goal_24,28,12,16,42.9
goal_25,23,12,11,52.2
goal_26,29,12,17,41.4
goal_27,27,18,9,66.7
goal_28,20,10,10,50.0
