goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,28,12,7,17,42.9,60.7
goal_02,False,25,14,6,17,56.0,68.0
goal_03,False,28,14,5,22,50.0,78.6
goal_04,False,19,11,6,13,57.9,68.4
goal_05,True,20,15,2,18,75.0,90.0
goal_06,False,28,13,8,18,46.4,64.3
goal_07,False,34,15,13,25,44.1,73.5
goal_08,False,25,11,6,17,44.0,68.0
goal_09,True,26,13,8,18,50.0,69.2
goal_10,True,29,16,10,26,55.2,89.7
goal_11,False,33,16,10,26,48.5,78.8
goal_12,False,29,14,10,23,48.3,79.3
goal_13,True,32,19,4,26,59.4,81.2
goal_14,False,33,19,8,29,57.6,87.9
goal_15,False,25,12,10,19,48.0,76.0
goal_16,False,21,15,4,16,71.4,76.2
goal_17,True,29,15,10,20,51.7,69.0
goal_18,True,34,25,4,30,73.5,88.2
goal_19,True,20,10,7,14,50.0,70.0
goal_20,False,32,15,10,24,46.9,75.0
goal_21,False,30,14,11,21,46.7,70.0
goal_22,False,25,8,10,17,32.0,68.0
goal_23,True,26,12,11,19,46.2,73.1
goal_24,True,20,13,3,16,65.0,80.0
goal_25,True,29,19,4,23,65.5,79.3
goal_26,False,25,13,5,19,52.0,76.0
goal_27,False,30,17,5,24,56.7,80.0
goal_28,False,25,17,5,17,68.0,68.0
