goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,21,19,2,21,90.5,100.0
goal_02,False,19,15,4,18,78.9,94.7
goal_03,False,31,20,11,26,64.5,83.9
goal_04,False,31,22,9,26,71.0,83.9
goal_05,True,31,25,6,29,80.6,93.5
goal_06,False,20,17,3,19,85.0,95.0
goal_07,False,23,18,5,20,78.3,87.0
goal_08,False,23,19,4,21,82.6,91.3
goal_09,True,32,25,7,29,78.1,90.6
goal_10,True,16,13,3,15,81.2,93.8
goal_11,False,20,14,6,16,70.0,80.0
goal_12,False,19,14,5,16,73.7,84.2
goal_13,True,38,30,8,32,78.9,84.2
goal_14,False,28,24,4,26,85.7,92.9
goal_15,False,27,23,4,26,85.2,96.3
goal_16,False,26,23,3,24,88.5,92.3
goal_17,True,25,23,2,23,92.0,92.0
goal_18,True,24,20,4,22,83.3,91.7
goal_19,True,24,17,7,18,70.8,75.0
goal_20,False,20,16,4,17,80.0,85.0
goal_21,False,31,26,5,27,83.9,87.1
goal_22,False,31,28,3,31,90.3,100.0
goal_23,True,27,20,7,25,74.1,92.6
goal_24,True,33,28,5,31,84.8,93.9
goal_25,True,16,11,5,16,68.8,100.0
goal_26,False,28,24,4,26,85.7,92.9
goal_27,False,29,23,6,29,79.3,100.0
goal_28,False,22,17,5,18,77.3,81.8
