goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,48,32,16,41,66.7,85.4
goal_02,False,43,28,15,36,65.1,83.7
goal_03,False,44,32,12,40,72.7,90.9
goal_04,False,30,25,5,28,83.3,93.3
goal_05,True,54,41,13,46,75.9,85.2
goal_06,False,54,42,12,50,77.8,92.6
goal_07,False,48,37,11,42,77.1,87.5
goal_08,False,51,42,9,47,82.4,92.2
goal_09,True,30,20,10,25,66.7,83.3
goal_10,True,39,36,3,38,92.3,97.4
goal_11,False,43,31,12,33,72.1,76.7
goal_12,False,42,29,13,37,69.0,88.1
goal_13,True,46,36,10,42,78.3,91.3
goal_14,False,47,33,14,39,70.2,83.0
goal_15,False,45,29,16,35,64.4,77.8
goal_16,False,53,39,14,46,73.6,86.8
goal_17,True,131,106,25,118,80.9,90.1
goal_18,True,116,82,34,100,70.7,86.2
goal_19,True,134,104,30,119,77.6,88.8
goal_20,False,123,89,34,111,72.4,90.2
goal_21,False,123,85,38,107,69.1,87.0
goal_22,False,52,40,12,46,76.9,88.5
goal_23,True,37,28,9,35,75.7,94.6
goal_24,True,129,93,36,114,72.1,88.4
goal_25,True,126,95,31,110,75.4,87.3
goal_26,False,134,108,26,120,80.6,89.6
goal_27,False,134,95,39,113,70.9,84.3
goal_28,False,139,111,28,127,79.9,91.4
