goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,87,83,3,87,95.4,100.0
goal_02,False,86,82,4,86,95.3,100.0
goal_03,False,88,78,8,88,88.6,100.0
goal_04,False,97,90,5,97,92.8,100.0
goal_05,True,95,91,4,95,95.8,100.0
goal_06,False,93,83,9,93,89.2,100.0
goal_07,False,93,84,9,93,90.3,100.0
goal_08,False,87,78,8,87,89.7,100.0
goal_09,True,109,100,8,109,91.7,100.0
goal_10,True,96,87,9,96,90.6,100.0
goal_11,False,75,67,6,75,89.3,100.0
goal_12,False,85,70,14,85,82.4,100.0
goal_13,True,91,84,6,91,92.3,100.0
goal_14,False,86,75,10,86,87.2,100.0
goal_15,False,101,91,9,101,90.1,100.0
goal_16,False,100,94,6,100,94.0,100.0
goal_17,True,91,80,10,91,87.9,100.0
goal_18,True,86,78,6,86,90.7,100.0
goal_19,True,73,67,5,73,91.8,100.0
goal_20,False,81,72,9,81,88.9,100.0
goal_21,False,87,80,6,87,92.0,100.0
goal_22,False,91,81,10,91,89.0,100.0
goal_23,True,87,77,10,87,88.5,100.0
goal_24,True,86,80,6,86,93.0,100.0
goal_25,True,77,66,11,77,85.7,100.0
goal_26,False,79,70,8,79,88.6,100.0
goal_27,False,88,80,6,88,90.9,100.0
goal_28,False,79,70,9,79,88.6,100.0
