goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,43,21,22,39,48.8,90.7
goal_02,False,35,17,18,33,48.6,94.3
goal_03,False,33,14,19,30,42.4,90.9
goal_04,False,47,22,25,43,46.8,91.5
goal_05,True,40,20,20,34,50.0,85.0
goal_06,False,44,21,23,35,47.7,79.5
goal_07,False,47,22,25,42,46.8,89.4
goal_08,False,48,23,25,46,47.9,95.8
goal_09,True,47,22,25,38,46.8,80.9
goal_10,True,39,16,23,31,41.0,79.5
goal_11,False,43,22,21,41,51.2,95.3
goal_12,False,50,23,27,47,46.0,94.0
goal_13,True,50,26,24,46,52.0,92.0
goal_14,False,40,20,20,38,50.0,95.0
goal_15,False,61,28,33,52,45.9,85.2
goal_16,False,56,26,30,51,46.4,91.1
goal_17,True,38,21,17,34,55.3,89.5
goal_18,True,41,18,23,38,43.9,92.7
goal_19,True,37,12,25,30,32.4,81.1
goal_20,False,34,16,18,29,47.1,85.3
goal_21,False,48,24,24,45,50.0,93.8
goal_22,False,52,18,34,50,34.6,96.2
goal_23,True,32,17,15,30,53.1,93.8
goal_24,True,46,18,28,43,39.1,93.5
goal_25,True,39,23,16,36,59.0,92.3
goal_26,False,53,27,26,44,50.9,83.0
goal_27,False,32,9,23,29,28.1,90.6
goal_28,False,41,15,26,39,36.6,95.1
