goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,30,14,16,29,46.7,96.7
goal_02,False,23,9,14,22,39.1,95.7
goal_03,False,16,7,9,13,43.8,81.2
goal_04,False,33,12,21,30,36.4,90.9
goal_05,True,28,12,16,25,42.9,89.3
goal_06,False,31,16,15,29,51.6,93.5
goal_07,False,28,14,14,26,50.0,92.9
goal_08,False,33,17,16,30,51.5,90.9
goal_09,True,31,16,15,28,51.6,90.3
goal_10,True,29,13,16,26,44.8,89.7
goal_11,False,36,14,22,31,38.9,86.1
goal_12,False,36,11,25,34,30.6,94.4
goal_13,True,35,20,15,32,57.1,91.4
goal_14,False,27,12,15,23,44.4,85.2
goal_15,False,42,15,27,37,35.7,88.1
goal_16,False,42,19,23,37,45.2,88.1
goal_17,True,26,8,18,22,30.8,84.6
goal_18,True,27,12,15,24,44.4,88.9
goal_19,True,26,8,18,20,30.8,76.9
goal_20,False,25,9,16,24,36.0,96.0
goal_21,False,32,19,13,30,59.4,93.8
goal_22,False,31,14,17,26,45.2,83.9
goal_23,True,29,9,20,27,31.0,93.1
goal_24,True,34,17,17,32,50.0,94.1
goal_25,True,29,15,14,25,51.7,86.2
goal_26,False,31,15,16,28,48.4,90.3
goal_27,False,26,9,17,24,34.6,92.3
goal_28,False,27,13,14,23,48.1,85.2
