goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,11,10,1,11,90.9,100.0
goal_02,False,10,3,7,8,30.0,80.0
goal_03,False,18,5,13,14,27.8,77.8
goal_04,False,16,6,10,13,37.5,81.2
goal_05,True,16,8,8,13,50.0,81.2
goal_06,False,11,7,4,10,63.6,90.9
goal_07,False,12,5,7,11,41.7,91.7
goal_08,False,14,7,7,12,50.0,85.7
goal_09,True,18,6,12,16,33.3,88.9
goal_10,True,11,3,8,10,27.3,90.9
goal_11,False,13,7,6,13,53.8,100.0
goal_12,False,9,3,6,7,33.3,77.8
goal_13,True,26,8,18,21,30.8,80.8
goal_14,False,17,8,9,14,47.1,82.4
goal_15,False,10,2,8,9,20.0,90.0
goal_16,False,18,8,10,17,44.4,94.4
goal_17,True,9,7,2,9,77.8,100.0
goal_18,True,12,2,10,8,16.7,66.7
goal_19,True,18,6,11,13,33.3,72.2
goal_20,False,12,3,9,10,25.0,83.3
goal_21,False,17,5,12,13,29.4,76.5
goal_22,False,19,7,12,14,36.8,73.7
goal_23,True,14,3,11,12,21.4,85.7
goal_24,True,17,13,4,15,76.5,88.2
goal_25,True,8,2,6,8,25.0,100.0
goal_26,False,14,4,10,13,28.6,92.9
goal_27,False,13,5,8,11,38.5,84.6
goal_28,False,12,5,7,11,41.7,91.7
