goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,108,88,20,108,81.5,100.0
goal_02,False,110,90,20,110,81.8,100.0
goal_03,False,113,88,25,113,77.9,100.0
goal_04,False,98,81,17,98,82.7,100.0
goal_05,True,113,92,21,113,81.4,100.0
goal_06,False,94,65,29,94,69.1,100.0
goal_07,False,103,79,24,103,76.7,100.0
goal_08,False,98,78,20,98,79.6,100.0
goal_09,True,102,78,24,102,76.5,100.0
goal_10,True,121,103,18,121,85.1,100.0
goal_11,False,81,58,23,81,71.6,100.0
goal_12,False,93,69,24,93,74.2,100.0
goal_13,True,121,91,30,121,75.2,100.0
goal_14,False,108,84,24,108,77.8,100.0
goal_15,False,106,78,28,106,73.6,100.0
goal_16,False,103,84,19,103,81.6,100.0
goal_17,True,98,81,17,98,82.7,100.0
goal_18,True,98,71,27,98,72.4,100.0
goal_19,True,105,89,16,105,84.8,100.0
goal_20,False,95,79,16,95,83.2,100.0
goal_21,False,97,79,18,97,81.4,100.0
goal_22,False,119,88,31,119,73.9,100.0
goal_23,True,100,78,22,100,78.0,100.0
goal_24,True,97,80,17,97,82.5,100.0
goal_25,True,95,74,21,95,77.9,100.0
goal_26,False,109,81,27,109,74.3,100.0
goal_27,False,105,82,23,105,78.1,100.0
goal_28,False,111,86,25,111,77.5,100.0
