goal_id,dificil,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,False,18,1,17,15,5.6,83.3
goal_02,False,26,2,23,23,7.7,88.5
goal_03,False,18,1,14,18,5.6,100.0
goal_04,False,19,0,17,14,0.0,73.7
goal_05,True,24,0,21,17,0.0,70.8
goal_06,False,24,0,23,18,0.0,75.0
goal_07,False,18,4,13,16,22.2,88.9
goal_08,False,25,0,23,21,0.0,84.0
goal_09,True,20,3,14,19,15.0,95.0
goal_10,True,23,1,21,20,4.3,87.0
goal_11,False,19,0,19,17,0.0,89.5
goal_12,False,23,2,21,23,8.7,100.0
goal_13,True,14,0,14,12,0.0,85.7
goal_14,False,26,2,21,23,7.7,88.5
goal_15,False,28,2,24,23,7.1,82.1
goal_16,False,23,3,18,19,13.0,82.6
goal_17,True,25,1,22,22,4.0,88.0
goal_18,True,30,2,28,24,6.7,80.0
goal_19,True,22,1,18,19,4.5,86.4
goal_20,False,18,1,17,15,5.6,83.3
goal_21,False,32,3,26,29,9.4,90.6
goal_22,False,25,3,21,22,12.0,88.0
goal_23,True,19,2,15,17,10.5,89.5
goal_24,True,19,0,17,17,0.0,89.5
goal_25,True,24,0,24,20,0.0,83.3
goal_26,False,16,0,15,10,0.0,62.5
goal_27,False,28,2,23,24,7.1,85.7
goal_28,False,28,3,23,26,10.7,92.9
